type,gw,position,fpl_id,opta_id,name,player_position,points,is_top_player
gw,1,1,1,154561,David Raya Martín,GK,10,False
gw,1,2,531,223827,Daniel Ballard,DEF,17,True
gw,1,3,7,466075,Riccardo Calafiori,DEF,13,False
gw,1,4,410,477064,Rico Lewis,DEF,11,False
gw,1,5,82,437730,Antoine Semenyo,MID,15,False
gw,1,6,582,460842,Mohammed Kudus,MID,10,False
gw,1,7,427,433036,Tijjani Reijnders,MID,10,False
gw,1,8,164,219249,Matt O'Riley,MID,10,False
gw,1,9,597,212319,Richarlison,FWD,13,False
gw,1,10,525,60689,Chris Wood,FWD,13,False
gw,1,11,430,223094,Erling Haaland,FWD,13,False
gw,10,1,314,80201,Bernd Leno,GK,7,False
gw,10,2,5,226597,Gabriel Magalhães,DEF,12,False
gw,10,3,260,209036,Marc Guéhi,DEF,10,False
gw,10,4,372,122798,Andrew Robertson,DEF,8,False
gw,10,5,169,514254,Diego Gómez Amarilla,MID,16,True
gw,10,6,328,184349,Ryan Sessegnon,MID,14,False
gw,10,7,21,204480,Declan Rice,MID,13,False
gw,10,8,457,61256,Casemiro,MID,12,False
gw,10,9,390,441266,Ryan Gravenberch,MID,11,False
gw,10,10,430,223094,Erling Haaland,FWD,13,False
gw,10,11,249,475168,João Pedro,FWD,9,False
gw,11,1,32,98980,Emiliano Martínez Romero,GK,14,False
gw,11,2,228,482609,Malo Gusto,DEF,15,False
gw,11,3,295,106611,Michael Keane,DEF,15,True
gw,11,4,407,465351,Matheus Nunes,DEF,13,False
gw,11,5,258,244723,Tyrick Mitchell,DEF,11,False
gw,11,6,16,223340,Bukayo Saka,MID,12,False
gw,11,7,613,215439,Tomáš Souček,MID,12,False
gw,11,8,50,195546,Emiliano Buendía Stati,MID,11,False
gw,11,9,418,248875,Jérémy Doku,MID,11,False
gw,11,10,453,493105,Alejandro Garnacho Ferreyra,MID,11,False
gw,11,11,136,502500,Igor Thiago,FWD,13,False
gw,12,1,287,111234,Jordan Pickford,GK,10,False
gw,12,2,506,575476,Murillo,DEF,17,False
gw,12,3,256,247348,Daniel Muñoz Mejía,DEF,14,False
gw,12,4,508,215136,Neco Williams,DEF,13,False
gw,12,5,716,500151,Nicolò Savona,DEF,12,False
gw,12,6,266,232413,Eberechi Eze,MID,20,True
gw,12,7,47,244850,Morgan Rogers,MID,15,False
gw,12,8,487,201666,Harvey Barnes,MID,15,False
gw,12,9,242,215413,Kiernan Dewsbury-Hall,MID,13,False
gw,12,10,20,116216,Leandro Trossard,MID,12,False
gw,12,11,671,75115,Callum Wilson,FWD,12,False
gw,13,1,139,489639,Bart Verbruggen,GK,7,False
gw,13,2,684,465642,Malick Thiaw,DEF,16,True
gw,13,3,145,465730,Maxim De Cuyper,DEF,15,False
gw,13,4,322,167074,Kenny Tete,DEF,12,False
gw,13,5,376,171287,Joe Gomez,DEF,11,False
gw,13,6,497,547719,Lewis Miley,MID,15,False
gw,13,7,414,209244,Phil Foden,MID,15,False
gw,13,8,384,243298,Cody Gakpo,MID,14,False
gw,13,9,547,484420,Enzo Le Fée,MID,13,False
gw,13,10,83,533463,Dango Ouattara,MID,12,False
gw,13,11,136,502500,Igor Thiago,FWD,13,False
gw,14,1,253,172649,Dean Henderson,GK,7,False
gw,14,2,569,221632,Cristian Romero,DEF,17,True
gw,14,3,440,216051,Diogo Dalot,DEF,15,False
gw,14,4,260,209036,Marc Guéhi,DEF,14,False
gw,14,5,11,198869,Benjamin White,DEF,14,False
gw,14,6,256,247348,Daniel Muñoz Mejía,DEF,14,False
gw,14,7,414,209244,Phil Foden,MID,17,False
gw,14,8,22,195384,Mikel Merino Zazón,MID,13,False
gw,14,9,727,218328,Samuel Chukwueze,MID,12,False
gw,14,10,430,223094,Erling Haaland,FWD,14,False
gw,14,11,64,178301,Ollie Watkins,FWD,13,False
gw,15,1,220,215059,Robert Lynch Sánchez,GK,10,False
gw,15,2,408,171314,Rúben Dias,DEF,14,False
gw,15,3,403,477424,Joško Gvardiol,DEF,12,False
gw,15,4,226,180736,Trevoh Chalobah,DEF,11,False
gw,15,5,449,141746,Bruno Fernandes,MID,18,True
gw,15,6,242,215413,Kiernan Dewsbury-Hall,MID,16,False
gw,15,7,717,493362,Xavi Simons,MID,14,False
gw,15,8,417,466052,Rayan Cherki,MID,12,False
gw,15,9,660,466525,Anton Stach,MID,12,False
gw,15,10,661,510663,Hugo Ekitiké,FWD,13,False
gw,15,11,624,178186,Jarrod Bowen,FWD,9,False
gw,16,1,670,498016,Robin Roefs,GK,9,False
gw,16,2,228,482609,Malo Gusto,DEF,18,False
gw,16,3,407,465351,Matheus Nunes,DEF,11,False
gw,16,4,541,434399,Reinildo Mandava,DEF,10,False
gw,16,5,516,209046,Callum Hudson-Odoi,MID,19,True
gw,16,6,521,210462,Ibrahim Sangaré,MID,18,False
gw,16,7,329,153682,Harry Wilson,MID,16,False
gw,16,8,47,244850,Morgan Rogers,MID,15,False
gw,16,9,449,141746,Bruno Fernandes,MID,13,False
gw,16,10,661,510663,Hugo Ekitiké,FWD,13,False
gw,16,11,430,223094,Erling Haaland,FWD,13,False
gw,17,1,101,200720,Caoimhín Kelleher,GK,13,False
gw,17,2,107,249231,Keane Lewis-Potter,DEF,21,True
gw,17,3,532,487676,Trai Hume,DEF,10,False
gw,17,4,725,448104,Piero Hincapié,DEF,10,False
gw,17,5,47,244850,Morgan Rogers,MID,15,False
gw,17,6,354,199598,Ethan Ampadu,MID,12,False
gw,17,7,21,204480,Declan Rice,MID,11,False
gw,17,8,485,232826,Anthony Gordon,MID,10,False
gw,17,9,430,223094,Erling Haaland,FWD,16,False
gw,17,10,691,177815,Dominic Calvert-Lewin,FWD,13,False
gw,17,11,714,470313,Nick Woltemade,FWD,13,False
gw,18,1,470,67089,Martin Dúbravka,GK,11,False
gw,18,2,441,596777,Patrick Dorgu,DEF,17,False
gw,18,3,440,216051,Diogo Dalot,DEF,13,False
gw,18,4,575,491279,Micky van de Ven,DEF,11,False
gw,18,5,295,106611,Michael Keane,DEF,10,False
gw,18,6,120,513418,Kevin Schade,MID,20,True
gw,18,7,417,466052,Rayan Cherki,MID,13,False
gw,18,8,390,441266,Ryan Gravenberch,MID,11,False
gw,18,9,382,494595,Florian Wirtz,MID,10,False
gw,18,10,17,184029,Martin Ødegaard,MID,10,False
gw,18,11,64,178301,Ollie Watkins,FWD,12,False
gw,19,1,287,111234,Jordan Pickford,GK,10,False
gw,19,2,5,226597,Gabriel Magalhães,DEF,15,False
gw,19,3,694,200834,Nordi Mukiele,DEF,11,False
gw,19,4,407,465351,Matheus Nunes,DEF,11,False
gw,19,5,568,441164,Pedro Porro Sauceda,DEF,10,False
gw,19,6,303,232928,James Garner,MID,16,True
gw,19,7,20,116216,Leandro Trossard,MID,13,False
gw,19,8,612,224024,Lucas Tolentino Coelho de Lima,MID,13,False
gw,19,9,488,208706,Bruno Guimarães,MID,10,False
gw,19,10,86,111317,David Brooks,MID,10,False
gw,19,11,283,231747,Jean-Philippe Mateta,FWD,9,False
gw,2,1,287,111234,Jordan Pickford,GK,15,False
gw,2,2,8,445122,Jurriën Timber,DEF,24,True
gw,2,3,7,466075,Riccardo Calafiori,DEF,13,False
gw,2,4,685,242882,Bafodé Diakité,DEF,10,False
gw,2,5,205,172567,Josh Cullen,MID,14,False
gw,2,6,200,444180,Jaidon Anthony,MID,13,False
gw,2,7,83,533463,Dango Ouattara,MID,13,False
gw,2,8,419,114283,Jack Grealish,MID,11,False
gw,2,9,84,201658,Marcus Tavernier,MID,11,False
gw,2,10,249,475168,João Pedro,FWD,15,False
gw,2,11,666,224117,Viktor Gyökeres,FWD,12,False
gw,20,1,139,489639,Bart Verbruggen,GK,7,False
gw,20,2,684,465642,Malick Thiaw,DEF,17,True
gw,20,3,633,490721,Hugo Bueno,DEF,11,False
gw,20,4,106,432830,Nathan Collins,DEF,10,False
gw,20,5,21,204480,Declan Rice,MID,17,False
gw,20,6,54,122806,John McGinn,MID,15,False
gw,20,7,166,509416,Yasin Ayari,MID,12,False
gw,20,8,125,204580,Vitaly Janelt,MID,11,False
gw,20,9,237,448047,Enzo Fernández,MID,11,False
gw,20,10,136,502500,Igor Thiago,FWD,17,False
gw,20,11,749,647671,Mateus Mané,FWD,12,False
gw,21,1,101,200720,Caoimhín Kelleher,GK,13,False
gw,21,2,106,432830,Nathan Collins,DEF,13,False
gw,21,3,723,651426,Jaydee Canvot,DEF,10,False
gw,21,4,37,101188,Lucas Digne,DEF,9,False
gw,21,5,487,201666,Harvey Barnes,MID,15,True
gw,21,6,350,427637,Brenden Aaronson,MID,14,False
gw,21,7,488,208706,Bruno Guimarães,MID,11,False
gw,21,8,330,207189,Sander Berge,MID,10,False
