fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
135,4,1,2025-08-17T13:00:00Z,False,16,Nott'm Forest,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,75,264591,0,0,0
135,13,2,2025-08-23T14:00:00Z,True,2,Aston Villa,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,75,176219,4602,102084,-97482
135,28,3,2025-08-30T14:00:00Z,False,17,Sunderland,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,75,119005,2550,62969,-60419
135,39,4,2025-09-13T14:00:00Z,True,20,Wolves,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,75,136656,76588,68448,8140
135,42,5,2025-09-21T13:00:00Z,False,4,Bournemouth,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,75,95947,603,39782,-39179
135,58,6,2025-09-28T15:30:00Z,True,1,Arsenal,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,74,80323,257,16786,-16529
135,69,7,2025-10-05T13:00:00Z,True,16,Nott'm Forest,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,74,73669,201,7326,-7125
135,71,8,2025-10-18T14:00:00Z,False,6,Brighton,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,74,67528,304,6631,-6327
135,89,9,2025-10-25T14:00:00Z,True,10,Fulham,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,74,65028,171,2848,-2677
135,100,10,2025-11-02T14:00:00Z,False,19,West Ham,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,74,62777,156,2480,-2324
135,102,11,2025-11-09T14:00:00Z,False,5,Brentford,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,61398,95,1544,-1449
135,119,12,2025-11-22T17:30:00Z,True,13,Man City,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,60294,192,1366,-1174
135,125,13,2025-11-29T17:30:00Z,False,9,Everton,1,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,59552,117,917,-800
135,139,14,2025-12-02T20:15:00Z,True,18,Spurs,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,59186,102,515,-413
135,148,15,2025-12-06T15:00:00Z,True,3,Burnley,2,1,False,16,0,0,0,0,1,0,0,0,0,0,0,0,2,0.2,2.1,4.0,0.6,0,1,0,1,1,73,59378,562,450,112
135,159,16,2025-12-14T14:00:00Z,False,17,Sunderland,1,0,False,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,0,0,0,0,1,73,65560,6735,963,5772
135,168,17,2025-12-20T12:30:00Z,True,7,Chelsea,2,2,False,17,0,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,3.3,0.0,0.2,0,1,0,1,0,73,75481,11391,2201,9190
135,177,18,2025-12-26T20:00:00Z,False,14,Man Utd,1,0,False,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,10.3,8.0,1.9,0,1,0,1,1,73,70650,2815,6683,-3868
135,183,19,2025-12-30T19:30:00Z,False,3,Burnley,1,3,False,79,1,1,0,0,1,0,0,0,0,0,0,0,29,36.2,2.0,51.0,8.9,1,1,1,3,6,73,72687,3393,3248,145
135,198,20,2026-01-04T15:00:00Z,True,8,Crystal Palace,2,0,False,77,1,0,0,1,0,0,0,0,0,0,0,0,5,2.2,0.7,21.0,2.4,0,1,0,1,2,73,95373,26720,4460,22260
135,209,21,2026-01-07T20:15:00Z,True,11,Leeds,4,3,False,15,0,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,1.2,9.0,0.6,0,2,0,2,1,73,142984,52597,6814,45783
135,220,22,2026-01-18T14:00:00Z,False,20,Wolves,0,0,False,23,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,0.5,2.0,0.5,0,1,1,2,1,73,130303,13884,24024,-10140
135,229,23,2026-01-25T14:00:00Z,True,2,Aston Villa,0,2,False,61,1,0,0,0,1,0,0,0,0,0,0,0,8,2.8,12.9,25.0,4.1,0,3,0,3,2,73,125514,12983,18479,-5496
135,235,24,2026-01-31T20:00:00Z,False,12,Liverpool,4,1,False,17,0,0,0,0,1,0,0,0,0,0,0,0,2,1.0,0.3,2.0,0.3,1,1,0,2,1,73,110988,8573,23066,-14493
135,249,25,2026-02-07T17:30:00Z,True,5,Brentford,2,3,False,64,1,0,0,0,2,0,0,0,0,0,0,0,3,7.4,0.8,9.0,1.7,1,1,0,2,2,73,102624,4569,14094,-9525
135,259,26,2026-02-10T19:30:00Z,False,18,Spurs,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,93580,3826,12359,-8533
135,266,27,2026-02-21T20:00:00Z,False,13,Man City,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,80849,697,14124,-13427
135,279,28,2026-02-28T15:00:00Z,True,9,Everton,2,3,False,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,1.4,4.0,0.3,0,0,0,0,1,73,78553,1280,3995,-2715
135,288,29,2026-03-04T20:15:00Z,True,14,Man Utd,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,77097,876,2484,-1608
135,294,30,2026-03-14T17:30:00Z,False,7,Chelsea,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,75799,1070,2575,-1505
135,308,31,2026-03-22T12:00:00Z,True,17,Sunderland,1,2,False,1,0,0,0,0,1,0,0,0,0,0,0,0,4,2.0,0.3,2.0,0.4,0,0,1,1,1,73,77882,1488,1233,255
135,315,32,2026-04-12T13:00:00Z,False,8,Crystal Palace,2,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,1,73,75548,590,1371,-781
135,328,33,2026-04-18T14:00:00Z,True,4,Bournemouth,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,73,75029,593,1069,-476
