fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
151,3,1,2025-08-16T14:00:00Z,True,10,Fulham,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,15,28.0,1.3,0.0,2.9,7,4,1,8,2,45,117209,0,0,0
151,16,2,2025-08-24T13:00:00Z,False,9,Everton,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,5,18.6,0.9,4.0,2.4,6,3,0,6,1,45,124264,6386,10239,-3853
151,22,3,2025-08-31T13:00:00Z,True,13,Man City,2,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,4,17.2,0.4,33.0,5.1,4,5,1,5,1,45,112563,2329,14837,-12508
151,32,4,2025-09-13T14:00:00Z,False,4,Bournemouth,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,5,24.0,0.8,2.0,2.7,10,2,0,10,3,45,108690,3755,11247,-7492
151,43,5,2025-09-20T14:00:00Z,True,18,Spurs,2,2,False,90,1,0,0,0,2,1,0,0,0,0,0,0,5,15.2,0.3,0.0,1.6,11,1,1,12,1,45,105290,3250,7750,-4500
151,53,6,2025-09-27T14:00:00Z,False,7,Chelsea,1,3,False,90,1,0,0,0,1,0,0,0,1,0,0,0,12,34.6,1.8,4.0,4.0,11,4,4,15,3,44,99525,3683,10104,-6421
151,70,7,2025-10-05T13:00:00Z,False,20,Wolves,1,1,False,90,1,1,0,0,1,0,0,0,0,0,0,3,25,48.2,3.0,21.0,7.2,3,2,1,4,11,44,100751,5798,6212,-414
151,71,8,2025-10-18T14:00:00Z,True,15,Newcastle,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,20,43.2,5.4,2.0,5.1,13,5,3,16,4,44,122209,24874,6121,18753
151,88,9,2025-10-25T16:30:00Z,False,14,Man Utd,4,2,False,90,1,0,0,0,4,0,0,0,0,0,0,0,0,31.6,16.1,0.0,4.8,5,1,5,10,2,44,135700,20124,7209,12915
151,91,10,2025-11-01T15:00:00Z,True,11,Leeds,3,0,False,90,1,0,0,1,0,0,0,0,0,0,0,1,36,38.4,11.7,17.0,6.7,6,3,3,9,7,44,168538,33278,8257,25021
151,104,11,2025-11-09T14:00:00Z,False,8,Crystal Palace,0,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,25,21.4,1.6,18.0,4.1,7,6,0,7,5,44,162923,12670,12400,270
151,113,12,2025-11-22T15:00:00Z,True,5,Brentford,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,11,17.8,2.1,6.0,2.6,4,5,1,5,2,44,188774,26196,6005,20191
151,127,13,2025-11-30T14:05:00Z,False,16,Nott'm Forest,0,2,False,90,1,0,0,1,0,0,0,0,0,0,0,0,25,13.4,1.1,0.0,1.5,4,2,0,4,6,44,183281,8839,11459,-2620
151,133,14,2025-12-03T19:30:00Z,True,2,Aston Villa,3,4,False,90,1,2,0,0,4,0,0,0,0,0,0,0,23,79.0,1.5,63.0,14.4,4,1,2,6,12,44,206363,24766,4360,20406
151,143,15,2025-12-07T14:00:00Z,True,19,West Ham,1,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,23,34.6,31.3,8.0,7.4,5,2,1,6,5,45,435890,173557,5815,167742
151,156,16,2025-12-13T15:00:00Z,False,12,Liverpool,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,4,16.6,8.3,0.0,2.5,1,3,1,2,1,45,465107,131514,38760,92754
151,163,17,2025-12-20T15:00:00Z,True,17,Sunderland,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,46,593438,119758,18616,101142
151,171,18,2025-12-27T15:00:00Z,False,1,Arsenal,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,12,46.2,1.2,0.0,4.7,12,1,3,15,3,46,453221,12007,88656,-76649
151,190,19,2025-12-30T19:30:00Z,False,19,West Ham,2,2,False,90,1,0,0,0,2,0,0,0,1,0,0,0,6,17.6,2.6,0.0,2.0,6,4,1,7,0,45,552673,63886,24352,39534
151,193,20,2026-01-03T15:00:00Z,True,3,Burnley,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,32,29.2,1.3,21.0,5.2,8,3,1,9,6,45,589791,73394,35657,37737
151,208,21,2026-01-07T19:30:00Z,False,13,Man City,1,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,9,22.8,0.0,4.0,2.7,14,3,1,15,3,45,535161,14677,51297,-36620
151,212,22,2026-01-19T20:00:00Z,True,4,Bournemouth,1,1,False,90,1,0,1,0,1,0,0,0,1,0,0,2,21,39.0,33.6,12.0,8.5,3,5,1,4,6,45,545860,32257,27623,4634
151,227,23,2026-01-24T15:00:00Z,False,10,Fulham,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,7,19.6,5.8,9.0,3.4,7,4,1,8,1,45,560578,33922,20472,13450
151,232,24,2026-01-31T15:00:00Z,True,9,Everton,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,9,17.4,2.6,2.0,2.2,9,3,0,9,2,45,562352,43375,42787,588
151,243,25,2026-02-08T14:00:00Z,True,8,Crystal Palace,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,560174,26095,30982,-4887
151,251,26,2026-02-11T19:30:00Z,False,2,Aston Villa,1,0,False,60,1,0,0,1,0,0,0,0,1,0,0,0,21,7.4,0.4,0.0,0.8,5,1,1,6,5,45,454855,2982,93527,-90545
151,262,27,2026-02-21T15:00:00Z,False,5,Brentford,0,2,False,90,1,0,0,1,0,0,0,0,0,0,0,1,29,17.0,0.7,0.0,1.8,10,4,0,10,9,44,456737,11286,22917,-11631
151,273,28,2026-03-01T14:00:00Z,True,16,Nott'm Forest,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,17,38.2,14.8,0.0,5.3,9,2,2,11,4,44,487894,36929,10772,26157
151,283,29,2026-03-04T19:30:00Z,True,1,Arsenal,0,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,15,29.0,30.7,2.0,6.2,5,1,4,9,2,44,486104,22661,19523,3138
151,299,30,2026-03-14T15:00:00Z,False,17,Sunderland,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,1,31,35.2,0.6,7.0,4.3,13,3,3,16,9,44,524981,47589,11740,35849
