fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
166,3,1,2025-08-16T14:00:00Z,True,10,Fulham,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,1,20,7.2,3.2,2.0,1.2,3,6,1,10,3,50,20119,0,0,0
166,16,2,2025-08-24T13:00:00Z,False,9,Everton,2,0,False,66,1,0,0,0,2,0,0,0,0,0,0,0,10,10.6,3.9,18.0,3.3,1,2,3,6,2,50,21546,1481,2779,-1298
166,22,3,2025-08-31T13:00:00Z,True,13,Man City,2,1,False,29,0,0,0,0,0,0,0,0,0,0,0,0,3,6.8,24.7,0.0,3.2,1,1,1,3,1,50,19384,879,3661,-2782
166,32,4,2025-09-13T14:00:00Z,False,4,Bournemouth,2,1,False,87,0,0,0,0,2,0,0,0,0,0,0,0,20,15.4,2.4,0.0,1.8,3,3,4,10,2,49,19095,1704,3170,-1466
166,43,5,2025-09-20T14:00:00Z,True,18,Spurs,2,2,False,90,1,1,0,0,2,0,0,0,0,0,0,1,28,34.8,11.8,22.0,6.9,2,7,1,10,8,49,18913,1648,2195,-547
166,53,6,2025-09-27T14:00:00Z,False,7,Chelsea,1,3,False,90,1,0,0,0,1,0,0,0,0,0,0,0,14,13.0,21.3,3.0,3.7,3,5,2,10,2,49,35209,19003,4397,14606
166,70,7,2025-10-05T13:00:00Z,False,20,Wolves,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,18,13.6,23.8,2.0,3.9,2,4,3,9,2,49,40727,8740,3546,5194
166,71,8,2025-10-18T14:00:00Z,True,15,Newcastle,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,15,13.6,34.3,11.0,5.9,1,2,2,5,2,49,41983,6162,5239,923
166,88,9,2025-10-25T16:30:00Z,False,14,Man Utd,4,2,False,59,1,0,0,0,2,0,0,0,0,0,0,0,10,1.0,3.4,8.0,1.2,5,6,0,11,1,49,40890,3369,4627,-1258
166,91,10,2025-11-01T15:00:00Z,True,11,Leeds,3,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,13,8.4,4.2,37.0,5.0,1,7,1,9,3,49,39204,2743,4793,-2050
