fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
178,3,1,2025-08-16T14:00:00Z,True,10,Fulham,1,1,False,21,0,0,0,0,1,0,0,0,0,0,0,0,3,2.2,0.6,2.0,0.5,0,0,1,1,1,65,448372,0,0,0
178,16,2,2025-08-24T13:00:00Z,False,9,Everton,2,0,False,90,1,0,0,0,2,0,0,1,0,0,0,0,-9,0.0,3.4,27.0,2.8,0,1,0,1,0,65,389562,14979,101248,-86269
178,22,3,2025-08-31T13:00:00Z,True,13,Man City,2,1,False,60,1,0,0,0,1,0,0,0,0,0,0,0,6,0.4,16.5,2.0,1.9,0,2,0,2,2,64,277273,8152,124925,-116773
178,32,4,2025-09-13T14:00:00Z,False,4,Bournemouth,2,1,False,66,1,0,0,0,2,0,0,0,0,0,0,0,7,1.8,2.9,8.0,1.3,0,2,2,4,2,63,252393,17351,59906,-42555
178,43,5,2025-09-20T14:00:00Z,True,18,Spurs,2,2,False,15,0,0,0,0,1,0,0,0,0,0,0,0,3,1.2,1.0,9.0,1.1,0,0,0,0,1,63,239550,15988,34996,-19008
178,53,6,2025-09-27T14:00:00Z,False,7,Chelsea,1,3,False,23,0,2,0,0,0,0,0,0,1,0,0,3,49,65.2,0.1,54.0,11.9,2,0,0,2,11,63,213413,9514,38565,-29051
178,70,7,2025-10-05T13:00:00Z,False,20,Wolves,1,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,-3,0.0,13.4,4.0,1.7,2,1,0,3,1,63,290829,82321,18763,63558
178,71,8,2025-10-18T14:00:00Z,True,15,Newcastle,2,1,False,89,1,2,0,0,1,0,0,0,0,0,0,3,69,77.2,33.1,28.0,13.8,0,2,2,4,13,63,293861,40905,38417,2488
178,88,9,2025-10-25T16:30:00Z,False,14,Man Utd,4,2,False,90,1,1,0,0,4,0,0,0,0,0,0,0,32,40.2,27.1,28.0,9.5,0,2,0,2,6,63,466429,179218,19882,159336
178,91,10,2025-11-01T15:00:00Z,True,11,Leeds,3,0,False,81,1,1,0,1,0,0,0,0,0,0,0,0,34,33.0,12.8,24.0,7.0,1,3,0,4,6,64,949902,460285,21890,438395
178,104,11,2025-11-09T14:00:00Z,False,8,Crystal Palace,0,0,False,84,1,0,0,1,0,0,0,0,0,0,0,0,5,5.2,3.2,4.0,1.2,4,1,1,6,2,65,1094686,233334,60035,173299
178,113,12,2025-11-22T15:00:00Z,True,5,Brentford,2,1,False,90,1,1,0,0,1,0,0,0,0,0,0,2,29,30.8,6.4,34.0,7.1,1,2,1,4,8,65,1183078,145392,67419,77973
178,127,13,2025-11-30T14:05:00Z,False,16,Nott'm Forest,0,2,False,64,1,0,0,1,0,0,0,0,0,0,0,0,9,7.6,3.4,13.0,2.4,3,2,2,7,2,66,1367284,225469,47824,177645
178,133,14,2025-12-03T19:30:00Z,True,2,Aston Villa,3,4,False,23,0,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,0.7,25.0,2.5,0,1,0,1,1,66,1360716,67167,68591,-1424
178,143,15,2025-12-07T14:00:00Z,True,19,West Ham,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,4,0.6,11.6,25.0,3.7,1,2,0,3,2,66,1419543,104233,88203,16030
178,156,16,2025-12-13T15:00:00Z,False,12,Liverpool,2,0,False,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.5,0.0,0.2,0,0,0,0,1,65,1054434,90092,397209,-307117
178,163,17,2025-12-20T15:00:00Z,True,17,Sunderland,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,65,884226,49664,238168,-188504
178,171,18,2025-12-27T15:00:00Z,False,1,Arsenal,2,1,False,15,0,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.3,0.0,0.3,0,1,1,2,1,64,592997,2593,276490,-273897
178,190,19,2025-12-30T19:30:00Z,False,19,West Ham,2,2,False,82,1,1,0,0,2,0,0,1,1,0,0,0,6,32.0,15.3,25.0,7.2,2,2,0,4,3,63,585493,19997,63361,-43364
178,193,20,2026-01-03T15:00:00Z,True,3,Burnley,2,0,False,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.7,2.0,0.3,0,1,0,1,1,63,642382,73124,31251,41873
178,208,21,2026-01-07T19:30:00Z,False,13,Man City,1,1,False,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.3,2.0,0.1,0,0,0,0,1,63,550715,6502,87508,-81006
178,212,22,2026-01-19T20:00:00Z,True,4,Bournemouth,1,1,False,76,1,0,0,0,1,0,0,0,1,0,0,0,2,2.6,15.5,14.0,3.2,2,1,0,3,1,62,524248,27416,59842,-32426
178,227,23,2026-01-24T15:00:00Z,False,10,Fulham,2,1,False,87,1,0,0,0,1,0,0,0,0,0,0,0,5,5.8,4.5,24.0,3.4,0,1,2,3,2,62,525645,27985,28782,-797
178,232,24,2026-01-31T15:00:00Z,True,9,Everton,1,1,False,69,1,0,0,1,0,0,0,0,0,0,0,0,5,4.6,11.1,47.0,6.3,1,3,1,5,2,62,537508,45552,37154,8398
178,243,25,2026-02-08T14:00:00Z,True,8,Crystal Palace,0,1,False,19,0,0,0,0,0,0,0,0,0,0,0,0,5,4.0,1.0,0.0,0.5,1,1,1,3,1,62,511047,13195,38618,-25423
178,251,26,2026-02-11T19:30:00Z,False,2,Aston Villa,1,0,False,80,1,0,0,1,0,0,0,0,0,0,0,0,10,11.2,12.9,13.0,3.7,2,0,2,4,2,62,474388,7993,42762,-34769
178,262,27,2026-02-21T15:00:00Z,False,5,Brentford,0,2,False,90,1,1,0,1,0,0,0,0,0,0,0,3,32,38.6,12.9,37.0,8.9,1,0,0,1,9,61,460309,8982,26760,-17778
178,273,28,2026-03-01T14:00:00Z,True,16,Nott'm Forest,2,1,False,90,1,1,0,0,1,0,0,0,0,0,0,3,41,40.2,20.8,29.0,9.0,2,3,2,7,9,61,484006,28798,9439,19359
178,283,29,2026-03-04T19:30:00Z,True,1,Arsenal,0,1,False,21,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,2.0,0.1,0,0,0,0,1,61,483228,17387,15836,1551
178,299,30,2026-03-14T15:00:00Z,False,17,Sunderland,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,0,9,12.2,13.9,19.0,4.5,3,2,2,7,2,61,511555,43120,17450,25670
178,303,31,2026-03-21T12:45:00Z,True,12,Liverpool,2,1,False,82,1,2,0,0,1,0,0,0,1,0,0,3,65,70.6,26.1,75.0,17.2,1,3,0,4,12,61,518235,21373,16509,4864
178,313,32,2026-04-11T14:00:00Z,False,3,Burnley,0,2,False,74,1,0,0,1,0,0,0,0,0,0,0,0,9,17.4,11.8,91.0,12.0,4,2,0,6,2,62,1017157,533921,47806,486115
178,330,33,2026-04-18T16:30:00Z,False,18,Spurs,2,2,False,74,1,0,0,0,1,0,0,0,0,0,0,0,5,5.4,1.0,19.0,2.5,2,1,0,3,2,63,1308989,222012,41148,180864
178,333,33,2026-04-21T19:00:00Z,True,7,Chelsea,3,0,False,7,0,1,0,0,0,0,0,0,0,0,0,1,29,33.4,0.3,17.0,5.1,0,0,0,0,6,63,1308989,222012,41148,180864
178,349,35,2026-05-02T14:00:00Z,False,15,Newcastle,3,1,False,80,1,0,1,0,2,0,0,0,0,0,0,0,21,17.4,13.3,10.0,4.1,2,3,1,6,5,63,1009602,88144,83424,4720
