fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
19,9,1,2025-08-17T15:30:00Z,False,14,Man Utd,0,1,False,59,1,0,0,0,0,0,0,0,0,0,0,0,8,6.2,10.3,21.0,3.8,0,3,1,4,1,70,139808,0,0,0
19,11,2,2025-08-23T16:30:00Z,True,11,Leeds,5,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,70,150752,9660,19501,-9841
19,25,3,2025-08-31T15:30:00Z,False,12,Liverpool,1,0,False,69,1,0,0,1,0,0,0,0,0,0,0,0,9,1.4,0.4,6.0,0.8,0,2,1,3,3,69,127440,4767,34057,-29290
19,31,4,2025-09-13T11:30:00Z,True,16,Nott'm Forest,3,0,False,12,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,4.3,0.0,0.6,0,1,0,1,1,69,123532,5235,14748,-9513
19,41,5,2025-09-21T15:30:00Z,True,13,Man City,1,1,False,10,0,1,0,0,0,0,0,0,0,0,0,1,22,33.0,0.3,17.0,5.0,0,0,0,0,7,69,116281,3506,13385,-9879
19,58,6,2025-09-28T15:30:00Z,False,15,Newcastle,1,2,False,20,0,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.5,4.0,0.7,1,2,0,3,1,69,134644,20680,7628,13052
19,61,7,2025-10-04T14:00:00Z,True,19,West Ham,2,0,False,11,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,14.0,2.0,1.8,1,1,0,2,1,69,149452,21805,9978,11827
19,74,8,2025-10-18T16:30:00Z,False,10,Fulham,0,1,False,9,0,0,0,0,0,0,0,0,0,0,0,0,3,3.2,0.5,41.0,4.5,0,1,1,2,1,69,147028,13037,17581,-4544
19,81,9,2025-10-26T14:00:00Z,True,8,Crystal Palace,1,0,False,24,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.3,2.0,0.3,1,0,0,1,1,69,145493,8720,11555,-2835
19,92,10,2025-11-01T15:00:00Z,False,3,Burnley,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,69,126118,3893,23487,-19594
19,108,11,2025-11-08T17:30:00Z,False,17,Sunderland,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,68,109342,89,17207,-17118
19,111,12,2025-11-23T16:30:00Z,True,18,Spurs,4,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,68,101618,88,8195,-8107
19,123,13,2025-11-30T16:30:00Z,False,7,Chelsea,1,1,False,56,1,0,0,0,1,0,0,0,0,0,0,0,3,2.2,1.3,9.0,1.3,0,0,0,0,1,68,102790,2608,2337,271
19,131,14,2025-12-03T19:30:00Z,True,5,Brentford,2,0,False,60,1,0,0,1,0,0,0,0,0,0,0,0,4,4.8,13.8,8.0,2.7,1,2,0,3,3,68,105946,4165,1440,2725
19,141,15,2025-12-06T12:30:00Z,False,2,Aston Villa,2,1,False,4,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0,0,0,0,1,68,108054,4357,2515,1842
19,151,16,2025-12-13T20:00:00Z,True,20,Wolves,2,1,False,56,1,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,2.4,24.0,2.0,0,1,0,1,1,68,121978,17371,5169,12202
19,164,17,2025-12-20T20:00:00Z,False,9,Everton,0,1,False,10,0,0,0,0,0,0,0,0,1,0,0,0,-1,0.0,0.7,8.0,0.9,0,2,0,2,0,68,118001,5352,8076,-2724
19,171,18,2025-12-27T15:00:00Z,True,6,Brighton,2,1,False,8,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6,10.8,6.0,2.0,0,0,1,1,1,68,110036,1930,9661,-7731
19,181,19,2025-12-30T20:15:00Z,True,2,Aston Villa,4,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,68,109290,2017,4008,-1991
19,192,20,2026-01-03T17:30:00Z,False,4,Bournemouth,2,3,False,66,1,0,1,0,1,0,0,0,0,0,0,0,19,4.4,5.7,7.0,1.7,0,3,1,4,5,68,108477,2317,3320,-1003
19,201,21,2026-01-08T20:00:00Z,True,12,Liverpool,0,0,False,26,0,0,0,0,0,0,0,0,1,0,0,0,3,4.2,0.6,17.0,2.2,0,0,0,0,0,68,107883,1602,2382,-780
19,217,22,2026-01-17T17:30:00Z,False,16,Nott'm Forest,0,0,False,45,1,0,0,0,0,0,0,0,0,0,0,0,3,8.4,5.4,35.0,4.9,2,3,2,7,1,68,109952,4732,3177,1555
19,221,23,2026-01-25T16:30:00Z,True,14,Man Utd,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,68,110479,2549,2184,365
19,234,24,2026-01-31T15:00:00Z,False,11,Leeds,0,4,False,29,0,0,1,0,0,0,0,0,0,0,0,0,19,23.2,14.2,17.0,5.4,1,3,0,4,4,68,110214,2539,3073,-534
19,241,25,2026-02-07T15:00:00Z,True,17,Sunderland,3,0,False,30,0,0,1,0,0,0,0,0,0,0,0,0,20,26.2,13.5,25.0,6.5,1,1,1,3,4,68,113430,4996,2246,2750
19,252,26,2026-02-12T20:00:00Z,False,5,Brentford,1,1,False,9,0,0,0,0,0,0,0,0,0,0,0,0,3,5.2,0.0,17.0,2.2,1,0,0,1,1,68,145001,32514,3371,29143
19,310,26,2026-02-18T20:00:00Z,False,20,Wolves,2,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,7,13.8,28.8,48.0,9.1,1,7,2,10,2,68,145001,32514,3371,29143
19,269,27,2026-02-22T16:30:00Z,False,18,Spurs,1,4,False,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.6,2.0,0.3,0,5,0,5,1,68,130683,2136,13881,-11745
19,271,28,2026-03-01T16:30:00Z,True,7,Chelsea,2,1,False,34,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,2,0,2,1,68,122879,796,8868,-8072
19,283,29,2026-03-04T19:30:00Z,False,6,Brighton,0,1,False,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3,4.0,0.2,1,2,0,3,1,68,119496,1230,4924,-3694
19,291,30,2026-03-14T17:30:00Z,True,9,Everton,2,0,False,29,0,0,1,0,0,0,0,0,0,0,0,0,15,20.0,14.5,11.0,4.6,1,1,0,2,4,68,118249,2437,4000,-1563
19,311,32,2026-04-11T11:30:00Z,True,4,Bournemouth,1,2,False,53,1,0,0,0,1,0,0,0,0,0,0,0,3,1.2,10.8,2.0,1.4,0,1,0,1,1,68,118993,4731,1772,2959
19,327,33,2026-04-19T15:30:00Z,False,13,Man City,2,1,False,45,0,0,0,0,1,0,0,0,0,0,0,0,1,2.2,4.4,4.0,1.1,1,1,1,3,1,68,116213,958,3314,-2356
19,331,34,2026-04-25T16:30:00Z,True,15,Newcastle,1,0,False,37,0,0,0,0,0,0,0,0,1,0,0,0,1,5.0,12.3,22.0,3.9,0,3,1,4,0,68,117493,1610,1209,401
19,341,35,2026-05-02T16:30:00Z,True,10,Fulham,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,68,116532,1109,1724,-615
19,360,36,2026-05-10T15:30:00Z,False,19,West Ham,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,68,114838,681,2383,-1702
