fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
236,8,1,2025-08-17T13:00:00Z,True,8,Crystal Palace,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,18,13.8,37.7,10.0,6.2,1,4,1,6,3,70,361022,0,0,0
236,20,2,2025-08-22T19:00:00Z,False,19,West Ham,1,5,False,90,1,1,0,0,1,0,0,0,0,0,0,0,33,37.6,18.4,30.0,8.6,0,1,1,2,7,70,386970,25338,53175,-27837
236,23,3,2025-08-30T11:30:00Z,True,10,Fulham,2,0,False,80,1,0,0,1,0,0,0,0,0,0,0,0,12,8.8,32.5,0.0,4.1,2,2,0,4,3,70,668912,239084,46100,192984
236,33,4,2025-09-13T19:00:00Z,False,5,Brentford,2,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,13,11.4,35.0,24.0,7.0,1,4,1,6,2,70,648402,74495,92465,-17970
236,47,5,2025-09-20T16:30:00Z,False,14,Man Utd,2,1,False,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,1,0,1,1,70,581820,23297,95622,-72325
236,53,6,2025-09-27T14:00:00Z,True,6,Brighton,1,3,False,78,1,0,0,0,1,0,0,0,0,0,0,0,5,4.6,17.3,11.0,3.3,1,0,1,2,2,70,536512,23610,78485,-54875
236,65,7,2025-10-04T16:30:00Z,True,12,Liverpool,2,1,False,74,1,0,0,0,1,0,0,0,0,0,0,0,7,1.4,2.4,5.0,0.9,1,3,0,4,2,70,484399,10898,67858,-56960
236,77,8,2025-10-18T11:30:00Z,False,16,Nott'm Forest,0,3,False,77,1,1,1,1,0,0,0,0,0,0,0,1,46,66.6,59.1,29.0,15.5,0,2,0,2,12,70,442777,20657,70676,-50019
236,85,9,2025-10-25T14:00:00Z,True,17,Sunderland,1,2,False,84,1,0,1,0,1,0,0,0,0,0,0,3,28,19.6,17.3,0.0,3.7,0,3,0,3,8,70,636955,193709,15650,178059
236,99,10,2025-11-01T17:30:00Z,False,18,Spurs,0,1,False,84,1,0,0,1,0,0,0,0,0,0,0,0,3,9.8,18.8,41.0,7.0,0,5,1,6,3,70,691009,93774,38922,54852
236,103,11,2025-11-08T20:00:00Z,True,20,Wolves,3,0,False,76,1,1,0,1,0,0,0,0,0,0,0,1,39,42.6,31.9,21.0,9.6,0,4,1,5,9,71,741294,114450,70234,44216
236,114,12,2025-11-22T12:30:00Z,False,3,Burnley,0,2,False,90,1,1,0,1,0,0,0,0,1,0,0,1,29,41.6,28.3,58.0,12.8,0,2,0,2,8,71,801671,104226,53901,50325
236,123,13,2025-11-30T16:30:00Z,True,1,Arsenal,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,3,2.4,5.8,14.0,2.2,3,2,1,6,2,71,886254,137888,39125,98763
236,136,14,2025-12-03T20:15:00Z,False,11,Leeds,3,1,False,45,0,1,0,0,1,0,0,0,0,0,0,0,21,32.8,2.0,35.0,7.0,0,1,0,1,6,72,1046748,153726,19933,133793
236,142,15,2025-12-06T15:00:00Z,False,4,Bournemouth,0,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,15,16.2,61.7,22.0,10.0,0,3,0,3,2,72,1149417,142222,33962,108260
236,154,16,2025-12-13T15:00:00Z,True,9,Everton,2,0,False,90,1,0,1,1,0,0,0,0,0,0,0,0,22,24.8,28.8,9.0,6.3,1,4,2,7,6,73,1162946,164880,148732,16148
236,168,17,2025-12-20T12:30:00Z,False,15,Newcastle,2,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,16,8.4,28.8,28.0,6.5,0,6,0,6,2,73,1180634,108094,81961,26133
236,174,18,2025-12-27T17:30:00Z,True,2,Aston Villa,1,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,17,10.2,30.4,10.0,5.1,0,3,1,4,2,73,1111873,53634,108953,-55319
236,184,19,2025-12-30T19:30:00Z,True,4,Bournemouth,2,2,False,45,0,0,0,0,0,0,0,0,0,0,0,0,12,11.6,48.3,4.0,6.4,0,0,1,1,1,73,1100403,43993,83691,-39698
236,197,20,2026-01-04T17:30:00Z,False,13,Man City,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,3,5.0,3.1,8.0,1.6,2,3,1,6,2,72,941902,10415,165475,-155060
