fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
260,8,1,2025-08-17T13:00:00Z,False,7,Chelsea,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,22,13.8,10.0,2.0,2.6,5,1,1,6,6,45,1199617,0,0,0
260,15,2,2025-08-24T13:00:00Z,True,16,Nott'm Forest,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,6,11.2,1.5,4.0,1.7,4,3,1,5,2,45,1436549,141931,56652,85279
260,21,3,2025-08-31T18:00:00Z,False,2,Aston Villa,0,3,False,90,1,1,0,1,0,0,0,0,0,0,0,3,46,53.8,1.8,17.0,7.3,6,5,3,9,15,45,1477739,103020,89135,13885
260,35,4,2025-09-13T14:00:00Z,True,17,Sunderland,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,27,17.4,11.8,4.0,3.3,6,6,0,6,6,46,2321425,793379,101426,691953
260,49,5,2025-09-20T14:00:00Z,False,19,West Ham,1,2,False,90,1,0,1,0,1,0,0,0,0,0,0,0,25,22.0,1.4,8.0,3.1,5,2,5,10,7,47,2816236,503416,38246,465170
260,54,6,2025-09-27T14:00:00Z,True,12,Liverpool,2,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,21,35.4,11.1,4.0,5.1,8,2,3,11,7,47,3044760,358762,124333,234429
260,66,7,2025-10-05T13:00:00Z,False,9,Everton,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,7,26.8,3.6,37.0,6.7,8,5,2,10,3,48,3642394,558565,32306,526259
260,73,8,2025-10-18T14:00:00Z,True,4,Bournemouth,3,3,False,90,1,0,1,0,3,0,0,0,0,0,0,0,17,15.8,35.3,16.0,6.7,5,5,1,6,4,49,3884667,282812,58366,224446
260,81,9,2025-10-26T14:00:00Z,False,1,Arsenal,1,0,False,90,1,0,0,0,1,0,0,0,0,0,0,0,9,23.2,0.8,9.0,3.3,9,2,1,10,4,49,3919896,121670,87881,33789
260,93,10,2025-11-01T15:00:00Z,True,5,Brentford,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,2,34,24.6,10.8,2.0,3.7,7,4,5,12,10,50,4128673,225145,49470,175675
260,104,11,2025-11-09T14:00:00Z,True,6,Brighton,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,4368278,233395,21717,211678
260,120,12,2025-11-22T15:00:00Z,False,20,Wolves,0,2,False,90,1,0,0,1,0,0,0,0,1,0,0,0,22,17.2,2.8,0.0,2.0,5,3,1,6,5,51,4276523,177429,214413,-36984
260,124,13,2025-11-30T12:00:00Z,True,14,Man Utd,1,2,False,90,1,0,0,0,2,0,0,0,1,0,0,0,3,10.4,15.6,2.0,2.8,5,5,0,5,0,51,4279023,101257,59084,42173
260,134,14,2025-12-03T19:30:00Z,False,3,Burnley,0,1,False,90,1,0,1,1,0,0,0,0,0,0,0,3,46,51.4,15.8,2.0,6.9,12,8,1,13,14,51,4365367,59663,66186,-6523
260,145,15,2025-12-07T16:30:00Z,False,10,Fulham,1,2,False,90,1,1,0,0,1,0,0,0,0,0,0,0,28,47.4,1.5,33.0,8.2,3,5,2,5,8,51,4500343,150642,31525,119117
260,155,16,2025-12-14T14:00:00Z,True,13,Man City,0,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,1,16.4,0.8,7.0,2.4,6,3,1,7,1,52,4875106,503244,103775,399469
260,166,17,2025-12-20T20:00:00Z,False,11,Leeds,4,1,False,90,1,0,0,0,4,0,0,0,1,0,0,0,6,20.0,1.8,4.0,2.6,10,3,0,10,1,53,5286520,361173,30954,330219
260,175,18,2025-12-28T16:30:00Z,True,18,Spurs,0,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,14,20.4,2.4,7.0,3.0,6,12,1,7,2,53,5144537,114655,118836,-4181
260,185,19,2026-01-01T17:30:00Z,True,10,Fulham,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,10,25.0,2.7,43.0,7.1,9,2,0,9,2,53,5249056,126874,87878,38996
260,198,20,2026-01-04T15:00:00Z,False,15,Newcastle,2,0,False,90,1,0,0,0,2,0,0,0,1,0,0,0,3,14.0,2.3,11.0,2.7,10,9,1,11,2,53,5179520,58021,190701,-132680
260,205,21,2026-01-07T19:30:00Z,True,2,Aston Villa,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,27,23.6,3.2,0.0,2.7,5,3,1,6,6,53,5034754,62322,215905,-153583
260,218,22,2026-01-17T15:00:00Z,False,17,Sunderland,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,53,5000012,152212,210355,-58143
260,228,23,2026-01-24T15:00:00Z,True,20,Wolves,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,29,26.0,16.5,21.0,6.4,5,5,0,5,6,52,4814869,152280,350128,-197848
260,239,24,2026-02-01T16:30:00Z,False,18,Spurs,2,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,8,26.2,6.8,27.0,6.0,9,3,1,10,3,52,4810998,161259,174011,-12752
260,247,25,2026-02-08T16:30:00Z,False,12,Liverpool,1,2,False,90,1,0,0,0,1,0,0,0,1,0,0,0,11,35.4,1.8,19.0,5.6,11,3,1,12,3,52,4697277,64202,161513,-97311
260,256,26,2026-02-11T19:30:00Z,True,10,Fulham,3,0,False,90,1,0,0,1,0,0,0,0,0,0,0,1,33,31.2,12.9,2.0,4.6,7,4,2,9,7,52,4710438,93361,101119,-7758
260,266,27,2026-02-21T20:00:00Z,True,15,Newcastle,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,18,18.4,15.7,0.0,3.4,6,2,1,7,2,52,4846205,170054,55187,114867
260,276,28,2026-02-28T17:30:00Z,False,11,Leeds,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,0,29,29.8,2.8,33.0,6.6,6,2,2,8,6,52,4752792,86875,176464,-89589
260,287,29,2026-03-04T19:30:00Z,True,16,Nott'm Forest,2,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,4,15.2,5.3,7.0,2.8,3,4,0,3,1,52,4868843,135810,39691,96119
260,300,30,2026-03-14T20:00:00Z,False,19,West Ham,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,10,17.8,24.5,21.0,6.3,8,7,0,8,2,52,4812069,53454,103129,-49675
260,314,32,2026-04-12T15:30:00Z,False,7,Chelsea,0,3,False,90,1,1,0,1,0,0,0,0,0,0,0,3,48,67.6,16.8,21.0,10.5,6,2,3,9,15,51,4318725,57381,155780,-98399
260,327,33,2026-04-19T15:30:00Z,True,1,Arsenal,2,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,12,21.6,5.5,17.0,4.4,6,5,1,7,1,51,4568833,258094,61992,196102
260,334,33,2026-04-22T19:00:00Z,False,3,Burnley,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,1,29,19.4,18.3,2.0,4.0,8,1,0,8,7,51,4568833,258094,61992,196102
260,346,35,2026-05-04T19:00:00Z,False,9,Everton,3,3,False,90,1,0,1,0,3,0,0,0,0,0,0,0,15,46.8,27.8,9.0,8.4,7,3,1,8,4,51,4270783,75680,94856,-19176
