fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
267,8,1,2025-08-17T13:00:00Z,False,7,Chelsea,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,16,10.0,15.5,0.0,2.6,4,3,0,7,3,65,502135,0,0,0
267,15,2,2025-08-24T13:00:00Z,True,16,Nott'm Forest,1,1,False,90,1,1,0,0,1,0,0,0,0,0,0,1,20,36.0,2.8,17.0,5.6,0,2,2,4,8,65,493698,27142,65743,-38601
267,21,3,2025-08-31T18:00:00Z,False,2,Aston Villa,0,3,False,90,1,1,0,1,0,0,0,0,1,0,0,0,16,37.4,2.3,40.0,8.0,2,5,1,8,7,65,733179,262152,57990,204162
267,35,4,2025-09-13T14:00:00Z,True,17,Sunderland,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,65,513146,150881,350991,-200110
267,49,5,2025-09-20T14:00:00Z,False,19,West Ham,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,65,341444,1388,185461,-184073
267,54,6,2025-09-27T14:00:00Z,True,12,Liverpool,2,1,False,74,1,1,0,1,0,0,0,0,0,0,0,3,29,33.0,12.8,53.0,9.9,0,3,0,3,11,64,282281,13605,76547,-62942
267,66,7,2025-10-05T13:00:00Z,False,9,Everton,2,1,False,88,1,0,1,0,1,0,0,0,0,0,0,2,26,35.6,32.1,8.0,7.6,2,1,3,6,7,64,668297,380670,23925,356745
267,73,8,2025-10-18T14:00:00Z,True,4,Bournemouth,3,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,7,7.0,12.1,17.0,3.6,2,4,1,7,2,65,1015492,376001,35174,340827
267,81,9,2025-10-26T14:00:00Z,False,1,Arsenal,1,0,False,90,1,0,0,0,1,0,0,0,0,0,0,0,11,7.2,2.6,7.0,1.7,2,6,1,9,2,65,1010293,93820,87587,6233
267,93,10,2025-11-01T15:00:00Z,True,5,Brentford,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,6,5.8,2.6,16.0,2.4,5,4,1,10,3,66,1429934,420042,47312,372730
