fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
273,8,1,2025-08-17T13:00:00Z,False,7,Chelsea,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,14,14.6,22.3,0.0,3.7,2,4,0,6,3,50,56704,0,0,0
273,15,2,2025-08-24T13:00:00Z,True,16,Nott'm Forest,1,1,False,81,1,0,0,0,1,0,0,0,0,0,0,0,18,8.2,20.2,0.0,2.8,2,6,1,9,2,50,67486,7424,6861,563
273,21,3,2025-08-31T18:00:00Z,False,2,Aston Villa,0,3,False,55,1,0,0,0,0,0,0,0,0,0,0,0,9,3.2,5.9,0.0,0.9,0,5,0,5,1,50,67625,5794,8450,-2656
273,35,4,2025-09-13T14:00:00Z,True,17,Sunderland,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,52687,2472,18040,-15568
273,49,5,2025-09-20T14:00:00Z,False,19,West Ham,1,2,False,74,1,0,1,0,1,0,0,0,0,0,0,2,30,11.2,43.0,2.0,5.6,2,2,1,5,7,50,46799,1524,8384,-6860
273,54,6,2025-09-27T14:00:00Z,True,12,Liverpool,2,1,False,61,1,0,0,1,0,0,0,0,0,0,0,0,21,13.0,48.3,5.0,6.6,1,4,1,6,3,50,49122,4578,3265,1313
273,66,7,2025-10-05T13:00:00Z,False,9,Everton,2,1,False,90,1,0,0,0,2,0,0,0,1,0,0,0,14,11.6,28.8,2.0,4.2,4,5,3,12,3,50,55970,8328,2785,5543
273,73,8,2025-10-18T14:00:00Z,True,4,Bournemouth,3,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,10,13.6,32.5,4.0,5.0,1,5,2,8,2,50,63707,10253,4096,6157
273,81,9,2025-10-26T14:00:00Z,False,1,Arsenal,1,0,False,90,1,0,0,0,1,0,0,0,0,0,0,0,12,12.6,17.5,1.0,3.1,4,2,3,9,2,50,63149,4077,4842,-765
273,93,10,2025-11-01T15:00:00Z,True,5,Brentford,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,59140,3128,7615,-4487
273,104,11,2025-11-09T14:00:00Z,True,6,Brighton,0,0,False,65,1,0,0,1,0,0,0,0,0,0,0,0,8,5.8,6.3,1.0,1.3,2,2,1,5,3,50,53945,1157,6621,-5464
