fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
317,3,1,2025-08-16T14:00:00Z,False,6,Brighton,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,14,16.4,1.0,4.0,2.1,5,1,3,8,2,45,299085,0,0,0
317,17,2,2025-08-24T15:30:00Z,True,14,Man Utd,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,14,24.6,11.4,6.0,4.2,10,2,1,11,4,45,306358,10095,15320,-5225
317,23,3,2025-08-30T11:30:00Z,False,7,Chelsea,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,13,20.8,11.2,8.0,4.0,7,4,3,10,3,45,299587,15504,21527,-6023
317,37,4,2025-09-13T14:00:00Z,True,11,Leeds,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,2,32,29.0,3.0,0.0,3.2,9,7,3,12,10,45,376081,84877,39232,45645
317,45,5,2025-09-20T19:00:00Z,True,5,Brentford,3,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,15,32.4,0.8,11.0,4.4,13,3,2,15,4,45,432593,75860,15829,60031
317,51,6,2025-09-28T13:00:00Z,False,2,Aston Villa,3,1,False,90,1,0,0,0,3,0,0,0,0,0,0,0,8,18.8,0.8,2.0,2.2,8,3,2,10,3,45,501331,138214,67075,71139
317,63,7,2025-10-03T19:00:00Z,False,4,Bournemouth,3,1,False,90,1,0,0,0,3,0,0,0,0,0,0,0,6,34.4,0.9,0.0,3.5,14,5,1,15,3,45,498275,30403,32330,-1927
317,74,8,2025-10-18T16:30:00Z,True,1,Arsenal,0,1,False,41,1,0,0,0,0,0,0,0,0,0,0,0,6,11.4,0.2,0.0,1.2,4,3,0,4,1,45,490625,33467,44254,-10787
317,89,9,2025-10-25T14:00:00Z,False,15,Newcastle,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,388872,1418,102266,-100848
317,94,10,2025-11-01T15:00:00Z,True,20,Wolves,3,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,25,12.2,1.5,14.0,2.8,4,9,0,4,6,45,349465,19624,62410,-42786
317,105,11,2025-11-08T15:00:00Z,False,9,Everton,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,7,32.6,0.5,2.0,3.5,13,2,0,13,3,45,351378,11926,10922,1004
317,115,12,2025-11-22T15:00:00Z,True,17,Sunderland,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,2,31,28.6,3.2,9.0,4.1,14,1,1,15,10,45,364625,20616,11476,9140
317,129,13,2025-11-29T20:00:00Z,False,18,Spurs,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,18,33.0,0.4,2.0,3.5,14,3,1,15,4,45,307970,14685,15404,-719
317,135,14,2025-12-02T19:30:00Z,True,13,Man City,4,5,False,90,1,0,0,0,5,0,0,0,0,0,0,0,-5,25.6,5.4,0.0,3.1,7,8,1,8,0,45,373399,19286,7721,11565
317,145,15,2025-12-07T16:30:00Z,True,8,Crystal Palace,1,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,14,31.4,26.3,4.0,6.2,7,5,0,7,1,45,407611,37884,8154,29730
317,153,16,2025-12-13T17:30:00Z,False,3,Burnley,2,3,False,90,1,0,0,0,2,0,0,0,1,0,0,0,2,25.6,0.6,0.0,2.6,11,2,3,14,2,46,891211,439148,12690,426458
317,165,17,2025-12-22T20:00:00Z,True,16,Nott'm Forest,1,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,23,22.8,0.3,0.0,2.3,11,2,1,12,7,46,841673,46439,33084,13355
317,180,18,2025-12-27T15:00:00Z,False,19,West Ham,0,1,False,90,1,0,0,1,0,0,0,0,1,0,0,0,23,22.2,2.3,7.0,3.2,8,4,0,8,5,46,835267,32208,27999,4209
317,185,19,2026-01-01T17:30:00Z,False,8,Crystal Palace,1,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,8,28.4,2.1,6.0,3.7,10,4,2,12,3,46,758176,16691,56872,-40181
317,195,20,2026-01-04T15:15:00Z,True,12,Liverpool,2,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,2,20.2,0.9,4.0,2.5,12,2,0,12,3,46,746966,12627,76133,-63506
317,207,21,2026-01-07T19:30:00Z,True,7,Chelsea,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,12,27.4,3.3,0.0,3.1,7,4,1,8,2,46,709647,10606,49733,-39127
317,214,22,2026-01-17T15:00:00Z,False,11,Leeds,1,0,False,90,1,0,0,0,1,0,0,0,0,0,0,0,10,23.2,0.4,2.0,2.6,7,5,2,9,2,46,705664,25949,34386,-8437
317,227,23,2026-01-24T15:00:00Z,True,6,Brighton,2,1,False,90,1,0,1,0,1,0,0,0,0,0,0,1,27,41.0,11.2,0.0,5.2,9,4,2,11,8,46,691835,16864,31457,-14593
317,236,24,2026-02-01T14:00:00Z,False,14,Man Utd,3,2,False,90,1,0,0,0,3,0,0,0,1,0,0,0,-3,14.0,10.7,39.0,6.4,2,2,0,2,0,46,658817,29062,61087,-32025
317,245,25,2026-02-07T15:00:00Z,True,9,Everton,1,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,5,23.8,11.7,4.0,4.0,4,3,5,9,1,46,670744,29271,23538,5733
317,256,26,2026-02-11T19:30:00Z,False,13,Man City,3,0,False,90,1,0,0,0,3,0,0,0,1,0,0,0,5,31.2,1.3,0.0,3.3,8,2,2,10,2,46,598972,4857,64539,-59682
317,268,27,2026-02-22T14:00:00Z,False,17,Sunderland,1,3,False,90,1,0,0,0,1,0,0,0,0,0,0,0,13,26.2,0.4,0.0,2.7,10,1,1,11,4,45,597601,10837,21625,-10788
317,275,28,2026-03-01T14:00:00Z,True,18,Spurs,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,612527,29591,15912,13679
317,285,29,2026-03-04T19:30:00Z,True,19,West Ham,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,621354,33160,23481,9679
