fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
325,3,1,2025-08-16T14:00:00Z,False,6,Brighton,1,1,False,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,2.0,2.0,0.4,0,0,0,0,1,60,98177,0,0,0
325,17,2,2025-08-24T15:30:00Z,True,14,Man Utd,1,1,False,19,0,1,0,0,0,0,0,0,0,0,0,0,21,32.8,3.6,38.0,7.4,0,0,0,0,6,59,83859,2640,23569,-20929
325,23,3,2025-08-30T11:30:00Z,False,7,Chelsea,2,0,False,23,0,0,0,0,0,0,0,0,0,0,0,0,4,3.8,12.3,0.0,1.6,0,0,0,0,1,59,88983,11247,11809,-562
325,37,4,2025-09-13T14:00:00Z,True,11,Leeds,1,0,False,30,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,4.8,0.0,0.6,0,1,0,1,1,59,92076,13014,14442,-1428
325,45,5,2025-09-20T19:00:00Z,True,5,Brentford,3,1,False,10,0,0,0,0,0,0,0,0,0,0,0,0,4,2.2,0.3,0.0,0.3,0,1,1,2,1,59,83313,4749,13619,-8870
325,51,6,2025-09-28T13:00:00Z,False,2,Aston Villa,3,1,False,25,0,0,0,0,0,0,0,0,0,0,0,0,3,1.4,3.0,0.0,0.4,0,1,0,1,1,58,73619,2814,13053,-10239
325,63,7,2025-10-03T19:00:00Z,False,4,Bournemouth,3,1,False,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0.6,2.3,0.0,0.3,0,0,0,0,1,58,68553,1666,7460,-5794
325,74,8,2025-10-18T16:30:00Z,True,1,Arsenal,0,1,False,26,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,2.5,0.0,0.4,0,1,0,1,1,57,61452,1219,8904,-7685
325,89,9,2025-10-25T14:00:00Z,False,15,Newcastle,2,1,False,45,1,0,0,0,1,0,0,0,0,0,0,0,5,10.8,13.9,15.0,4.0,3,1,0,4,1,57,58453,951,4323,-3372
325,94,10,2025-11-01T15:00:00Z,True,20,Wolves,3,0,False,18,0,0,0,0,0,0,0,0,0,0,0,0,5,3.6,13.3,9.0,2.6,0,1,0,1,1,57,53560,1291,6420,-5129
325,105,11,2025-11-08T15:00:00Z,False,9,Everton,2,0,False,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,1,56,51728,1124,3178,-2054
325,115,12,2025-11-22T15:00:00Z,True,17,Sunderland,1,0,False,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12.7,14.0,2.6,0,2,0,2,1,56,51130,1369,2349,-980
325,129,13,2025-11-29T20:00:00Z,False,18,Spurs,1,2,False,22,0,0,0,0,0,0,0,0,0,0,0,0,8,6.4,0.5,7.0,1.4,0,0,3,3,1,56,49696,661,2162,-1501
325,135,14,2025-12-02T19:30:00Z,True,13,Man City,4,5,False,73,1,1,0,0,5,0,0,0,0,0,0,0,31,36.4,5.0,39.0,8.0,2,1,0,3,7,56,49110,634,1375,-741
325,145,15,2025-12-07T16:30:00Z,True,8,Crystal Palace,1,2,False,67,1,0,0,0,1,0,0,0,0,0,0,0,8,6.0,3.3,24.0,3.3,2,3,0,5,2,56,56035,7253,1114,6139
325,153,16,2025-12-13T17:30:00Z,False,3,Burnley,2,3,False,88,1,1,0,0,2,0,0,0,0,0,0,1,35,36.8,7.3,37.0,8.1,1,3,2,6,8,56,76150,23062,4017,19045
325,165,17,2025-12-22T20:00:00Z,True,16,Nott'm Forest,1,0,False,84,1,0,0,1,0,0,0,0,0,0,0,0,17,5.6,14.3,2.0,2.2,1,10,0,11,3,56,110137,37874,5496,32378
325,180,18,2025-12-27T15:00:00Z,False,19,West Ham,0,1,False,81,1,0,0,1,0,0,0,0,0,0,0,0,8,9.6,27.3,10.0,4.7,3,4,1,8,3,56,129561,21905,6484,15421
325,185,19,2026-01-01T17:30:00Z,False,8,Crystal Palace,1,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,15,14.2,42.7,17.0,7.4,3,4,1,8,1,56,113026,5165,12278,-7113
325,195,20,2026-01-04T15:15:00Z,True,12,Liverpool,2,2,False,73,1,0,0,0,1,0,0,0,0,0,0,0,14,7.8,5.8,2.0,1.6,5,2,0,7,2,56,105804,3078,12874,-9796
325,207,21,2026-01-07T19:30:00Z,True,7,Chelsea,2,1,False,82,1,0,1,0,1,0,0,0,0,0,0,0,23,11.6,18.0,9.0,3.9,3,5,2,10,5,56,96537,2188,11834,-9646
325,214,22,2026-01-17T15:00:00Z,False,11,Leeds,1,0,False,76,1,0,0,1,0,0,0,0,0,0,0,0,11,12.0,14.2,1.0,2.7,3,3,4,10,3,56,95107,5739,8188,-2449
325,227,23,2026-01-24T15:00:00Z,True,6,Brighton,2,1,False,68,1,0,0,0,1,0,0,0,0,0,0,0,8,3.8,4.8,0.0,0.9,1,1,0,2,2,56,83729,504,11706,-11202
325,236,24,2026-02-01T14:00:00Z,False,14,Man Utd,3,2,False,70,1,0,0,0,2,0,0,0,0,0,0,0,14,2.4,4.2,6.0,1.3,1,5,1,7,2,56,78540,1952,7397,-5445
325,245,25,2026-02-07T15:00:00Z,True,9,Everton,1,2,False,82,1,0,0,0,1,0,0,0,0,0,0,0,12,9.6,14.8,25.0,4.9,1,1,2,4,2,56,77230,2496,4164,-1668
325,256,26,2026-02-11T19:30:00Z,False,13,Man City,3,0,False,59,1,0,0,0,3,0,0,0,0,0,0,0,4,2.2,1.8,4.0,0.8,1,1,1,3,1,56,72090,1169,5952,-4783
325,268,27,2026-02-22T14:00:00Z,False,17,Sunderland,1,3,False,87,1,0,0,0,1,0,0,0,0,0,0,0,9,9.4,12.5,0.0,2.2,1,4,3,8,2,56,70852,1232,3191,-1959
325,275,28,2026-03-01T14:00:00Z,True,18,Spurs,2,1,False,71,1,0,0,0,1,0,0,0,0,0,0,0,3,7.2,3.0,25.0,3.5,2,1,1,4,2,56,70417,1315,1960,-645
325,285,29,2026-03-04T19:30:00Z,True,19,West Ham,0,1,False,29,0,0,0,0,1,0,0,0,0,0,0,0,6,5.8,6.1,35.0,4.7,0,1,0,1,1,56,71378,2809,2089,720
325,298,30,2026-03-15T14:00:00Z,False,16,Nott'm Forest,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,56,70334,1739,2792,-1053
325,305,31,2026-03-21T15:00:00Z,True,3,Burnley,3,1,False,8,0,0,0,0,0,0,0,0,0,0,0,0,5,6.4,31.0,4.0,4.1,0,0,0,0,1,56,66161,493,3035,-2542
325,316,32,2026-04-11T16:30:00Z,False,12,Liverpool,2,0,False,45,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2.7,17.0,2.5,2,0,2,4,1,56,66410,578,2169,-1591
325,322,33,2026-04-18T11:30:00Z,False,5,Brentford,0,0,False,66,1,0,0,1,0,0,0,0,0,0,0,0,11,6.2,16.7,4.0,2.7,2,1,1,4,3,56,64969,600,1823,-1223
325,335,34,2026-04-25T11:30:00Z,True,2,Aston Villa,1,0,False,75,1,0,0,1,0,0,0,0,0,0,0,0,8,7.2,4.1,8.0,1.9,2,1,3,6,3,56,66552,1747,990,757
