fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
328,3,1,2025-08-16T14:00:00Z,False,6,Brighton,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,3258,0,0,0
328,17,2,2025-08-24T15:30:00Z,True,14,Man Utd,1,1,False,61,1,0,0,0,1,0,0,0,0,0,0,0,14,11.0,15.4,6.0,3.2,2,1,2,5,2,55,2551,47,875,-828
328,23,3,2025-08-30T11:30:00Z,False,7,Chelsea,2,0,False,66,1,0,0,0,2,0,0,0,0,0,0,0,3,10.6,1.2,2.0,1.4,5,1,4,10,2,54,3129,663,453,210
328,37,4,2025-09-13T14:00:00Z,True,11,Leeds,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,12,15.4,22.8,4.0,4.2,5,3,2,10,3,54,4132,1197,704,493
328,45,5,2025-09-20T19:00:00Z,True,5,Brentford,3,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,25,22.6,5.8,27.0,5.5,4,1,4,9,5,54,4335,646,592,54
328,51,6,2025-09-28T13:00:00Z,False,2,Aston Villa,3,1,False,79,1,0,0,0,3,0,0,0,0,0,0,0,12,20.4,1.0,6.0,2.7,6,1,4,11,2,54,4819,808,546,262
328,63,7,2025-10-03T19:00:00Z,False,4,Bournemouth,3,1,False,90,1,1,0,0,3,0,0,0,0,0,0,2,34,45.8,16.9,27.0,9.0,4,5,1,10,9,54,5053,549,522,27
328,74,8,2025-10-18T16:30:00Z,True,1,Arsenal,0,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,4,1.4,0.7,3.0,0.5,2,4,1,7,2,54,9863,5105,1105,4000
328,89,9,2025-10-25T14:00:00Z,False,15,Newcastle,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,14,16.0,13.3,0.0,2.9,6,7,1,14,4,54,12263,3473,1256,2217
328,94,10,2025-11-01T15:00:00Z,True,20,Wolves,3,0,False,90,1,1,1,1,0,0,0,0,0,0,0,3,40,45.6,8.1,21.0,7.5,5,2,0,7,14,54,30538,17484,2436,15048
328,105,11,2025-11-08T15:00:00Z,False,9,Everton,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,10,13.0,3.9,4.0,2.1,7,5,1,13,4,54,76734,50110,5705,44405
328,115,12,2025-11-22T15:00:00Z,True,17,Sunderland,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,7,8.8,12.5,15.0,3.6,4,2,0,6,3,54,111456,37787,9124,28663
328,129,13,2025-11-29T20:00:00Z,False,18,Spurs,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,15,28.0,0.9,2.0,3.1,9,5,4,18,4,54,91362,6487,18711,-12224
328,135,14,2025-12-02T19:30:00Z,True,13,Man City,4,5,False,90,1,0,0,0,5,0,0,0,0,0,0,0,11,7.6,4.2,5.0,1.7,2,7,2,11,2,54,88382,4220,9530,-5310
328,145,15,2025-12-07T16:30:00Z,True,8,Crystal Palace,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,83906,5240,9822,-4582
328,153,16,2025-12-13T17:30:00Z,False,3,Burnley,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,43725,4307,43912,-39605
328,165,17,2025-12-22T20:00:00Z,True,16,Nott'm Forest,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,28949,29,16384,-16355
328,180,18,2025-12-27T15:00:00Z,False,19,West Ham,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,23808,24,5561,-5537
328,185,19,2026-01-01T17:30:00Z,False,8,Crystal Palace,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,21594,15,2512,-2497
328,195,20,2026-01-04T15:15:00Z,True,12,Liverpool,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,20354,12,1451,-1439
328,207,21,2026-01-07T19:30:00Z,True,7,Chelsea,2,1,False,17,0,0,0,0,0,0,0,0,0,0,0,0,5,6.8,15.8,6.0,2.9,1,0,0,1,1,54,19497,40,936,-896
328,214,22,2026-01-17T15:00:00Z,False,11,Leeds,1,0,False,64,1,0,0,1,0,0,0,0,0,0,0,0,3,0.0,0.3,9.0,0.7,0,1,0,1,3,54,19734,858,779,79
328,227,23,2026-01-24T15:00:00Z,True,6,Brighton,2,1,False,31,0,0,0,0,0,0,0,0,0,0,0,0,4,13.8,0.4,0.0,1.4,5,1,1,7,1,54,21240,2179,796,1383
328,236,24,2026-02-01T14:00:00Z,False,14,Man Utd,3,2,False,19,0,0,1,0,1,0,0,0,0,0,0,0,10,20.6,15.9,6.0,4.3,0,0,2,2,4,54,19688,404,1945,-1541
