fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
332,3,1,2025-08-16T14:00:00Z,False,6,Brighton,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,9,1.8,13.3,2.0,1.7,2,0,1,3,2,50,5926,0,0,0
332,17,2,2025-08-24T15:30:00Z,True,14,Man Utd,1,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,19,11.8,65.9,2.0,8.0,3,8,1,12,3,50,6795,204,793,-589
332,23,3,2025-08-30T11:30:00Z,False,7,Chelsea,2,0,False,90,1,0,0,0,2,0,0,0,1,0,0,0,8,23.6,47.8,2.0,7.3,2,3,5,10,1,50,7590,843,937,-94
332,37,4,2025-09-13T14:00:00Z,True,11,Leeds,1,0,False,90,1,0,1,1,0,0,0,0,0,0,0,0,25,11.4,4.0,7.0,2.2,3,2,4,9,6,50,8542,1149,991,158
332,45,5,2025-09-20T19:00:00Z,True,5,Brentford,3,1,False,85,1,0,0,0,1,0,0,0,1,0,0,0,6,1.4,29.3,9.0,4.0,2,2,1,5,1,50,10324,2011,794,1217
332,51,6,2025-09-28T13:00:00Z,False,2,Aston Villa,3,1,False,90,1,0,1,0,3,0,0,0,1,0,0,0,20,22.4,31.5,14.0,6.8,2,5,1,8,4,50,9881,714,1227,-513
332,63,7,2025-10-03T19:00:00Z,False,4,Bournemouth,3,1,False,13,1,0,0,0,0,0,0,0,0,0,0,0,4,6.0,0.0,0.0,0.6,3,0,1,4,1,50,10318,779,704,75
332,74,8,2025-10-18T16:30:00Z,True,1,Arsenal,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,8399,91,1976,-1885
332,89,9,2025-10-25T14:00:00Z,False,15,Newcastle,2,1,False,84,1,1,0,0,1,0,0,0,0,0,0,2,34,41.8,27.5,35.0,10.4,2,3,3,8,9,50,7554,40,942,-902
332,94,10,2025-11-01T15:00:00Z,True,20,Wolves,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,13396,5437,634,4803
332,105,11,2025-11-08T15:00:00Z,False,9,Everton,2,0,False,45,1,0,0,0,1,0,0,0,1,0,0,0,0,5.0,0.4,0.0,0.5,4,1,0,5,0,50,10696,382,2513,-2131
332,115,12,2025-11-22T15:00:00Z,True,17,Sunderland,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,8642,60,2119,-2059
332,129,13,2025-11-29T20:00:00Z,False,18,Spurs,1,2,False,22,0,0,0,0,0,0,0,0,0,0,0,0,8,15.2,10.1,0.0,2.5,2,3,3,8,1,50,8288,93,600,-507
332,135,14,2025-12-02T19:30:00Z,True,13,Man City,4,5,False,45,1,0,0,0,3,0,0,0,0,0,0,0,7,11.0,14.7,0.0,2.6,1,2,2,5,1,50,8191,83,336,-253
332,145,15,2025-12-07T16:30:00Z,True,8,Crystal Palace,1,2,False,14,0,0,0,0,1,0,0,0,0,0,0,0,5,1.4,0.3,0.0,0.2,1,3,0,4,1,50,8144,129,277,-148
332,153,16,2025-12-13T17:30:00Z,False,3,Burnley,2,3,False,11,0,0,0,0,1,0,0,0,0,0,0,0,6,7.4,0.0,0.0,0.7,3,1,1,5,1,50,7983,351,631,-280
332,165,17,2025-12-22T20:00:00Z,True,16,Nott'm Forest,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,21,19.0,32.1,4.0,5.5,3,5,5,13,5,50,7802,232,508,-276
332,180,18,2025-12-27T15:00:00Z,False,19,West Ham,0,1,False,87,1,0,0,1,0,0,0,0,0,0,0,0,12,10.6,18.3,15.0,4.4,2,5,2,9,3,49,8261,516,301,215
332,185,19,2026-01-01T17:30:00Z,False,8,Crystal Palace,1,1,False,90,1,0,1,0,1,0,0,0,0,0,0,1,21,29.8,16.0,8.0,5.4,3,2,4,9,6,49,8119,220,250,-30
332,195,20,2026-01-04T15:15:00Z,True,12,Liverpool,2,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,13,3.6,3.9,2.0,1.0,3,3,0,6,2,49,8440,497,246,251
332,207,21,2026-01-07T19:30:00Z,True,7,Chelsea,2,1,False,17,0,0,0,0,0,0,0,0,0,0,0,0,3,2.2,11.8,2.0,1.6,1,1,0,2,1,49,8451,282,283,-1
332,214,22,2026-01-17T15:00:00Z,False,11,Leeds,1,0,False,65,1,0,0,1,0,0,0,0,1,0,0,0,4,6.6,11.8,17.0,3.5,1,0,1,2,2,49,8553,382,350,32
332,227,23,2026-01-24T15:00:00Z,True,6,Brighton,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,8061,30,523,-493
332,236,24,2026-02-01T14:00:00Z,False,14,Man Utd,3,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,7675,9,404,-395
332,245,25,2026-02-07T15:00:00Z,True,9,Everton,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,7413,1,280,-279
332,256,26,2026-02-11T19:30:00Z,False,13,Man City,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,7204,6,210,-204
332,268,27,2026-02-22T14:00:00Z,False,17,Sunderland,1,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,7081,8,148,-140
332,275,28,2026-03-01T14:00:00Z,True,18,Spurs,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,7047,12,57,-45
332,285,29,2026-03-04T19:30:00Z,True,19,West Ham,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,7097,61,43,18
332,298,30,2026-03-15T14:00:00Z,False,16,Nott'm Forest,0,0,False,27,0,0,0,0,0,0,0,0,0,0,0,0,6,3.4,2.0,4.0,0.9,0,1,2,3,1,49,7134,55,58,-3
332,305,31,2026-03-21T15:00:00Z,True,3,Burnley,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,7170,52,37,15
332,316,32,2026-04-11T16:30:00Z,False,12,Liverpool,2,0,False,45,0,0,0,0,0,0,0,0,0,0,0,0,5,14.6,24.6,6.0,4.5,4,2,1,7,1,49,7207,55,63,-8
332,322,33,2026-04-18T11:30:00Z,False,5,Brentford,0,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,12,5.2,14.4,1.0,2.1,1,3,2,6,2,49,7239,59,56,3
332,335,34,2026-04-25T11:30:00Z,True,2,Aston Villa,1,0,False,90,1,0,1,1,0,0,0,0,0,0,0,0,21,16.2,17.2,26.0,5.9,3,5,2,10,6,49,7470,164,51,113
