fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
351,10,1,2025-08-18T19:00:00Z,True,9,Everton,1,0,False,66,1,0,0,1,0,0,0,0,0,0,0,0,12,6.6,6.3,11.0,2.4,2,1,4,7,3,55,35555,0,0,0
351,11,2,2025-08-23T16:30:00Z,False,1,Arsenal,5,0,False,65,1,0,0,0,4,0,0,0,0,0,0,0,10,7.2,1.5,2.0,1.1,0,2,4,6,2,55,34356,1958,6032,-4074
351,24,3,2025-08-30T16:30:00Z,True,15,Newcastle,0,0,False,59,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,13.6,3.0,1.6,0,3,0,3,0,54,30732,1393,5773,-4380
351,37,4,2025-09-13T14:00:00Z,False,10,Fulham,1,0,False,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2.0,0.0,0.0,0.2,0,0,1,1,1,54,27092,1441,5957,-4516
351,50,5,2025-09-20T14:00:00Z,False,20,Wolves,1,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,53,21584,405,6131,-5726
351,56,6,2025-09-27T14:00:00Z,True,4,Bournemouth,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,53,15946,34,5737,-5703
351,67,7,2025-10-04T11:30:00Z,True,18,Spurs,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,52,13622,34,2510,-2476
351,72,8,2025-10-18T14:00:00Z,False,3,Burnley,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,52,12047,116,1767,-1651
351,87,9,2025-10-24T19:00:00Z,True,19,West Ham,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,52,11266,15,832,-817
351,91,10,2025-11-01T15:00:00Z,False,6,Brighton,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,52,10898,156,553,-397
351,107,11,2025-11-09T14:00:00Z,False,16,Nott'm Forest,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,52,10777,152,392,-240
351,116,12,2025-11-23T14:00:00Z,True,2,Aston Villa,1,2,False,10,0,0,0,0,0,0,0,0,1,0,0,0,2,0.6,11.0,2.0,1.4,0,0,0,0,0,52,10622,112,359,-247
351,126,13,2025-11-29T15:00:00Z,False,13,Man City,3,2,False,45,1,0,0,0,2,0,0,0,0,0,0,0,9,6.8,11.3,0.0,1.8,0,3,3,6,1,52,10494,130,308,-178
351,136,14,2025-12-03T20:15:00Z,True,7,Chelsea,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,52,10477,123,193,-70
351,146,15,2025-12-06T17:30:00Z,True,12,Liverpool,3,3,False,25,0,0,1,0,1,0,0,0,0,0,0,0,13,0.6,3.9,2.0,0.7,0,0,0,0,4,52,10421,110,240,-130
351,152,16,2025-12-14T16:30:00Z,False,5,Brentford,1,1,False,17,0,0,1,0,0,0,0,0,0,0,0,0,18,23.0,24.6,0.0,4.8,1,0,0,1,4,52,10591,414,329,85
351,166,17,2025-12-20T20:00:00Z,True,8,Crystal Palace,4,1,False,13,0,0,0,0,1,0,0,0,0,0,0,0,6,5.6,0.6,7.0,1.3,2,2,1,5,1,52,11037,573,265,308
351,179,18,2025-12-28T14:00:00Z,False,17,Sunderland,1,1,False,5,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,2,1,0,3,1,52,11167,420,366,54
351,186,19,2026-01-01T17:30:00Z,False,12,Liverpool,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,52,10991,159,318,-159
351,196,20,2026-01-04T12:30:00Z,True,14,Man Utd,1,1,False,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4,0.3,0.0,0.1,1,2,0,3,1,52,10978,164,244,-80
