fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
381,1,1,2025-08-15T19:00:00Z,True,4,Bournemouth,4,2,False,90,1,1,0,0,2,0,0,0,0,0,0,1,36,49.0,33.8,51.0,13.4,1,9,0,10,8,145,5221323,0,0,0
381,19,2,2025-08-25T19:00:00Z,False,15,Newcastle,2,3,False,90,1,0,1,0,2,0,0,0,0,0,0,0,24,21.0,28.3,6.0,5.5,1,1,0,2,5,145,5757761,150654,149431,1223
381,25,3,2025-08-31T15:30:00Z,True,1,Arsenal,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,5,0.4,6.8,17.0,2.4,0,2,0,2,3,145,6034857,291184,188552,102632
381,34,4,2025-09-14T13:00:00Z,False,3,Burnley,0,1,False,90,1,1,0,1,0,0,0,0,0,0,0,1,26,35.0,20.6,27.0,8.3,0,3,0,3,9,145,6379010,324596,247470,77126
381,46,5,2025-09-20T11:30:00Z,True,9,Everton,2,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,14,21.6,16.7,27.0,6.5,2,2,0,4,5,145,6387261,151658,185305,-33647
381,54,6,2025-09-27T14:00:00Z,False,8,Crystal Palace,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,-2,4.6,28.4,31.0,6.4,0,3,0,3,2,145,5725045,138977,791471,-652494
381,65,7,2025-10-04T16:30:00Z,False,7,Chelsea,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,4,5.6,51.8,10.0,6.7,0,4,0,4,2,145,5036539,45559,754261,-708702
381,75,8,2025-10-19T15:30:00Z,True,14,Man Utd,1,2,False,84,1,0,0,0,2,0,0,0,0,0,0,0,10,9.4,50.3,42.0,10.2,0,1,0,1,2,144,4372723,39794,754862,-715068
381,84,9,2025-10-25T19:00:00Z,False,5,Brentford,3,2,False,90,1,1,0,0,3,0,0,0,1,0,0,0,15,34.8,15.5,57.0,10.7,1,1,0,2,6,143,3531263,14393,859539,-845146
381,95,10,2025-11-01T20:00:00Z,True,2,Aston Villa,2,0,False,90,1,1,0,1,0,0,0,0,0,0,0,2,31,40.0,19.6,28.0,8.8,0,4,0,4,10,142,3092787,11087,462905,-451818
381,106,11,2025-11-09T16:30:00Z,False,13,Man City,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,4,8.4,28.5,12.0,4.9,0,1,2,3,2,142,3015081,26862,121526,-94664
381,117,12,2025-11-22T15:00:00Z,True,16,Nott'm Forest,0,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,5,12.8,38.9,52.0,10.4,0,2,0,2,2,142,2979420,41651,123467,-81816
381,130,13,2025-11-30T14:05:00Z,False,19,West Ham,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,142,3002382,17752,188569,-170817
381,137,14,2025-12-03T20:15:00Z,True,17,Sunderland,1,1,False,45,0,0,0,0,1,0,0,0,0,0,0,0,7,9.6,50.2,20.0,8.0,0,1,0,1,1,141,2607144,3594,168643,-165049
381,146,15,2025-12-06T17:30:00Z,False,11,Leeds,3,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,141,2403581,1815,208156,-206341
381,156,16,2025-12-13T15:00:00Z,True,6,Brighton,2,0,False,64,0,0,1,1,0,0,0,0,0,0,0,1,27,31.0,65.3,28.0,12.4,0,5,1,6,7,140,2117789,6194,299971,-293777
381,169,17,2025-12-20T17:30:00Z,False,18,Spurs,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,140,1972860,467,149324,-148857
381,176,18,2025-12-27T15:00:00Z,True,20,Wolves,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,140,1899329,132,76766,-76634
381,186,19,2026-01-01T17:30:00Z,True,11,Leeds,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,140,1869839,91,31821,-31730
381,195,20,2026-01-04T15:15:00Z,False,10,Fulham,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,140,1853087,114,18318,-18204
381,201,21,2026-01-08T20:00:00Z,False,1,Arsenal,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,140,1836610,126,16940,-16814
381,215,22,2026-01-17T15:00:00Z,True,3,Burnley,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,140,1815211,916,22609,-21693
381,222,23,2026-01-24T17:30:00Z,False,4,Bournemouth,3,2,False,90,1,0,1,0,3,0,0,0,0,0,0,0,12,25.2,31.0,93.0,14.9,2,2,0,4,5,140,1830991,20213,8321,11892
381,235,24,2026-01-31T20:00:00Z,True,15,Newcastle,4,1,False,83,1,0,1,0,1,0,0,0,0,0,0,0,16,20.6,41.1,23.0,8.5,0,1,0,1,5,140,1843839,22176,11743,10433
