fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
382,1,1,2025-08-15T19:00:00Z,True,4,Bournemouth,4,2,False,81,1,0,0,0,2,0,0,0,0,0,0,0,14,12.0,45.0,12.0,6.9,1,6,2,9,2,85,3336069,0,0,0
382,19,2,2025-08-25T19:00:00Z,False,15,Newcastle,2,3,False,79,1,0,0,0,1,0,0,0,0,0,0,0,9,1.8,10.2,19.0,3.1,0,2,1,3,2,85,2951159,46640,572734,-526094
382,25,3,2025-08-31T15:30:00Z,True,1,Arsenal,1,0,False,88,1,0,0,1,0,0,0,0,0,0,0,0,18,14.8,12.6,23.0,5.0,2,4,2,8,3,84,2439208,86638,623082,-536444
382,34,4,2025-09-14T13:00:00Z,False,3,Burnley,0,1,False,86,1,0,0,1,0,0,0,0,0,0,0,0,8,9.2,59.0,22.0,9.0,1,2,1,4,3,84,2273563,157830,446675,-288845
382,46,5,2025-09-20T11:30:00Z,True,9,Everton,2,1,False,29,0,0,0,0,0,0,0,0,1,0,0,0,-2,1.4,11.3,4.0,1.7,0,0,0,0,0,83,1948846,40563,390946,-350383
382,54,6,2025-09-27T14:00:00Z,False,8,Crystal Palace,2,1,False,73,1,0,0,0,1,0,0,0,0,0,0,0,9,7.8,15.5,26.0,4.9,0,5,0,5,2,82,1366950,17089,607618,-590529
382,65,7,2025-10-04T16:30:00Z,False,7,Chelsea,2,1,False,45,0,0,0,0,1,0,0,0,0,0,0,0,7,8.2,12.3,4.0,2.5,1,2,2,5,1,82,1172817,12120,227337,-215217
382,75,8,2025-10-19T15:30:00Z,True,14,Man Utd,1,2,False,28,0,0,0,0,1,0,0,0,0,0,0,0,6,9.2,33.0,12.0,5.4,0,2,1,3,1,81,1029774,17298,174074,-156776
382,84,9,2025-10-25T19:00:00Z,False,5,Brentford,3,2,False,82,1,0,0,0,3,0,0,0,0,0,0,0,11,6.2,18.1,8.0,3.2,1,4,1,6,2,81,989649,22539,69392,-46853
382,95,10,2025-11-01T20:00:00Z,True,2,Aston Villa,2,0,False,13,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2,10.3,0.0,1.4,0,1,1,2,1,80,929246,9073,72827,-63754
382,106,11,2025-11-09T16:30:00Z,False,13,Man City,3,0,False,82,1,0,0,0,3,0,0,0,0,0,0,0,9,2.0,2.7,7.0,1.2,0,3,0,3,2,80,889197,7263,51211,-43948
382,117,12,2025-11-22T15:00:00Z,True,16,Nott'm Forest,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,80,849857,13483,56916,-43433
382,130,13,2025-11-30T14:05:00Z,False,19,West Ham,0,2,False,74,1,0,0,1,0,0,0,0,0,0,0,0,14,8.8,21.6,19.0,4.9,1,3,0,4,3,80,807295,475,43453,-42978
382,137,14,2025-12-03T20:15:00Z,True,17,Sunderland,1,1,False,90,1,0,1,0,1,0,0,0,0,0,0,2,24,13.8,42.2,38.0,9.4,0,4,1,5,7,80,819541,16375,8817,7558
382,146,15,2025-12-06T17:30:00Z,False,11,Leeds,3,3,False,67,1,0,0,1,0,0,0,0,0,0,0,0,11,5.4,29.6,2.0,3.7,0,1,0,1,3,80,839865,23354,7424,15930
382,156,16,2025-12-13T15:00:00Z,True,6,Brighton,2,0,False,77,1,0,0,1,0,0,0,0,0,0,0,0,26,20.2,34.2,18.0,7.2,3,9,4,16,5,80,850393,31911,22000,9911
382,169,17,2025-12-20T17:30:00Z,False,18,Spurs,1,2,False,90,1,0,1,0,1,0,0,0,0,0,0,3,33,31.8,39.1,32.0,10.3,0,7,1,8,8,80,875341,39169,16820,22349
382,176,18,2025-12-27T15:00:00Z,True,20,Wolves,2,1,False,90,1,1,0,0,1,0,0,0,0,0,0,3,45,53.2,48.5,35.0,13.7,2,2,2,6,10,81,1341010,344871,12342,332529
382,186,19,2026-01-01T17:30:00Z,True,11,Leeds,0,0,False,65,1,0,0,1,0,0,0,0,0,0,0,0,12,10.4,27.2,52.0,9.0,0,3,3,6,3,82,1578392,220175,15476,204699
382,195,20,2026-01-04T15:15:00Z,False,10,Fulham,2,2,False,75,1,1,0,0,1,0,0,0,0,0,0,3,31,38.6,22.9,31.0,9.3,0,6,1,7,10,82,1361940,45838,98176,-52338
382,201,21,2026-01-08T20:00:00Z,False,1,Arsenal,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,17,7.2,20.6,4.0,3.2,0,4,1,5,3,82,1322268,44200,81302,-37102
