fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
386,1,1,2025-08-15T19:00:00Z,True,4,Bournemouth,4,2,False,71,1,0,1,0,1,0,0,0,0,0,0,0,27,27.4,15.2,11.0,5.4,1,2,3,6,5,65,150572,0,0,0
386,19,2,2025-08-25T19:00:00Z,False,15,Newcastle,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,65,212641,21770,20884,886
386,25,3,2025-08-31T15:30:00Z,True,1,Arsenal,1,0,False,60,1,0,0,1,0,0,0,0,0,0,0,0,7,6.2,21.5,5.0,3.3,2,7,0,9,3,65,188526,11387,50310,-38923
386,34,4,2025-09-14T13:00:00Z,False,3,Burnley,0,1,False,45,1,0,0,0,0,0,0,0,0,0,0,0,10,3.4,4.7,0.0,0.8,0,2,1,3,1,64,179405,10258,28711,-18453
386,46,5,2025-09-20T11:30:00Z,True,9,Everton,2,1,False,60,1,0,0,0,1,0,0,0,0,0,0,0,13,4.6,3.8,5.0,1.3,1,5,1,7,2,64,173297,7151,17010,-9859
386,54,6,2025-09-27T14:00:00Z,False,8,Crystal Palace,2,1,False,64,1,0,0,0,1,0,0,0,0,0,0,0,14,6.8,13.5,2.0,2.2,2,2,0,4,2,64,164043,4760,16534,-11774
386,65,7,2025-10-04T16:30:00Z,False,7,Chelsea,2,1,False,85,1,0,0,0,1,0,0,0,0,0,0,0,14,9.8,13.9,2.0,2.6,2,4,2,8,2,63,159012,3643,11035,-7392
386,75,8,2025-10-19T15:30:00Z,True,14,Man Utd,1,2,False,61,1,0,0,0,1,0,0,0,0,0,0,0,5,2.4,2.0,11.0,1.5,0,1,0,1,2,63,156518,6570,11873,-5303
386,84,9,2025-10-25T19:00:00Z,False,5,Brentford,3,2,False,28,0,0,0,0,0,0,0,0,0,0,0,0,5,10.0,19.0,5.0,3.4,2,2,1,5,1,63,154510,4355,7519,-3164
386,95,10,2025-11-01T20:00:00Z,True,2,Aston Villa,2,0,False,90,1,0,1,1,0,0,0,0,0,0,0,0,23,29.8,35.8,5.0,7.1,2,1,2,5,6,63,147708,2354,9877,-7523
386,106,11,2025-11-09T16:30:00Z,False,13,Man City,3,0,False,73,1,0,0,0,3,0,0,0,1,0,0,0,8,0.2,8.4,0.0,0.9,3,3,0,6,1,63,150326,5427,4525,902
386,117,12,2025-11-22T15:00:00Z,True,16,Nott'm Forest,0,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,9,16.0,20.7,38.0,7.5,1,3,1,5,2,63,155903,8154,4862,3292
386,130,13,2025-11-30T14:05:00Z,False,19,West Ham,0,2,False,90,1,0,0,1,0,0,0,0,0,0,0,0,15,19.8,2.3,7.0,2.9,1,5,2,8,3,63,153478,2939,5833,-2894
386,137,14,2025-12-03T20:15:00Z,True,17,Sunderland,1,1,False,73,1,0,0,0,1,0,0,0,0,0,0,0,14,8.6,6.1,5.0,2.0,4,4,2,10,2,63,153218,2750,3322,-572
386,146,15,2025-12-06T17:30:00Z,False,11,Leeds,3,3,False,22,0,0,0,0,3,0,0,0,0,0,0,0,6,4.8,0.1,0.0,0.5,0,2,2,4,1,63,151431,2428,4671,-2243
386,156,16,2025-12-13T15:00:00Z,True,6,Brighton,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,11,9.0,4.2,11.0,2.4,2,2,1,5,3,62,147714,4155,8550,-4395
386,169,17,2025-12-20T17:30:00Z,False,18,Spurs,1,2,False,90,1,0,0,0,1,0,0,0,1,0,0,0,3,3.8,7.6,17.0,2.8,2,1,0,3,1,62,153432,9453,4971,4482
386,176,18,2025-12-27T15:00:00Z,True,20,Wolves,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,16,15.0,45.8,24.0,8.5,2,2,2,6,2,62,192809,36077,5397,30680
386,186,19,2026-01-01T17:30:00Z,True,11,Leeds,0,0,False,24,0,0,0,0,0,0,0,0,0,0,0,0,3,2.6,4.3,2.0,0.9,1,1,0,2,1,62,180286,5651,8677,-3026
386,195,20,2026-01-04T15:15:00Z,False,10,Fulham,2,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,9,7.0,8.3,10.0,2.5,2,4,1,7,2,62,173672,2573,10687,-8114
386,201,21,2026-01-08T20:00:00Z,False,1,Arsenal,0,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,11,12.4,26.8,0.0,3.9,3,5,1,9,2,62,164963,1621,10593,-8972
386,215,22,2026-01-17T15:00:00Z,True,3,Burnley,1,1,False,12,0,0,0,0,0,0,0,0,0,0,0,0,3,9.0,15.6,16.0,4.1,1,2,0,3,1,62,163303,3662,6450,-2788
386,222,23,2026-01-24T17:30:00Z,False,4,Bournemouth,3,2,False,58,1,0,0,0,2,0,0,0,0,0,0,0,8,11.6,3.8,2.0,1.7,3,1,2,6,1,62,159608,1510,5487,-3977
386,235,24,2026-01-31T20:00:00Z,True,15,Newcastle,4,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,9,6.4,14.1,6.0,2.7,2,2,2,6,1,62,156851,2619,5746,-3127
386,247,25,2026-02-08T16:30:00Z,True,13,Man City,1,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,12,9.4,21.5,9.0,4.0,0,3,0,3,2,62,155406,2508,4288,-1780
386,258,26,2026-02-11T20:15:00Z,False,17,Sunderland,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,0,23,19.8,26.5,2.0,4.8,2,3,5,10,3,62,156955,4266,3374,892
386,267,27,2026-02-22T14:00:00Z,False,16,Nott'm Forest,0,1,False,90,1,1,0,1,0,0,0,0,0,0,0,3,37,49.4,8.5,39.0,9.7,3,6,3,12,13,62,157727,3660,3232,428
386,277,28,2026-02-28T15:00:00Z,True,19,West Ham,5,2,False,90,1,1,0,0,2,0,0,0,0,0,0,2,38,47.6,3.7,29.0,8.0,2,4,5,11,9,62,187396,29319,1739,27580
386,290,29,2026-03-03T20:15:00Z,False,20,Wolves,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,11,14.6,26.5,10.0,5.1,3,1,4,8,2,62,275119,87562,3728,83834
386,296,30,2026-03-15T16:30:00Z,True,18,Spurs,1,1,False,90,1,0,1,0,1,0,0,0,0,0,0,1,24,14.0,25.6,4.0,4.4,4,9,0,13,8,63,293751,36194,15234,20960
