fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
414,7,1,2025-08-16T16:30:00Z,False,20,Wolves,0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,80,112706,0,0,0
414,18,2,2025-08-23T11:30:00Z,True,18,Spurs,0,2,False,15,0,0,0,0,0,0,0,0,0,0,0,0,8,5.6,14.3,12.0,3.2,0,3,0,3,1,80,138246,7009,30230,-23221
414,22,3,2025-08-31T13:00:00Z,False,6,Brighton,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,80,165414,19919,22332,-2413
414,38,4,2025-09-14T15:30:00Z,True,14,Man Utd,3,0,False,90,1,1,0,1,0,0,0,0,0,0,0,2,37,40.6,16.5,23.0,8.0,1,11,1,13,12,80,176923,17305,26385,-9080
414,41,5,2025-09-21T15:30:00Z,False,1,Arsenal,1,1,False,67,1,0,0,1,0,0,0,0,0,0,0,0,10,6.0,1.8,0.0,0.8,4,2,2,8,3,80,311161,126238,17504,108734
414,57,6,2025-09-27T14:00:00Z,True,3,Burnley,5,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,11,12.4,57.8,10.0,8.0,1,5,0,6,1,81,739072,432875,52718,380157
414,64,7,2025-10-05T15:30:00Z,False,5,Brentford,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,0,18,12.2,38.1,20.0,7.0,1,4,2,7,3,81,756942,118333,85899,32434
414,76,8,2025-10-18T14:00:00Z,True,9,Everton,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,24,13.0,65.5,7.0,8.6,1,4,2,7,3,81,747451,76485,98125,-21640
414,82,9,2025-10-26T14:00:00Z,False,2,Aston Villa,1,0,False,90,1,0,0,0,1,0,0,0,1,0,0,0,20,22.8,98.9,16.0,13.8,0,4,2,6,1,81,650460,19046,118015,-98969
414,96,10,2025-11-02T16:30:00Z,True,4,Bournemouth,3,1,False,89,1,0,1,0,1,0,0,0,1,0,0,0,23,22.2,48.1,13.0,8.3,0,3,1,4,4,80,539232,9615,125497,-115882
414,106,11,2025-11-09T16:30:00Z,True,12,Liverpool,3,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,14,6.8,11.1,2.0,2.0,2,1,1,4,3,80,544220,41650,48299,-6649
414,119,12,2025-11-22T17:30:00Z,False,15,Newcastle,2,1,False,86,1,0,0,0,2,0,0,0,0,0,0,0,8,0.0,20.8,11.0,2.9,0,3,1,4,2,80,572224,56975,39068,17907
414,126,13,2025-11-29T15:00:00Z,True,11,Leeds,3,2,False,90,1,2,0,0,2,0,0,0,0,0,0,3,51,76.6,33.6,56.0,16.6,1,1,0,2,15,80,881629,127510,27758,99752
414,135,14,2025-12-02T19:30:00Z,False,10,Fulham,4,5,False,90,1,2,0,0,4,0,0,0,0,0,0,3,63,82.2,30.4,48.0,16.1,4,5,3,12,17,81,1012207,314671,13978,300693
414,147,15,2025-12-06T15:00:00Z,True,17,Sunderland,3,0,False,68,1,1,1,1,0,0,0,0,0,0,0,1,37,51.6,30.9,41.0,12.4,0,2,1,3,12,84,2620483,1510645,6180,1504465
414,155,16,2025-12-14T14:00:00Z,False,8,Crystal Palace,0,3,False,90,1,1,0,1,0,0,0,0,0,0,0,1,36,51.0,8.4,18.0,7.7,2,7,3,12,11,87,4187497,1670976,36010,1634966
414,167,17,2025-12-20T15:00:00Z,True,19,West Ham,3,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,17,9.6,35.4,15.0,6.0,0,3,1,4,3,89,5096888,908720,14853,893867
414,178,18,2025-12-27T12:30:00Z,False,16,Nott'm Forest,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,14,9.4,26.7,38.0,7.4,2,4,0,6,2,90,5319761,356535,83777,272758
414,189,19,2026-01-01T20:00:00Z,False,17,Sunderland,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,20,6.6,38.7,16.0,6.1,0,5,0,5,3,90,5015419,123312,285768,-162456
414,197,20,2026-01-04T17:30:00Z,True,7,Chelsea,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,6,5.8,49.9,18.0,7.4,1,1,0,2,2,89,4915611,73389,305217,-231828
414,208,21,2026-01-07T19:30:00Z,True,6,Brighton,1,1,False,72,1,0,0,0,1,0,0,0,0,0,0,0,14,6.2,23.1,0.0,2.9,0,4,1,5,2,88,4639643,58806,350866,-292060
414,216,22,2026-01-17T12:30:00Z,False,14,Man Utd,2,0,False,45,1,0,0,0,0,0,0,0,0,0,0,0,6,2.2,11.0,2.0,1.5,0,1,1,2,1,87,3822587,46105,867530,-821425
414,228,23,2026-01-24T15:00:00Z,True,20,Wolves,2,0,False,29,0,0,0,0,0,0,0,0,0,0,0,0,3,7.4,25.8,0.0,3.3,0,2,2,4,1,86,3055516,24027,808805,-784778
414,239,24,2026-02-01T16:30:00Z,False,18,Spurs,2,2,False,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2.2,5.5,0.0,0.8,0,0,0,0,1,84,1897392,4848,1161304,-1156456
414,247,25,2026-02-08T16:30:00Z,False,12,Liverpool,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,83,1539597,3282,374419,-371137
414,256,26,2026-02-11T19:30:00Z,True,10,Fulham,3,0,False,70,1,0,1,1,0,0,0,0,1,0,0,0,22,31.2,31.8,32.0,9.5,1,5,2,8,5,82,1308480,2584,237914,-235330
414,266,27,2026-02-21T20:00:00Z,True,15,Newcastle,2,1,False,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,0.5,23.0,2.7,0,0,0,0,1,82,1223766,5464,103676,-98212
414,276,28,2026-02-28T17:30:00Z,False,11,Leeds,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,81,1172287,4530,58843,-54313
414,287,29,2026-03-04T19:30:00Z,True,16,Nott'm Forest,2,2,False,76,1,0,0,0,2,0,0,0,0,0,0,0,20,14.8,40.7,16.0,7.2,2,3,1,6,2,81,1126903,6014,53356,-47342
414,300,30,2026-03-14T20:00:00Z,False,19,West Ham,1,1,False,16,0,0,0,0,0,0,0,0,0,0,0,0,2,2.8,7.1,2.0,1.2,0,0,1,1,1,81,1084837,3680,47551,-43871
414,314,32,2026-04-12T15:30:00Z,False,7,Chelsea,0,3,False,14,0,0,0,0,0,0,0,0,0,0,0,0,6,8.6,24.7,4.0,3.7,0,2,2,4,1,80,1037958,2550,23327,-20777
414,327,33,2026-04-19T15:30:00Z,True,1,Arsenal,2,1,False,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.1,0.0,0.1,0,2,0,2,1,80,1026345,5195,17811,-12616
414,334,33,2026-04-22T19:00:00Z,False,3,Burnley,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,80,1026345,5195,17811,-12616
414,346,35,2026-05-04T19:00:00Z,False,9,Everton,3,3,False,16,0,0,0,0,1,0,0,0,0,0,0,0,2,0.0,6.3,3.0,0.8,0,1,0,1,1,80,1000641,1330,11061,-9731
414,356,36,2026-05-09T16:30:00Z,True,5,Brentford,3,0,False,30,0,0,0,0,0,0,0,0,0,0,0,0,4,9.6,1.2,56.0,6.7,0,2,1,3,1,80,992653,2713,11516,-8803
414,307,36,2026-05-13T19:00:00Z,True,8,Crystal Palace,3,0,False,81,1,0,2,1,0,0,0,0,0,0,0,3,44,47.6,72.2,6.0,12.6,1,6,3,10,12,80,992653,2713,11516,-8803
