fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
418,7,1,2025-08-16T16:30:00Z,False,20,Wolves,0,4,False,65,1,0,0,1,0,0,0,0,0,0,0,0,4,0.0,3.2,4.0,0.6,0,1,0,1,3,65,109378,0,0,0
418,18,2,2025-08-23T11:30:00Z,True,18,Spurs,0,2,False,36,0,0,0,0,0,0,0,0,0,0,0,0,1,2.2,12.0,8.0,2.2,0,1,0,1,1,65,115432,8072,24671,-16599
418,22,3,2025-08-31T13:00:00Z,False,6,Brighton,2,1,False,18,0,0,0,0,1,0,0,0,0,0,0,0,4,4.0,21.3,2.0,2.7,0,0,0,0,1,64,110311,7944,23166,-15222
418,38,4,2025-09-14T15:30:00Z,True,14,Man Utd,3,0,False,76,1,0,2,1,0,0,0,0,0,0,0,1,33,40.6,54.0,10.0,10.5,1,3,0,4,10,64,105936,9554,20331,-10777
418,41,5,2025-09-21T15:30:00Z,False,1,Arsenal,1,1,False,86,1,0,0,1,0,0,0,0,0,0,0,0,12,14.6,21.9,11.0,4.8,0,5,4,9,3,64,228046,121641,15853,105788
418,57,6,2025-09-27T14:00:00Z,True,3,Burnley,5,1,False,90,1,0,2,0,1,0,0,0,0,0,0,2,43,45.2,50.1,89.0,18.4,0,2,1,3,10,65,490674,272087,34847,237240
418,64,7,2025-10-05T15:30:00Z,False,5,Brentford,0,1,False,14,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.0,0.2,0.0,0.0,0,1,0,1,1,66,932046,442668,30526,412142
418,76,8,2025-10-18T14:00:00Z,True,9,Everton,2,0,False,58,1,0,0,0,0,0,0,0,0,0,0,0,9,9.8,36.2,33.0,7.9,0,2,0,2,1,66,963160,150275,109423,40852
418,82,9,2025-10-26T14:00:00Z,False,2,Aston Villa,1,0,False,29,0,0,0,0,0,0,0,0,0,0,0,0,6,6.8,16.8,2.0,2.6,1,2,0,3,1,66,812396,27608,174621,-147013
418,96,10,2025-11-02T16:30:00Z,True,4,Bournemouth,3,1,False,72,1,0,0,0,1,0,0,0,0,0,0,0,12,15.8,45.4,12.0,7.3,1,2,1,4,2,65,638260,13781,188592,-174811
418,106,11,2025-11-09T16:30:00Z,True,12,Liverpool,3,0,False,73,1,1,0,1,0,0,0,0,0,0,0,3,42,51.2,37.9,59.0,14.8,0,5,0,5,11,64,544983,13188,113772,-100584
