fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
421,7,1,2025-08-16T16:30:00Z,False,20,Wolves,0,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,65,52781,0,0,0
421,18,2,2025-08-23T11:30:00Z,True,18,Spurs,0,2,False,15,0,0,0,0,0,0,0,0,0,0,0,0,7,5.4,11.4,17.0,3.4,0,4,1,5,1,64,59009,3488,15301,-11813
421,22,3,2025-08-31T13:00:00Z,False,6,Brighton,2,1,False,90,1,0,0,0,2,0,0,0,0,0,0,0,14,13.0,17.4,1.0,3.1,1,8,1,10,2,64,66179,6923,9865,-2942
421,38,4,2025-09-14T15:30:00Z,True,14,Man Utd,3,0,False,75,1,0,0,1,0,0,0,0,0,0,0,0,11,6.4,3.8,0.0,1.0,0,5,2,7,3,64,76034,10184,8177,2007
421,41,5,2025-09-21T15:30:00Z,False,1,Arsenal,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,19,22.6,5.2,1.0,2.9,11,3,2,16,4,64,80592,7623,6877,746
421,57,6,2025-09-27T14:00:00Z,True,3,Burnley,5,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,64,85708,8338,6257,2081
421,64,7,2025-10-05T15:30:00Z,False,5,Brentford,0,1,False,21,1,0,0,0,0,0,0,0,0,0,0,0,4,2.6,12.6,0.0,1.5,0,2,0,2,1,64,75205,1652,12529,-10877
421,76,8,2025-10-18T14:00:00Z,True,9,Everton,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,64,65785,1359,11823,-10464
421,82,9,2025-10-26T14:00:00Z,False,2,Aston Villa,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,60369,48,5806,-5758
421,96,10,2025-11-02T16:30:00Z,True,4,Bournemouth,3,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.5,0.0,0.1,0,0,0,0,1,63,56658,81,3919,-3838
421,106,11,2025-11-09T16:30:00Z,True,12,Liverpool,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,55871,466,1685,-1219
421,119,12,2025-11-22T17:30:00Z,False,15,Newcastle,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,53822,50,2153,-2103
421,126,13,2025-11-29T15:00:00Z,True,11,Leeds,3,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,52907,31,1040,-1009
421,135,14,2025-12-02T19:30:00Z,False,10,Fulham,4,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,52411,30,575,-545
421,147,15,2025-12-06T15:00:00Z,True,17,Sunderland,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,51847,27,609,-582
421,155,16,2025-12-14T14:00:00Z,False,8,Crystal Palace,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,51171,34,758,-724
421,167,17,2025-12-20T15:00:00Z,True,19,West Ham,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,50664,33,575,-542
421,178,18,2025-12-27T12:30:00Z,False,16,Nott'm Forest,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,50225,22,528,-506
421,189,19,2026-01-01T20:00:00Z,False,17,Sunderland,0,0,False,45,0,0,0,0,0,0,0,0,0,0,0,0,18,17.8,25.0,4.0,4.7,1,3,4,8,1,63,50481,373,244,129
421,197,20,2026-01-04T17:30:00Z,True,7,Chelsea,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,1,26,25.0,46.4,6.0,7.7,1,10,5,16,5,63,51999,1648,341,1307
421,208,21,2026-01-07T19:30:00Z,True,6,Brighton,1,1,False,26,0,0,0,0,0,0,0,0,0,0,0,0,4,4.0,0.8,0.0,0.5,1,0,0,1,1,63,56007,4321,786,3535
421,216,22,2026-01-17T12:30:00Z,False,14,Man Utd,2,0,False,90,1,0,0,0,2,0,0,0,1,0,0,0,19,19.8,25.9,4.0,5.0,4,8,2,14,3,63,56598,2538,2109,429
421,228,23,2026-01-24T15:00:00Z,True,20,Wolves,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,17,20.2,20.7,0.0,4.1,4,4,3,11,3,63,57549,2220,1598,622
421,239,24,2026-02-01T16:30:00Z,False,18,Spurs,2,2,False,90,1,0,0,0,2,0,0,0,1,0,0,0,20,28.8,19.8,2.0,5.1,5,11,3,19,3,63,56863,1122,2002,-880
421,247,25,2026-02-08T16:30:00Z,False,12,Liverpool,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,21,23.6,45.0,4.0,7.3,5,4,4,13,4,63,57479,1371,1182,189
421,256,26,2026-02-11T19:30:00Z,True,10,Fulham,3,0,False,70,1,0,0,1,0,0,0,0,0,0,0,0,9,2.6,6.5,1.0,1.0,0,3,0,3,3,63,58344,1682,1120,562
421,266,27,2026-02-21T20:00:00Z,True,15,Newcastle,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,2,26,25.8,29.4,2.0,5.7,5,6,5,16,6,63,58894,1484,1193,291
421,276,28,2026-02-28T17:30:00Z,False,11,Leeds,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,0,22,20.8,23.3,8.0,5.2,6,2,1,9,3,63,61765,3180,683,2497
421,287,29,2026-03-04T19:30:00Z,True,16,Nott'm Forest,2,2,False,90,1,1,0,0,2,0,0,0,0,0,0,2,34,45.0,31.5,42.0,11.9,0,9,1,10,9,63,62567,1792,1142,650
421,300,30,2026-03-14T20:00:00Z,False,19,West Ham,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,20,25.6,47.3,4.0,7.7,4,9,2,15,4,63,65996,4108,1081,3027
421,314,32,2026-04-12T15:30:00Z,False,7,Chelsea,0,3,False,90,1,0,0,1,0,0,0,0,0,0,0,0,11,13.0,11.7,2.0,2.7,2,4,2,8,3,63,66798,3174,1486,1688
