fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
440,9,1,2025-08-17T15:30:00Z,True,1,Arsenal,0,1,False,54,1,0,0,0,1,0,0,0,0,0,0,0,2,6.8,14.1,2.0,2.3,3,2,1,4,1,45,221219,0,0,0
440,17,2,2025-08-24T15:30:00Z,False,10,Fulham,1,1,False,38,0,0,0,0,1,0,0,0,0,0,0,0,-4,0.0,4.8,10.0,1.4,1,1,1,2,1,45,231906,10843,17991,-7148
440,26,3,2025-08-30T14:00:00Z,True,3,Burnley,3,2,False,90,1,0,1,0,2,0,0,0,0,0,0,0,20,36.8,33.1,6.0,7.6,4,3,2,6,4,45,213811,6318,27931,-21613
440,38,4,2025-09-14T15:30:00Z,False,13,Man City,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,173129,3724,46533,-42809
440,47,5,2025-09-20T16:30:00Z,True,7,Chelsea,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,131739,109,43211,-43102
440,52,6,2025-09-27T11:30:00Z,False,5,Brentford,3,1,False,90,1,0,0,0,3,0,0,0,0,0,0,0,1,11.6,36.8,0.0,4.8,1,1,0,1,1,44,114434,1892,20422,-18530
440,68,7,2025-10-04T14:00:00Z,True,17,Sunderland,2,0,False,63,1,0,1,1,0,0,0,0,0,0,0,0,27,4.2,6.4,8.0,1.9,3,2,1,4,9,44,113864,3646,5777,-2131
440,75,8,2025-10-19T15:30:00Z,False,12,Liverpool,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,12,21.4,15.2,0.0,3.7,8,4,4,12,4,44,112802,3678,5541,-1863
440,88,9,2025-10-25T16:30:00Z,True,6,Brighton,4,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,4,9.6,15.2,1.0,2.6,2,4,2,4,1,44,123125,11997,3109,8888
440,97,10,2025-11-01T15:00:00Z,False,16,Nott'm Forest,2,2,False,67,1,0,0,0,2,0,0,0,0,0,0,0,1,8.6,2.2,0.0,1.1,5,4,1,6,1,44,129164,10942,6489,4453
440,109,11,2025-11-08T12:30:00Z,False,18,Spurs,2,2,False,10,0,0,0,0,2,0,0,0,0,0,0,0,-5,2.4,0.9,0.0,0.3,0,1,1,1,0,44,124033,2655,6691,-4036
440,118,12,2025-11-24T20:00:00Z,True,9,Everton,0,1,False,32,0,0,0,0,0,0,0,0,0,0,0,0,8,11.8,14.2,2.0,2.8,2,3,2,4,1,44,121447,2852,6507,-3655
440,124,13,2025-11-30T12:00:00Z,False,8,Crystal Palace,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,8,5.4,2.9,9.0,1.7,4,6,1,5,2,44,116254,952,5341,-4389
440,138,14,2025-12-04T20:00:00Z,True,19,West Ham,1,1,False,67,1,1,0,1,0,0,0,0,0,0,0,3,37,38.0,4.2,19.0,6.1,2,3,0,2,15,44,121717,5611,2327,3284
440,150,15,2025-12-08T20:00:00Z,False,20,Wolves,1,4,False,83,1,0,1,0,1,0,0,0,0,0,0,0,20,37.2,42.4,19.0,9.9,6,4,1,7,5,44,136056,13345,4244,9101
