fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
441,9,1,2025-08-17T15:30:00Z,True,1,Arsenal,0,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,4,9.0,2.8,8.0,2.0,1,2,4,5,1,45,632629,0,0,0
441,17,2,2025-08-24T15:30:00Z,False,10,Fulham,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,4,4.8,4.5,6.0,1.5,4,1,0,4,2,45,882233,200341,36294,164047
441,26,3,2025-08-30T14:00:00Z,True,3,Burnley,3,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,990550,134154,85475,48679
441,38,4,2025-09-14T15:30:00Z,False,13,Man City,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,7,20.4,48.9,28.0,9.7,2,3,4,6,1,45,699635,10000,235239,-225239
441,47,5,2025-09-20T16:30:00Z,True,7,Chelsea,2,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,22,36.0,26.8,10.0,7.3,3,4,4,7,5,45,641535,7155,90153,-82998
441,52,6,2025-09-27T11:30:00Z,False,5,Brentford,3,1,False,84,1,0,0,0,2,0,0,0,1,0,0,0,1,8.6,1.1,2.0,1.2,5,5,2,7,0,45,615917,35022,69157,-34135
441,68,7,2025-10-04T14:00:00Z,True,17,Sunderland,2,0,False,26,0,0,0,0,0,0,0,0,0,0,0,0,6,4.4,10.1,2.0,1.7,1,1,1,2,1,45,573173,12540,58122,-45582
441,75,8,2025-10-19T15:30:00Z,False,12,Liverpool,1,2,False,31,0,0,0,0,1,0,0,0,0,0,0,0,3,11.0,11.0,0.0,2.2,3,2,3,6,1,44,490501,4711,88151,-83440
441,88,9,2025-10-25T16:30:00Z,True,6,Brighton,4,2,False,20,0,0,0,0,2,0,0,0,1,0,0,0,-7,3.4,0.8,0.0,0.4,0,1,2,2,-1,44,448500,3261,47654,-44393
441,97,10,2025-11-01T15:00:00Z,False,16,Nott'm Forest,2,2,False,22,0,0,0,0,0,0,0,0,0,0,0,0,4,1.2,0.3,24.0,2.6,0,3,0,0,1,43,384703,2730,65075,-62345
441,109,11,2025-11-08T12:30:00Z,False,18,Spurs,2,2,False,79,1,0,0,1,0,0,0,0,1,0,0,0,24,13.2,18.1,4.0,3.5,6,2,1,7,5,43,352579,1319,35547,-34228
441,118,12,2025-11-24T20:00:00Z,True,9,Everton,0,1,False,57,1,0,0,0,1,0,0,0,0,0,0,0,-3,4.6,12.6,6.0,2.3,2,2,2,4,1,42,348840,7869,14549,-6680
441,124,13,2025-11-30T12:00:00Z,False,8,Crystal Palace,1,2,False,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,0.3,0.0,0.0,0,0,0,0,1,42,331277,2747,15756,-13009
441,138,14,2025-12-04T20:00:00Z,True,19,West Ham,1,1,False,22,0,0,0,0,1,0,0,0,0,0,0,0,0,10.8,15.5,4.0,3.0,1,2,1,2,1,42,326902,3286,12936,-9650
441,150,15,2025-12-08T20:00:00Z,False,20,Wolves,1,4,False,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.4,2.0,0.3,0,1,0,0,1,42,313252,2824,16647,-13823
441,157,16,2025-12-15T20:00:00Z,True,4,Bournemouth,4,4,False,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,4.0,0.4,0,0,0,0,1,41,280782,5046,37357,-32311
441,161,17,2025-12-21T16:30:00Z,False,2,Aston Villa,2,1,False,90,1,0,1,0,2,0,0,0,0,0,0,1,30,47.6,42.2,19.0,10.9,4,4,5,9,5,41,273754,4931,13185,-8254
441,177,18,2025-12-26T20:00:00Z,True,15,Newcastle,1,0,False,90,1,1,0,1,0,0,0,0,0,0,0,3,48,67.8,16.3,41.0,12.5,8,4,2,10,17,41,281532,12758,7903,4855
441,187,19,2025-12-30T20:15:00Z,True,20,Wolves,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,11,14.2,33.2,7.0,5.4,1,5,2,3,2,42,1120407,598083,4591,593492
441,196,20,2026-01-04T12:30:00Z,False,11,Leeds,1,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,1,9.8,25.9,5.0,4.1,1,5,4,5,1,42,919920,95222,46912,48310
441,204,21,2026-01-07T20:15:00Z,False,3,Burnley,2,2,False,90,1,0,1,0,2,0,0,0,0,0,0,1,33,47.6,67.2,23.0,13.8,2,10,4,6,5,42,919299,47228,49827,-2599
441,216,22,2026-01-17T12:30:00Z,True,13,Man City,2,0,False,90,1,1,0,1,0,0,0,0,0,0,0,3,44,50.8,14.8,52.0,11.8,2,9,4,6,15,42,859500,43012,97832,-54820
441,221,23,2026-01-25T16:30:00Z,False,1,Arsenal,2,3,False,80,1,1,0,0,1,0,0,0,0,0,0,0,19,36.8,1.3,15.0,5.3,2,6,2,4,8,43,1113309,262869,20391,242478
441,236,24,2026-02-01T14:00:00Z,True,10,Fulham,3,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,1014241,265731,350559,-84828
441,248,25,2026-02-07T12:30:00Z,True,18,Spurs,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,779599,4726,236407,-231681
441,260,26,2026-02-10T20:15:00Z,False,19,West Ham,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,43,623281,2464,156959,-154495
441,265,27,2026-02-23T20:00:00Z,False,9,Everton,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,43,551319,1344,89022,-87678
441,278,28,2026-03-01T14:00:00Z,True,8,Crystal Palace,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,42,485412,574,67481,-66907
441,288,29,2026-03-04T20:15:00Z,False,15,Newcastle,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,42,438645,559,47638,-47079
441,297,30,2026-03-15T14:00:00Z,True,2,Aston Villa,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,42,405294,659,35608,-34949
441,302,31,2026-03-20T20:00:00Z,False,4,Bournemouth,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,41,343097,166,38342,-38176
441,317,32,2026-04-13T19:00:00Z,True,11,Leeds,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,41,342865,849,26689,-25840
441,323,33,2026-04-18T19:00:00Z,False,7,Chelsea,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,41,317583,248,19868,-19620
