fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
455,9,1,2025-08-17T15:30:00Z,True,1,Arsenal,0,1,False,64,1,0,0,0,1,0,0,0,0,0,0,0,9,7.0,25.1,18.0,5.0,0,2,1,3,2,60,23000,0,0,0
455,17,2,2025-08-24T15:30:00Z,False,10,Fulham,1,1,False,68,1,0,0,1,0,0,0,0,0,0,0,0,10,6.4,28.5,6.0,4.1,0,1,2,3,3,60,32207,4964,4815,149
455,26,3,2025-08-30T14:00:00Z,True,3,Burnley,3,2,False,45,1,0,0,0,0,0,0,0,0,0,0,0,6,5.0,15.3,7.0,2.7,0,5,2,7,1,60,40437,8949,6731,2218
455,38,4,2025-09-14T15:30:00Z,False,13,Man City,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,60,27661,1178,13969,-12791
455,47,5,2025-09-20T16:30:00Z,True,7,Chelsea,2,1,False,21,0,0,0,0,1,0,0,0,0,0,0,0,3,0.6,0.1,0.0,0.1,0,1,0,1,1,59,23392,438,5498,-5060
455,52,6,2025-09-27T11:30:00Z,False,5,Brentford,3,1,False,9,0,0,0,0,1,0,0,0,0,0,0,0,4,2.4,1.7,2.0,0.6,0,0,1,1,1,59,24869,2075,1964,111
455,68,7,2025-10-04T14:00:00Z,True,17,Sunderland,2,0,False,64,1,1,0,1,0,0,0,0,0,0,0,2,29,36.8,13.7,23.0,7.4,1,3,0,4,10,59,24628,924,1911,-987
455,75,8,2025-10-19T15:30:00Z,False,12,Liverpool,1,2,False,60,1,0,0,1,0,0,0,0,0,0,0,0,5,2.4,1.2,11.0,1.5,1,0,1,2,3,59,33635,8596,2049,6547
455,88,9,2025-10-25T16:30:00Z,True,6,Brighton,4,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,59,38771,7651,3198,4453
455,97,10,2025-11-01T15:00:00Z,False,16,Nott'm Forest,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,59,33301,1503,6864,-5361
455,109,11,2025-11-08T12:30:00Z,False,18,Spurs,2,2,False,18,0,0,0,0,2,0,0,0,0,0,0,0,4,3.4,4.0,0.0,0.7,0,1,2,3,1,59,31343,898,3442,-2544
