fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
47,2,1,2025-08-16T11:30:00Z,True,15,Newcastle,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,7,7.2,20.1,4.0,3.1,1,5,1,7,3,70,967291,0,0,0
47,13,2,2025-08-23T14:00:00Z,False,5,Brentford,1,0,False,90,1,0,0,0,1,0,0,0,0,0,0,0,3,4.4,21.3,17.0,4.3,0,1,0,1,2,70,1054954,106067,122089,-16022
47,21,3,2025-08-31T18:00:00Z,True,8,Crystal Palace,0,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,9,9.4,4.9,21.0,3.5,2,4,1,7,2,70,1003558,101550,158249,-56699
47,36,4,2025-09-13T14:00:00Z,False,9,Everton,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,4,6.4,4.0,7.0,1.7,2,4,0,6,3,70,922287,90527,190860,-100333
47,48,5,2025-09-21T13:00:00Z,False,17,Sunderland,1,1,False,81,1,0,0,0,1,0,0,0,0,0,0,0,5,5.2,23.8,10.0,3.9,1,1,0,2,2,70,933921,88944,108827,-19883
47,51,6,2025-09-28T13:00:00Z,True,10,Fulham,3,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,20,26.8,30.9,6.0,6.4,3,2,1,6,5,69,699563,15133,239580,-224447
47,62,7,2025-10-05T13:00:00Z,True,3,Burnley,2,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,21,30.6,13.3,33.0,7.7,2,5,2,9,5,69,687856,33588,60699,-27111
47,79,8,2025-10-19T13:00:00Z,False,18,Spurs,1,2,False,90,1,1,0,0,1,0,0,0,0,0,0,0,22,35.6,4.0,9.0,4.9,0,4,0,4,7,69,612554,21907,96779,-74872
47,82,9,2025-10-26T14:00:00Z,True,13,Man City,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,17,11.2,12.3,6.0,3.0,0,6,3,9,3,68,605254,33787,45028,-11241
47,95,10,2025-11-01T20:00:00Z,False,12,Liverpool,2,0,False,90,1,0,0,0,2,0,0,0,1,0,0,0,6,6.6,18.0,27.0,5.2,1,4,3,8,1,68,589739,26780,43692,-16912
47,101,11,2025-11-09T14:00:00Z,True,4,Bournemouth,4,0,False,85,1,0,0,1,0,0,0,0,1,0,0,0,1,0.0,1.8,12.0,1.3,2,3,1,6,2,68,602404,40681,33138,7543
47,116,12,2025-11-23T14:00:00Z,False,11,Leeds,1,2,False,90,1,2,0,0,1,0,0,0,0,0,0,3,49,76.4,22.0,48.0,14.6,2,6,0,8,15,68,662520,75225,26045,49180
47,121,13,2025-11-30T14:05:00Z,True,20,Wolves,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,3,0.0,2.9,23.0,2.5,0,3,1,4,3,69,1640019,592998,8392,584606
47,133,14,2025-12-03T19:30:00Z,False,6,Brighton,3,4,False,90,1,0,1,0,3,0,0,0,0,0,0,1,29,33.0,36.4,8.0,7.7,3,4,1,8,6,69,1218094,65570,71344,-5774
47,141,15,2025-12-06T12:30:00Z,True,1,Arsenal,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,12,13.6,32.3,41.0,8.7,3,3,1,7,2,69,1154708,55444,106464,-51020
