fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
490,2,1,2025-08-16T11:30:00Z,False,2,Aston Villa,0,0,False,82,1,0,0,1,0,0,0,0,1,0,0,0,7,4.4,4.2,6.0,1.5,2,5,2,9,2,60,45377,0,0,0
490,19,2,2025-08-25T19:00:00Z,True,12,Liverpool,2,3,False,75,1,0,0,0,2,0,0,0,0,0,0,0,7,6.6,0.4,7.0,1.4,2,3,2,7,2,60,46952,3038,9130,-6092
490,24,3,2025-08-30T16:30:00Z,False,11,Leeds,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,60,35896,2686,15239,-12553
490,39,4,2025-09-13T14:00:00Z,True,20,Wolves,1,0,False,64,1,0,0,1,0,0,0,0,0,0,0,0,11,3.2,16.6,8.0,2.8,1,1,0,2,3,59,29422,1365,9046,-7681
490,42,5,2025-09-21T13:00:00Z,False,4,Bournemouth,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,59,32945,3926,2121,1805
490,58,6,2025-09-28T15:30:00Z,True,1,Arsenal,1,2,False,90,1,0,0,0,1,0,0,0,1,0,0,0,1,6.6,11.2,4.0,2.2,3,8,1,12,3,59,33288,3027,3606,-579
490,69,7,2025-10-05T13:00:00Z,True,16,Nott'm Forest,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,13,11.8,14.7,61.0,8.8,4,3,1,8,3,59,36721,4212,2147,2065
490,71,8,2025-10-18T14:00:00Z,False,6,Brighton,2,1,False,45,1,0,0,0,1,0,0,0,0,0,0,0,13,10.8,3.8,2.0,1.7,5,3,3,11,1,59,36678,3702,4546,-844
490,89,9,2025-10-25T14:00:00Z,True,10,Fulham,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,18,22.2,27.0,11.0,6.0,3,6,4,13,4,59,37132,2503,2508,-5
490,100,10,2025-11-02T14:00:00Z,False,19,West Ham,3,1,False,90,1,0,0,0,3,0,0,0,0,0,0,0,10,3.0,4.1,8.0,1.5,2,1,0,3,2,59,38171,2931,2423,508
490,102,11,2025-11-09T14:00:00Z,False,5,Brentford,3,1,False,23,1,0,0,0,0,0,0,0,0,0,0,0,3,2.4,2.5,0.0,0.5,3,2,0,5,1,59,38046,2057,2549,-492
490,119,12,2025-11-22T17:30:00Z,True,13,Man City,2,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,6,8.6,2.5,0.0,1.1,5,4,3,12,3,59,35094,883,3871,-2988
