fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
491,2,1,2025-08-16T11:30:00Z,False,2,Aston Villa,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,20,13.8,29.2,0.0,4.3,2,5,2,9,3,55,186533,0,0,0
491,19,2,2025-08-25T19:00:00Z,True,12,Liverpool,2,3,False,65,1,0,0,0,2,0,0,0,0,0,0,0,7,0.4,1.3,8.0,1.0,2,3,0,5,2,55,187427,7726,28456,-20730
491,24,3,2025-08-30T16:30:00Z,False,11,Leeds,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,17,9.2,36.0,0.0,4.5,0,6,0,6,3,54,141013,5645,54016,-48371
491,39,4,2025-09-13T14:00:00Z,True,20,Wolves,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,18,14.2,5.0,35.0,5.4,2,2,1,5,3,54,154221,20029,18458,1571
491,42,5,2025-09-21T13:00:00Z,False,4,Bournemouth,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,19,17.2,32.6,5.0,5.5,0,5,3,8,3,54,155886,12511,13600,-1089
491,58,6,2025-09-28T15:30:00Z,True,1,Arsenal,1,2,False,90,1,0,1,0,2,0,0,0,0,0,0,1,28,40.2,43.3,0.0,8.4,6,0,2,8,6,54,148538,7471,16701,-9230
491,69,7,2025-10-05T13:00:00Z,True,16,Nott'm Forest,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,19,19.0,32.3,18.0,6.9,2,6,3,11,3,54,166220,21250,8301,12949
491,71,8,2025-10-18T14:00:00Z,False,6,Brighton,2,1,False,69,1,0,0,0,1,0,0,0,0,0,0,0,16,11.0,27.5,2.0,4.1,2,2,1,5,2,54,177118,22010,13637,8373
491,89,9,2025-10-25T14:00:00Z,True,10,Fulham,2,1,False,29,0,0,0,0,0,0,0,0,0,0,0,0,7,8.6,1.8,24.0,3.4,1,2,0,3,1,54,172623,11911,16872,-4961
491,100,10,2025-11-02T14:00:00Z,False,19,West Ham,3,1,False,90,1,0,0,0,3,0,0,0,0,0,0,0,13,12.4,10.1,0.0,2.3,2,5,0,7,2,54,166995,9532,16530,-6998
491,102,11,2025-11-09T14:00:00Z,False,5,Brentford,3,1,False,76,1,0,0,0,1,0,0,0,0,0,0,0,12,8.8,1.7,0.0,1.1,5,8,0,13,4,54,161719,6374,12511,-6137
491,119,12,2025-11-22T17:30:00Z,True,13,Man City,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,13,9.2,16.1,4.0,2.9,2,7,3,12,4,54,154076,3489,11392,-7903
491,125,13,2025-11-29T17:30:00Z,False,9,Everton,1,4,False,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,0.0,0.0,0,1,0,1,1,54,153316,4817,6685,-1868
491,139,14,2025-12-02T20:15:00Z,True,18,Spurs,2,2,False,45,1,0,0,0,0,0,0,0,0,0,0,0,7,10.2,16.8,0.0,2.7,1,3,0,4,1,54,151492,4129,6809,-2680
