fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
515,4,1,2025-08-17T13:00:00Z,True,5,Brentford,3,1,False,83,1,0,1,0,1,0,0,0,0,0,0,0,23,28.8,51.8,15.0,9.6,1,2,1,4,5,75,500210,0,0,0
515,15,2,2025-08-24T13:00:00Z,False,8,Crystal Palace,1,1,False,81,1,0,0,0,1,0,0,0,0,0,0,0,7,0.0,20.5,4.0,2.2,0,1,0,1,2,75,550967,34109,50678,-16569
515,27,3,2025-08-31T13:00:00Z,True,19,West Ham,0,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,13,7.6,11.2,31.0,5.0,0,5,1,6,2,75,754402,177897,60604,117293
515,31,4,2025-09-13T11:30:00Z,False,1,Arsenal,3,0,False,72,1,0,0,0,2,0,0,0,0,0,0,0,4,0.0,6.8,6.0,1.2,1,3,0,4,2,75,605945,36853,135645,-98792
515,44,5,2025-09-20T14:00:00Z,False,3,Burnley,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,16,15.0,28.7,25.0,6.9,3,3,0,6,2,75,628944,67237,70866,-3629
515,59,6,2025-09-27T16:30:00Z,True,17,Sunderland,0,1,False,45,0,0,0,0,0,0,0,0,0,0,0,0,8,5.0,17.1,15.0,3.7,1,1,0,2,1,75,552813,16675,90166,-73491
515,69,7,2025-10-05T13:00:00Z,False,15,Newcastle,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,19,14.2,7.9,21.0,4.3,5,8,0,13,4,74,457073,4634,100955,-96321
515,77,8,2025-10-18T11:30:00Z,True,7,Chelsea,0,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,7,0.0,13.7,17.0,3.0,2,4,0,6,2,74,399940,7401,71083,-63682
515,83,9,2025-10-26T14:00:00Z,False,4,Bournemouth,2,0,False,88,1,0,0,0,2,0,0,0,0,0,0,0,9,4.2,18.0,12.0,3.4,2,2,0,4,2,73,373839,6418,35587,-29169
515,97,10,2025-11-01T15:00:00Z,True,14,Man Utd,2,2,False,90,1,1,0,0,2,0,0,0,0,0,0,1,30,40.0,23.3,24.0,8.7,1,3,0,4,8,73,346531,5104,34286,-29182
515,107,11,2025-11-09T14:00:00Z,True,11,Leeds,3,1,False,87,1,1,0,0,1,0,0,0,0,0,0,3,34,39.6,3.3,55.0,9.8,0,1,0,1,10,73,408809,52873,10360,42513
515,117,12,2025-11-22T15:00:00Z,False,12,Liverpool,0,3,False,90,1,1,0,1,0,0,0,0,0,0,0,0,30,40.2,8.6,21.0,7.0,2,3,0,5,8,73,391686,23218,26859,-3641
515,127,13,2025-11-30T14:05:00Z,True,6,Brighton,0,2,False,84,1,0,0,0,1,0,0,0,0,0,0,0,6,2.2,25.8,19.0,4.7,1,1,0,2,2,73,511416,108983,27025,81958
515,140,14,2025-12-03T19:30:00Z,False,20,Wolves,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,0,16,19.2,47.1,4.0,7.0,0,0,4,4,3,73,465096,21431,33011,-11580
515,144,15,2025-12-06T15:00:00Z,False,9,Everton,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,7,5.6,3.0,2.0,1.1,2,3,1,6,2,73,439139,12772,36288,-23516
515,158,16,2025-12-14T14:00:00Z,True,18,Spurs,3,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,5,3.6,8.6,18.0,3.0,0,1,1,2,3,73,383001,12817,70765,-57948
515,165,17,2025-12-22T20:00:00Z,False,10,Fulham,1,0,False,72,1,0,0,0,1,0,0,0,0,0,0,0,10,6.0,25.7,9.0,4.1,1,3,0,4,2,73,375468,14898,26273,-11375
515,178,18,2025-12-27T12:30:00Z,True,13,Man City,1,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,10,9.8,15.2,2.0,2.7,2,4,1,7,2,73,354579,5613,24418,-18805
515,188,19,2025-12-30T19:30:00Z,True,9,Everton,0,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,5,3.2,21.7,53.0,7.8,1,5,0,6,2,73,369125,16614,12000,4614
515,191,20,2026-01-03T12:30:00Z,False,2,Aston Villa,3,1,False,90,1,1,0,0,3,0,0,0,0,0,0,1,32,44.6,20.9,32.0,9.8,2,4,2,8,8,73,353678,5475,15902,-10427
