fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
53,2,1,2025-08-16T11:30:00Z,True,15,Newcastle,0,0,False,6,0,0,0,0,0,0,0,0,0,0,0,0,4,3.0,0.0,17.0,2.0,0,0,0,0,1,55,194436,0,0,0
53,13,2,2025-08-23T14:00:00Z,False,5,Brentford,1,0,False,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0.4,2.8,2.0,0.5,0,1,0,1,1,54,158584,5618,48354,-42736
53,21,3,2025-08-31T18:00:00Z,True,8,Crystal Palace,0,3,False,82,1,0,0,0,3,0,0,0,0,0,0,0,1,0.0,6.2,5.0,0.9,0,3,0,3,2,53,118258,3890,43861,-39971
53,36,4,2025-09-13T14:00:00Z,False,9,Everton,0,0,False,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0.3,0.0,0.1,0,0,0,0,1,53,95888,5174,33527,-28353
53,48,5,2025-09-21T13:00:00Z,False,17,Sunderland,1,1,False,17,0,0,0,0,1,0,0,0,0,0,0,0,4,2.2,12.8,14.0,2.9,0,0,1,1,1,52,84327,4444,18596,-14152
53,51,6,2025-09-28T13:00:00Z,True,10,Fulham,3,1,False,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,0.0,0.0,0.2,1,0,0,1,1,52,71792,3220,16416,-13196
53,62,7,2025-10-05T13:00:00Z,True,3,Burnley,2,1,False,83,1,2,0,0,1,0,0,0,0,0,0,3,46,71.8,22.3,45.0,13.9,0,2,1,3,15,51,67137,3046,8632,-5586
53,79,8,2025-10-19T13:00:00Z,False,18,Spurs,1,2,False,60,1,0,0,0,1,0,0,0,0,0,0,0,3,0.0,0.2,6.0,0.2,0,0,0,0,2,51,91572,28995,7790,21205
53,82,9,2025-10-26T14:00:00Z,True,13,Man City,1,0,False,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,0.0,0.0,0.2,0,0,1,1,1,51,93926,11127,8282,2845
53,95,10,2025-11-01T20:00:00Z,False,12,Liverpool,2,0,False,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,2.3,7.0,0.8,0,0,0,0,1,51,91949,7861,10397,-2536
53,101,11,2025-11-09T14:00:00Z,True,4,Bournemouth,4,0,False,9,0,1,0,0,0,0,0,0,0,0,0,0,20,31.2,0.3,30.0,6.2,0,0,0,0,6,51,88429,4472,8323,-3851
53,116,12,2025-11-23T14:00:00Z,False,11,Leeds,1,2,False,45,0,0,1,0,0,0,0,0,0,0,0,0,13,20.8,24.5,14.0,5.9,0,2,1,3,4,51,93723,9145,5356,3789
53,121,13,2025-11-30T14:05:00Z,True,20,Wolves,1,0,False,74,1,0,0,1,0,0,0,0,0,0,0,0,8,1.4,1.8,40.0,4.3,0,0,0,0,3,51,136294,29293,4658,24635
53,133,14,2025-12-03T19:30:00Z,False,6,Brighton,3,4,False,13,0,1,0,0,1,0,0,0,0,0,0,0,28,36.2,0.2,40.0,7.6,0,0,0,0,6,51,120512,9839,7185,2654
53,141,15,2025-12-06T12:30:00Z,True,1,Arsenal,2,1,False,24,0,0,0,0,0,0,0,0,0,0,0,0,-3,0.0,0.3,8.0,0.7,0,0,0,0,1,51,121381,10263,8749,1514
53,160,16,2025-12-14T14:00:00Z,False,19,West Ham,2,3,False,26,0,0,0,0,0,0,0,0,0,0,0,0,6,5.2,10.3,9.0,2.5,0,1,0,1,1,51,115044,15090,22418,-7328
53,161,17,2025-12-21T16:30:00Z,True,14,Man Utd,2,1,False,15,0,0,0,0,0,0,0,0,0,0,0,0,4,2.0,14.3,0.0,1.6,0,0,0,0,1,51,107511,7660,14958,-7298
53,174,18,2025-12-27T17:30:00Z,False,7,Chelsea,1,2,False,58,1,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.3,0.0,0.0,0,1,0,1,1,51,99221,4377,11889,-7512
53,181,19,2025-12-30T20:15:00Z,False,1,Arsenal,4,1,False,29,0,0,1,0,2,0,0,0,0,0,0,0,6,3.2,0.8,51.0,5.5,1,0,0,1,4,51,93210,2336,9033,-6697
53,191,20,2026-01-03T12:30:00Z,True,16,Nott'm Forest,3,1,False,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,2.0,0.2,0,0,0,0,1,51,94789,4822,5381,-559
53,205,21,2026-01-07T19:30:00Z,False,8,Crystal Palace,0,0,False,17,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,0,0,0,0,1,51,87282,1263,8504,-7241
53,211,22,2026-01-18T16:30:00Z,True,9,Everton,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,75340,961,13236,-12275
53,229,23,2026-01-25T14:00:00Z,False,15,Newcastle,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,66286,0,9284,-9284
53,231,24,2026-02-01T14:00:00Z,True,5,Brentford,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,60572,0,5800,-5800
53,242,25,2026-02-07T15:00:00Z,False,4,Bournemouth,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,57670,0,2989,-2989
53,251,26,2026-02-11T19:30:00Z,True,6,Brighton,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,55555,0,2125,-2125
53,261,27,2026-02-21T15:00:00Z,True,11,Leeds,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,54136,0,1510,-1510
53,280,28,2026-02-27T20:00:00Z,False,20,Wolves,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,53450,0,717,-717
53,281,29,2026-03-04T19:30:00Z,True,7,Chelsea,1,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,52830,0,628,-628
