fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
547,5,1,2025-08-16T14:00:00Z,True,19,West Ham,3,0,False,14,0,0,0,0,0,0,0,0,0,0,0,0,4,3.2,0.3,0.0,0.4,2,2,0,4,1,50,38041,0,0,0
547,14,2,2025-08-23T14:00:00Z,False,3,Burnley,2,0,False,27,0,0,0,0,1,0,0,0,0,0,0,0,15,9.0,23.4,4.0,3.6,0,6,2,8,1,50,33550,611,6725,-6114
547,28,3,2025-08-30T14:00:00Z,True,5,Brentford,2,1,False,90,1,1,0,0,1,0,0,0,0,0,0,2,30,57.2,17.3,17.0,9.2,3,5,6,14,11,49,29036,1500,6346,-4846
547,35,4,2025-09-13T14:00:00Z,False,8,Crystal Palace,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,59461,35021,10790,24231
547,48,5,2025-09-21T13:00:00Z,True,2,Aston Villa,1,1,False,80,1,0,0,0,1,0,0,0,0,0,0,0,6,9.8,0.4,0.0,1.0,1,1,3,5,2,49,49377,3921,12136,-8215
547,59,6,2025-09-27T16:30:00Z,False,16,Nott'm Forest,0,1,False,74,1,0,0,1,0,0,0,0,0,0,0,0,9,7.4,11.8,4.0,2.3,1,2,1,4,3,49,51370,8032,7140,892
547,68,7,2025-10-04T14:00:00Z,False,14,Man Utd,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,6,2.4,9.0,4.0,1.5,0,7,1,8,2,49,50547,3407,4459,-1052
547,78,8,2025-10-18T14:00:00Z,True,20,Wolves,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,13,26.6,12.8,0.0,3.9,6,4,4,14,5,49,48657,3082,5497,-2415
547,85,9,2025-10-25T14:00:00Z,False,7,Chelsea,1,2,False,74,1,0,0,0,1,0,0,0,1,0,0,0,7,10.0,24.4,3.0,3.7,2,5,2,9,1,49,47727,2319,3316,-997
547,98,10,2025-11-03T20:00:00Z,True,9,Everton,1,1,False,90,1,0,1,0,1,0,0,0,0,0,0,1,23,28.8,32.7,10.0,7.2,2,4,3,9,6,49,46756,2384,3803,-1419
547,108,11,2025-11-08T17:30:00Z,True,1,Arsenal,2,2,False,63,1,0,0,0,1,0,0,0,0,0,0,0,5,5.6,15.8,7.0,2.8,4,2,1,7,2,49,45554,1602,2688,-1086
547,115,12,2025-11-22T15:00:00Z,False,10,Fulham,1,0,False,89,1,0,0,0,1,0,0,0,0,0,0,0,3,7.8,29.0,14.0,5.1,3,3,1,7,2,49,46847,3359,2662,697
547,128,13,2025-11-29T15:00:00Z,True,4,Bournemouth,3,2,False,85,1,1,1,0,2,0,0,0,0,0,0,3,39,54.6,41.0,22.0,11.8,2,6,1,9,13,49,45792,1890,3441,-1551
547,137,14,2025-12-03T20:15:00Z,False,12,Liverpool,1,1,False,79,1,0,1,1,0,0,0,0,1,0,0,0,12,15.6,28.9,3.0,4.8,0,1,2,3,5,49,52818,8500,2136,6364
547,147,15,2025-12-06T15:00:00Z,False,13,Man City,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,16,9.6,5.6,1.0,1.6,0,5,5,10,2,49,62258,11709,2401,9308
547,159,16,2025-12-14T14:00:00Z,True,15,Newcastle,1,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,8,2.8,8.8,2.0,1.4,0,4,1,5,2,49,72686,18806,8973,9833
547,163,17,2025-12-20T15:00:00Z,False,6,Brighton,0,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,14,21.8,68.3,10.0,10.0,2,1,1,4,2,49,88645,22291,6234,16057
547,179,18,2025-12-28T14:00:00Z,True,11,Leeds,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,11,14.2,40.9,6.0,6.1,2,1,2,5,2,49,144656,47758,7828,39930
547,189,19,2026-01-01T20:00:00Z,True,13,Man City,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,21,22.6,30.1,2.0,5.5,6,2,4,12,5,49,112398,4475,12790,-8315
547,199,20,2026-01-04T15:00:00Z,False,18,Spurs,1,1,False,90,1,0,1,0,1,0,0,0,1,0,0,0,23,27.2,15.0,9.0,5.1,1,5,5,11,4,49,120409,8958,8626,332
547,203,21,2026-01-07T19:30:00Z,False,5,Brentford,3,0,False,90,1,0,0,0,3,0,0,1,0,0,0,0,13,12.2,31.4,20.0,6.4,2,5,1,8,0,49,126292,14369,8891,5478
547,218,22,2026-01-17T15:00:00Z,True,8,Crystal Palace,2,1,False,90,1,1,0,0,1,0,0,0,0,0,0,1,30,40.8,17.7,25.0,8.4,1,4,2,7,8,49,125615,12503,13505,-1002
547,230,23,2026-01-24T12:30:00Z,False,19,West Ham,3,1,False,90,1,0,0,0,3,0,0,0,0,0,0,0,18,15.0,19.0,2.0,3.6,3,6,1,10,2,49,180300,58125,6158,51967
547,238,24,2026-02-02T20:00:00Z,True,3,Burnley,3,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,24,27.8,4.9,7.0,4.0,6,9,5,20,5,49,183828,27714,23708,4006
547,241,25,2026-02-07T15:00:00Z,False,1,Arsenal,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,11,10.6,3.7,0.0,1.4,4,3,1,8,2,49,169698,10394,21877,-11483
547,258,26,2026-02-11T20:15:00Z,True,12,Liverpool,0,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,14,19.2,9.9,0.0,2.9,4,3,3,10,2,49,156025,8667,22248,-13581
547,268,27,2026-02-22T14:00:00Z,True,10,Fulham,1,3,False,90,1,1,0,0,3,0,0,0,0,0,0,1,29,41.8,18.9,21.0,8.2,2,9,1,12,10,49,157668,10040,11153,-1113
547,272,28,2026-02-28T12:30:00Z,False,4,Bournemouth,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,13,12.8,30.1,6.0,4.9,2,5,3,10,2,49,175738,23271,6451,16820
547,286,29,2026-03-03T19:30:00Z,False,11,Leeds,0,1,False,90,1,0,0,1,0,0,0,0,0,0,0,0,13,16.8,15.4,0.0,3.2,2,6,5,13,5,50,175785,11978,11095,883
547,299,30,2026-03-14T15:00:00Z,True,6,Brighton,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,184530,17640,10139,7501
547,308,31,2026-03-22T12:00:00Z,False,15,Newcastle,1,2,False,5,0,0,0,0,0,0,0,0,0,0,0,0,8,8.4,10.3,2.0,2.1,2,1,2,5,1,50,130167,382,29119,-28737
547,319,32,2026-04-12T13:00:00Z,True,18,Spurs,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,24,15.0,27.7,2.0,4.5,3,3,1,7,3,49,145925,6911,17591,-10680
547,321,33,2026-04-19T13:00:00Z,False,2,Aston Villa,4,3,False,90,1,0,1,0,4,0,0,0,0,0,0,2,37,36.6,39.2,28.0,10.4,2,7,3,12,9,49,124778,3238,15948,-12710
