fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
54,2,1,2025-08-16T11:30:00Z,True,15,Newcastle,0,0,False,83,1,0,0,1,0,0,0,0,0,0,0,0,10,5.0,19.3,6.0,3.0,0,7,0,7,3,55,63899,0,0,0
54,13,2,2025-08-23T14:00:00Z,False,5,Brentford,1,0,False,73,1,0,0,0,1,0,0,0,0,0,0,0,14,17.6,31.1,15.0,6.4,2,2,0,4,2,55,76409,8904,10643,-1739
54,21,3,2025-08-31T18:00:00Z,True,8,Crystal Palace,0,3,False,73,1,0,0,0,2,0,0,0,0,0,0,0,18,8.0,13.9,0.0,2.2,1,3,2,6,2,55,73407,5547,11833,-6286
54,36,4,2025-09-13T14:00:00Z,False,9,Everton,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,12,10.4,13.4,0.0,2.4,3,5,0,8,3,55,70587,4695,10168,-5473
54,48,5,2025-09-21T13:00:00Z,False,17,Sunderland,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,15,11.8,19.4,3.0,3.4,1,3,1,5,2,55,73161,7561,7015,546
54,51,6,2025-09-28T13:00:00Z,True,10,Fulham,3,1,False,71,1,1,0,0,1,0,0,0,1,0,0,0,25,36.0,18.5,13.0,6.8,3,5,1,9,6,54,68959,3669,8387,-4718
54,62,7,2025-10-05T13:00:00Z,True,3,Burnley,2,1,False,66,1,0,0,1,0,0,0,0,0,0,0,0,8,1.8,16.0,1.0,1.9,0,2,1,3,3,54,85126,17462,4611,12851
54,79,8,2025-10-19T13:00:00Z,False,18,Spurs,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,10,10.8,14.8,1.0,2.7,2,1,4,7,2,54,82494,7356,9656,-2300
54,82,9,2025-10-26T14:00:00Z,True,13,Man City,1,0,False,73,1,0,0,1,0,0,0,0,0,0,0,0,8,2.6,11.4,10.0,2.4,1,3,0,4,3,54,80279,4600,7279,-2679
54,95,10,2025-11-01T20:00:00Z,False,12,Liverpool,2,0,False,58,1,0,0,0,2,0,0,0,0,0,0,0,8,7.8,11.8,0.0,2.0,0,2,3,5,1,54,79354,4883,6524,-1641
54,101,11,2025-11-09T14:00:00Z,True,4,Bournemouth,4,0,False,70,1,0,0,1,0,0,0,0,0,0,0,0,15,23.8,39.2,19.0,8.2,3,2,3,8,3,54,77927,3853,5775,-1922
54,116,12,2025-11-23T14:00:00Z,False,11,Leeds,1,2,False,67,1,0,0,0,1,0,0,0,1,0,0,0,5,1.8,15.7,4.0,2.2,1,3,1,5,1,54,79901,5048,4055,993
54,121,13,2025-11-30T14:05:00Z,True,20,Wolves,1,0,False,90,1,0,1,1,0,0,0,0,0,0,0,1,31,35.4,50.1,11.0,9.7,3,11,2,16,9,54,80022,4238,4495,-257
54,133,14,2025-12-03T19:30:00Z,False,6,Brighton,3,4,False,76,1,0,0,0,2,0,0,0,1,0,0,0,-2,0.0,6.8,4.0,1.1,0,3,2,5,1,54,84107,6529,2766,3763
54,141,15,2025-12-06T12:30:00Z,True,1,Arsenal,2,1,False,74,1,0,0,0,1,0,0,0,0,0,0,0,11,5.0,11.3,4.0,2.0,2,1,1,4,2,54,81670,4054,6263,-2209
54,160,16,2025-12-14T14:00:00Z,False,19,West Ham,2,3,False,90,1,0,0,0,2,0,0,0,0,0,0,0,16,14.0,19.8,2.0,3.6,2,6,3,11,2,54,87306,13679,9212,4467
54,161,17,2025-12-21T16:30:00Z,True,14,Man Utd,2,1,False,83,1,0,1,0,1,0,0,0,0,0,0,0,17,26.0,35.8,19.0,8.1,0,5,1,6,5,54,88424,8372,7262,1110
54,174,18,2025-12-27T17:30:00Z,False,7,Chelsea,1,2,False,58,1,0,0,0,1,0,0,0,0,0,0,0,5,0.0,0.3,0.0,0.0,1,1,0,2,1,54,95840,11667,5564,6103
54,181,19,2025-12-30T20:15:00Z,False,1,Arsenal,4,1,False,45,0,0,0,0,4,0,0,0,0,0,0,0,3,7.6,11.2,35.0,5.4,1,2,0,3,1,54,93497,5275,6625,-1350
54,191,20,2026-01-03T12:30:00Z,True,16,Nott'm Forest,3,1,False,82,1,2,0,0,1,0,0,0,0,0,0,3,51,76.8,6.0,32.0,11.5,2,2,2,6,15,54,97213,7494,4999,2495
54,205,21,2026-01-07T19:30:00Z,False,8,Crystal Palace,0,0,False,72,1,0,0,1,0,0,0,0,0,0,0,0,5,6.0,18.3,14.0,3.8,1,1,0,2,3,54,140738,46206,5639,40567
54,211,22,2026-01-18T16:30:00Z,True,9,Everton,0,1,False,17,1,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1.1,0.0,0.0,0,0,0,0,1,54,150851,23696,12422,11274
54,229,23,2026-01-25T14:00:00Z,False,15,Newcastle,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,120233,3000,32157,-29157
54,231,24,2026-02-01T14:00:00Z,True,5,Brentford,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,90653,136,30033,-29897
54,242,25,2026-02-07T15:00:00Z,False,4,Bournemouth,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,78403,81,13164,-13083
54,251,26,2026-02-11T19:30:00Z,True,6,Brighton,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,70973,58,7813,-7755
54,261,27,2026-02-21T15:00:00Z,True,11,Leeds,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,66594,87,4879,-4792
54,280,28,2026-02-27T20:00:00Z,False,20,Wolves,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,64661,69,2138,-2069
54,281,29,2026-03-04T19:30:00Z,True,7,Chelsea,1,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,62922,23,1785,-1762
54,297,30,2026-03-15T14:00:00Z,False,14,Man Utd,3,1,False,60,1,0,0,0,1,0,0,0,0,0,0,0,9,0.0,17.2,9.0,2.3,0,2,0,2,2,53,62266,602,1374,-772
54,301,31,2026-03-22T14:15:00Z,True,19,West Ham,2,0,False,66,1,1,0,1,0,0,0,0,0,0,0,2,35,38.6,23.3,9.0,7.1,0,1,0,1,10,53,67878,3302,457,2845
54,318,32,2026-04-12T13:00:00Z,False,16,Nott'm Forest,1,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,16,9.4,14.8,20.0,4.4,1,4,0,5,1,53,76995,12531,1465,11066
54,321,33,2026-04-19T13:00:00Z,True,17,Sunderland,4,3,False,79,1,0,1,0,1,0,0,0,0,0,0,0,21,22.6,54.8,4.0,8.1,1,2,0,3,5,53,77499,4246,2725,1521
54,335,34,2026-04-25T11:30:00Z,False,10,Fulham,1,0,False,73,1,0,0,0,1,0,0,0,0,0,0,0,19,15.4,58.4,2.0,7.6,0,2,0,2,2,53,98672,16750,2142,14608
54,342,35,2026-05-03T18:00:00Z,True,18,Spurs,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,53,91747,4349,5562,-1213
54,352,36,2026-05-10T13:00:00Z,False,3,Burnley,2,2,False,84,1,0,1,0,2,0,0,0,0,0,0,0,21,24.8,48.2,54.0,12.7,0,4,0,4,5,53,91850,7398,7681,-283
54,362,37,2026-05-15T19:00:00Z,True,12,Liverpool,4,2,False,89,1,1,0,0,1,0,0,0,1,0,0,0,26,35.2,3.4,11.0,5.0,1,3,1,5,6,53,92455,4870,4216,654
