fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
561,5,1,2025-08-16T14:00:00Z,True,19,West Ham,3,0,False,75,1,1,0,1,0,0,0,0,0,0,0,2,37,34.0,11.3,26.0,7.1,0,0,0,0,8,55,27150,0,0,0
561,14,2,2025-08-23T14:00:00Z,False,3,Burnley,2,0,False,62,1,0,0,0,1,0,0,0,0,0,0,0,3,11.2,0.3,19.0,3.1,2,2,1,5,2,55,231418,166506,27270,139236
561,28,3,2025-08-30T14:00:00Z,True,5,Brentford,2,1,False,64,1,0,0,1,0,0,0,0,0,0,0,0,3,0.0,1.5,0.0,0.0,0,0,0,0,2,55,221221,56361,64428,-8067
561,35,4,2025-09-13T14:00:00Z,False,8,Crystal Palace,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,186651,14058,54017,-39959
561,48,5,2025-09-21T13:00:00Z,True,2,Aston Villa,1,1,False,10,0,0,0,0,0,0,0,0,0,0,0,0,3,1.2,0.0,0.0,0.1,0,1,0,1,1,55,160146,4596,34248,-29652
561,59,6,2025-09-27T16:30:00Z,False,16,Nott'm Forest,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,132618,1671,29825,-28154
561,68,7,2025-10-04T14:00:00Z,False,14,Man Utd,2,0,False,32,0,0,0,0,0,0,0,0,0,0,0,0,5,1.6,11.5,5.0,1.8,0,0,0,0,1,55,116365,2165,19800,-17635
561,78,8,2025-10-18T14:00:00Z,True,20,Wolves,2,0,False,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,2.0,0.2,0,1,0,1,1,55,104035,2477,15633,-13156
561,85,9,2025-10-25T14:00:00Z,False,7,Chelsea,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,94602,1217,10989,-9772
561,98,10,2025-11-03T20:00:00Z,True,9,Everton,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,54,87365,1679,9249,-7570
561,108,11,2025-11-08T17:30:00Z,True,1,Arsenal,2,2,False,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,1,54,82711,1169,6158,-4989
561,115,12,2025-11-22T15:00:00Z,False,10,Fulham,1,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0,0,0,0,1,54,79611,1329,4726,-3397
561,128,13,2025-11-29T15:00:00Z,True,4,Bournemouth,3,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,53,77515,748,3116,-2368
561,137,14,2025-12-03T20:15:00Z,False,12,Liverpool,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,53,75841,493,2390,-1897
561,147,15,2025-12-06T15:00:00Z,False,13,Man City,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,53,74500,994,2469,-1475
561,159,16,2025-12-14T14:00:00Z,True,15,Newcastle,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,53,71251,1184,4595,-3411
561,163,17,2025-12-20T15:00:00Z,False,6,Brighton,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,52,70441,1483,2483,-1000
561,179,18,2025-12-28T14:00:00Z,True,11,Leeds,1,1,False,22,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,1.3,9.0,1.1,0,0,0,0,1,52,69058,992,2443,-1451
561,189,19,2026-01-01T20:00:00Z,True,13,Man City,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,9,8.8,1.3,32.0,4.2,3,3,0,6,2,52,67987,383,1506,-1123
561,199,20,2026-01-04T15:00:00Z,False,18,Spurs,1,1,False,81,1,0,0,0,1,0,0,0,0,0,0,0,12,7.2,10.8,17.0,3.5,0,2,1,3,2,52,68115,875,948,-73
561,203,21,2026-01-07T19:30:00Z,False,5,Brentford,3,0,False,38,0,0,0,0,2,0,0,0,0,0,0,0,0,0.0,1.4,0.0,0.0,0,0,0,0,1,52,68073,949,1090,-141
561,218,22,2026-01-17T15:00:00Z,True,8,Crystal Palace,2,1,False,6,0,0,0,0,0,0,0,0,0,0,0,0,4,6.0,1.3,17.0,2.4,1,1,0,2,1,52,67293,831,1654,-823
561,230,23,2026-01-24T12:30:00Z,False,19,West Ham,3,1,False,74,1,0,0,0,3,0,0,0,0,0,0,0,0,2.2,1.3,4.0,0.8,0,1,1,2,2,52,67088,575,850,-275
