fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
565,6,1,2025-08-16T14:00:00Z,True,3,Burnley,3,0,False,90,1,0,0,1,0,0,0,0,0,0,4,2,36,30.0,0.0,0.0,3.0,1,7,0,0,9,50,394152,0,0,0
565,18,2,2025-08-23T11:30:00Z,False,13,Man City,0,2,False,90,1,0,0,1,0,0,0,0,0,0,4,2,30,28.4,0.0,0.0,2.8,1,6,0,0,9,50,460990,35158,52634,-17476
565,29,3,2025-08-30T14:00:00Z,True,4,Bournemouth,0,1,False,90,1,0,0,0,1,0,0,0,0,0,5,0,23,40.0,0.1,0.0,4.0,0,13,0,0,3,50,835597,268444,49102,219342
565,40,4,2025-09-13T16:30:00Z,False,19,West Ham,0,3,False,90,1,0,0,1,0,0,0,0,0,0,4,1,39,38.6,0.0,0.0,3.9,2,9,0,0,8,50,1112071,309347,90041,219306
565,43,5,2025-09-20T14:00:00Z,False,6,Brighton,2,2,False,90,1,0,0,0,2,0,0,0,0,0,2,0,9,13.0,0.0,0.0,1.3,1,15,0,0,1,51,1365409,253580,40137,213443
565,60,6,2025-09-27T19:00:00Z,True,20,Wolves,1,1,False,90,1,0,0,0,1,0,0,0,0,0,2,0,10,19.0,0.0,0.0,1.9,0,6,0,0,2,51,1494946,210824,90410,120414
565,67,7,2025-10-04T11:30:00Z,False,11,Leeds,1,2,False,90,1,0,0,0,1,0,0,0,0,0,3,0,13,26.8,0.0,0.0,2.7,0,5,0,0,3,51,1481098,61842,70253,-8411
565,79,8,2025-10-19T13:00:00Z,True,2,Aston Villa,1,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,1,5.0,0.0,0.0,0.5,2,7,0,0,1,51,1412691,26707,100845,-74138
565,86,9,2025-10-26T16:30:00Z,False,9,Everton,0,3,False,90,1,0,0,1,0,0,0,0,0,0,2,0,29,16.0,0.0,0.0,1.6,2,10,0,0,6,51,1334874,9222,90601,-81379
565,99,10,2025-11-01T17:30:00Z,True,7,Chelsea,0,1,False,90,1,0,0,0,1,0,0,0,0,0,8,0,28,66.8,0.0,0.0,6.7,3,7,0,0,4,51,1250579,12963,92666,-79703
