fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
584,6,1,2025-08-16T14:00:00Z,True,3,Burnley,3,0,False,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.1,0.0,0.0,0,0,0,0,1,65,13227,0,0,0
584,18,2,2025-08-23T11:30:00Z,False,13,Man City,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,64,12622,605,3715,-3110
584,29,3,2025-08-30T14:00:00Z,True,4,Bournemouth,0,1,False,14,0,0,0,0,0,0,0,0,0,0,0,0,1,4.6,0.3,1.0,0.6,0,2,3,5,1,63,11643,924,3348,-2424
584,40,4,2025-09-13T16:30:00Z,False,19,West Ham,0,3,False,78,1,0,0,1,0,0,0,0,0,0,0,0,7,0.8,3.0,8.0,1.2,0,1,0,1,3,63,11850,1172,2081,-909
584,43,5,2025-09-20T14:00:00Z,False,6,Brighton,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,12719,1626,1380,246
584,60,6,2025-09-27T19:00:00Z,True,20,Wolves,1,1,False,6,0,0,0,0,0,0,0,0,0,0,0,0,6,5.2,4.3,0.0,1.0,0,0,1,1,1,63,12232,836,1613,-777
584,67,7,2025-10-04T11:30:00Z,False,11,Leeds,1,2,False,72,1,1,0,0,1,0,0,0,0,0,0,2,28,33.2,1.3,21.0,5.6,2,3,0,5,9,63,12362,802,1065,-263
584,79,8,2025-10-19T13:00:00Z,True,2,Aston Villa,1,2,False,59,1,0,0,0,1,0,0,0,0,0,0,0,-2,0.0,0.8,8.0,0.8,0,4,1,5,1,63,17410,5401,1438,3963
584,86,9,2025-10-26T16:30:00Z,False,9,Everton,0,3,False,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0,0,0,1,63,17218,1699,1840,-141
584,99,10,2025-11-01T17:30:00Z,True,7,Chelsea,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,15633,629,2261,-1632
584,109,11,2025-11-08T12:30:00Z,True,14,Man Utd,2,2,False,11,0,1,0,0,1,0,0,0,0,0,0,0,22,31.4,0.3,21.0,5.3,0,1,0,1,6,63,14414,364,1757,-1393
584,111,12,2025-11-23T16:30:00Z,False,1,Arsenal,4,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,15155,1236,854,382
584,129,13,2025-11-29T20:00:00Z,True,10,Fulham,1,2,False,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.2,0.0,0.0,0,0,0,0,1,63,14956,531,882,-351
584,139,14,2025-12-02T20:15:00Z,False,15,Newcastle,2,2,False,13,0,0,1,0,1,0,0,0,0,0,0,0,12,0.0,0.8,2.0,0.3,0,0,0,0,4,63,14499,198,668,-470
584,149,15,2025-12-06T15:00:00Z,True,5,Brentford,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,63,14280,281,581,-300
584,158,16,2025-12-14T14:00:00Z,False,16,Nott'm Forest,3,0,False,10,0,0,0,0,0,0,0,0,0,0,0,0,4,3.0,14.6,0.0,1.8,0,2,0,2,1,62,13791,421,1005,-584
584,169,17,2025-12-20T17:30:00Z,True,12,Liverpool,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,62,13655,391,623,-232
584,175,18,2025-12-28T16:30:00Z,False,8,Crystal Palace,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,62,13679,442,531,-89
584,182,19,2026-01-01T20:00:00Z,False,5,Brentford,0,0,False,10,0,0,0,0,0,0,0,0,0,0,0,0,3,2.0,0.5,0.0,0.3,1,0,0,1,1,62,13681,318,399,-81
584,199,20,2026-01-04T15:00:00Z,True,17,Sunderland,1,1,False,87,1,0,0,0,1,0,0,0,0,0,0,0,7,5.6,7.3,15.0,2.8,2,7,1,10,2,62,13708,294,311,-17
584,202,21,2026-01-07T19:30:00Z,False,4,Bournemouth,3,2,False,90,1,1,0,0,3,0,0,0,0,0,0,3,42,49.6,48.2,27.0,12.5,0,6,2,8,10,62,14805,1440,440,1000
584,219,22,2026-01-17T15:00:00Z,True,19,West Ham,1,2,False,61,1,0,0,0,1,0,0,0,0,0,0,0,8,3.6,22.3,24.0,5.0,0,2,2,4,2,62,25861,12260,2155,10105
584,224,23,2026-01-24T15:00:00Z,False,3,Burnley,2,2,False,12,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.9,33.0,3.7,0,2,0,2,1,62,28825,5934,2608,3326
584,239,24,2026-02-01T16:30:00Z,True,13,Man City,2,2,False,22,0,0,0,0,0,0,0,0,0,0,0,0,3,2.2,10.9,2.0,1.5,0,3,0,3,1,62,20655,419,8159,-7740
584,248,25,2026-02-07T12:30:00Z,False,14,Man Utd,2,0,False,10,0,0,0,0,1,0,0,0,0,0,0,0,2,1.2,0.3,5.0,0.7,0,2,0,2,1,62,19264,626,2327,-1701
584,259,26,2026-02-10T19:30:00Z,True,15,Newcastle,1,2,False,55,0,0,0,0,2,0,0,0,0,0,0,0,0,1.8,25.7,22.0,5.0,0,5,1,6,1,62,17812,289,1774,-1485
584,269,27,2026-02-22T16:30:00Z,True,1,Arsenal,1,4,False,8,0,0,0,0,1,0,0,0,0,0,0,0,3,4.2,14.0,0.0,1.8,0,1,0,1,1,62,17115,296,1178,-882
584,275,28,2026-03-01T14:00:00Z,False,10,Fulham,2,1,False,32,0,0,0,0,0,0,0,0,0,0,0,0,7,9.4,14.6,4.0,2.8,1,3,0,4,1,62,16869,244,577,-333
584,289,29,2026-03-05T20:00:00Z,True,8,Crystal Palace,1,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,7,9.8,53.5,33.0,9.6,0,1,0,1,2,62,17157,527,468,59
584,296,30,2026-03-15T16:30:00Z,False,12,Liverpool,1,1,False,74,1,0,0,0,1,0,0,0,0,0,0,0,14,19.4,38.9,2.0,6.0,3,3,3,9,2,62,16941,334,606,-272
584,309,31,2026-03-22T14:15:00Z,True,16,Nott'm Forest,0,3,False,66,1,0,0,0,2,0,0,0,0,0,0,0,16,16.0,26.8,20.0,6.3,0,3,3,6,2,62,20344,1547,292,1255
584,319,32,2026-04-12T13:00:00Z,False,17,Sunderland,1,0,False,29,0,0,0,0,0,0,0,0,0,0,0,0,1,4.6,14.6,4.0,2.3,0,1,0,1,1,62,17592,308,988,-680
584,330,33,2026-04-18T16:30:00Z,True,6,Brighton,2,2,False,33,0,0,0,0,1,0,0,0,0,0,0,0,4,8.4,14.9,2.0,2.5,1,1,0,2,1,62,17552,608,583,25
584,340,34,2026-04-25T14:00:00Z,False,20,Wolves,0,1,False,45,0,0,0,0,0,0,0,0,0,0,0,0,2,9.0,0.9,2.0,1.2,2,4,2,8,1,62,18426,993,573,420
