fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
58,2,1,2025-08-16T11:30:00Z,True,15,Newcastle,0,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,13,13.8,2.2,17.0,3.3,3,6,2,11,2,50,19130,0,0,0
58,13,2,2025-08-23T14:00:00Z,False,5,Brentford,1,0,False,15,1,0,0,0,1,0,0,0,0,0,0,0,5,1.6,0.8,2.0,0.4,0,0,1,1,1,50,24128,3038,3557,-519
58,21,3,2025-08-31T18:00:00Z,True,8,Crystal Palace,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,17157,693,7683,-6990
58,36,4,2025-09-13T14:00:00Z,False,9,Everton,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,14103,128,3795,-3667
58,48,5,2025-09-21T13:00:00Z,False,17,Sunderland,1,1,False,81,1,0,1,0,1,0,0,0,0,0,0,1,28,38.2,29.0,0.0,6.7,4,2,2,8,6,49,13175,498,1702,-1204
58,51,6,2025-09-28T13:00:00Z,True,10,Fulham,3,1,False,18,0,0,0,0,0,0,0,0,0,0,0,0,5,7.6,0.7,0.0,0.8,4,1,1,6,1,49,15946,3151,1101,2050
58,62,7,2025-10-05T13:00:00Z,True,3,Burnley,2,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,22,31.2,30.4,5.0,6.7,2,7,1,10,5,49,17166,2088,1195,893
58,79,8,2025-10-19T13:00:00Z,False,18,Spurs,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,23,17.0,4.9,0.0,2.2,2,5,4,11,2,49,19687,3305,1445,1860
58,82,9,2025-10-26T14:00:00Z,True,13,Man City,1,0,False,90,1,0,0,1,0,0,0,0,1,0,0,0,8,13.0,14.3,0.0,2.7,2,5,2,9,2,49,20428,1807,1274,533
58,95,10,2025-11-01T20:00:00Z,False,12,Liverpool,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,14,8.6,15.1,0.0,2.4,2,3,1,6,2,49,20838,1534,1429,105
58,101,11,2025-11-09T14:00:00Z,True,4,Bournemouth,4,0,False,80,1,0,0,1,0,0,0,0,1,0,0,0,10,16.8,12.7,7.0,3.7,2,2,3,7,2,49,21220,1440,1276,164
58,116,12,2025-11-23T14:00:00Z,False,11,Leeds,1,2,False,90,1,0,0,0,1,0,0,0,0,0,0,0,18,27.2,22.9,0.0,5.0,7,4,2,13,4,49,21782,1410,1230,180
58,121,13,2025-11-30T14:05:00Z,True,20,Wolves,1,0,False,87,1,1,0,1,0,0,0,0,0,0,0,3,35,44.4,4.3,7.0,5.6,0,1,3,4,11,49,22129,1202,1017,185
58,133,14,2025-12-03T19:30:00Z,False,6,Brighton,3,4,False,69,1,0,0,0,2,0,0,0,0,0,0,0,12,6.8,15.8,0.0,2.3,2,0,1,3,2,49,25474,3406,682,2724
58,141,15,2025-12-06T12:30:00Z,True,1,Arsenal,2,1,False,90,1,0,1,0,1,0,0,0,0,0,0,3,37,36.6,16.6,11.0,6.4,2,6,4,12,10,49,25988,2302,1603,699
58,160,16,2025-12-14T14:00:00Z,False,19,West Ham,2,3,False,90,1,0,0,0,2,0,0,0,1,0,0,0,11,5.4,7.3,0.0,1.3,2,7,1,10,1,49,66244,37917,2503,35414
58,161,17,2025-12-21T16:30:00Z,True,14,Man Utd,2,1,False,87,1,0,0,0,1,0,0,0,0,0,0,0,2,5.6,2.9,0.0,0.9,2,2,3,7,2,49,77379,22310,8349,13961
58,174,18,2025-12-27T17:30:00Z,False,7,Chelsea,1,2,False,82,1,0,0,0,1,0,0,0,1,0,0,0,6,10.6,2.5,17.0,3.0,2,4,1,7,1,49,84116,15764,8707,7057
58,181,19,2025-12-30T20:15:00Z,False,1,Arsenal,4,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,59873,1613,20829,-19216
58,191,20,2026-01-03T12:30:00Z,True,16,Nott'm Forest,3,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,19,28.4,22.8,2.0,5.3,5,6,6,17,4,49,61316,3100,6916,-3816
58,205,21,2026-01-07T19:30:00Z,False,8,Crystal Palace,0,0,False,81,1,0,0,1,0,0,0,0,0,0,0,0,14,12.2,36.1,7.0,5.5,3,4,0,7,3,49,59225,3047,5271,-2224
58,211,22,2026-01-18T16:30:00Z,True,9,Everton,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,49477,1363,11169,-9806
58,229,23,2026-01-25T14:00:00Z,False,15,Newcastle,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,40743,51,8938,-8887
58,231,24,2026-02-01T14:00:00Z,True,5,Brentford,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,33845,50,7027,-6977
