fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
59,2,1,2025-08-16T11:30:00Z,True,15,Newcastle,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,19,19.4,3.0,0.0,2.2,5,7,2,14,5,50,148612,0,0,0
59,13,2,2025-08-23T14:00:00Z,False,5,Brentford,1,0,False,63,1,0,0,0,1,0,0,0,1,0,0,0,10,14.6,3.2,16.0,3.4,4,3,2,9,1,50,206140,41577,24650,16927
59,21,3,2025-08-31T18:00:00Z,True,8,Crystal Palace,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,182975,16382,43008,-26626
59,36,4,2025-09-13T14:00:00Z,False,9,Everton,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,125947,631,59433,-58802
59,48,5,2025-09-21T13:00:00Z,False,17,Sunderland,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,98726,132,30012,-29880
59,51,6,2025-09-28T13:00:00Z,True,10,Fulham,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,81742,77,17664,-17587
59,62,7,2025-10-05T13:00:00Z,True,3,Burnley,2,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0.2,0.1,0.0,0.0,0,0,0,0,1,49,73767,53,8581,-8528
59,79,8,2025-10-19T13:00:00Z,False,18,Spurs,1,2,False,81,1,0,0,0,1,0,0,0,0,0,0,0,11,18.6,6.6,0.0,2.5,7,4,3,14,4,48,70884,1585,5231,-3646
59,82,9,2025-10-26T14:00:00Z,True,13,Man City,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,22,33.6,3.5,0.0,3.7,8,0,3,11,3,48,72394,3094,2057,1037
59,95,10,2025-11-01T20:00:00Z,False,12,Liverpool,2,0,False,90,1,0,0,0,2,0,0,0,1,0,0,0,13,14.6,16.6,0.0,3.1,2,3,2,7,1,48,76838,6159,2569,3590
59,101,11,2025-11-09T14:00:00Z,True,4,Bournemouth,4,0,False,70,1,1,0,1,0,0,0,0,0,0,0,1,33,45.0,2.2,9.0,5.6,4,2,3,9,9,48,79748,5164,2627,2537
59,116,12,2025-11-23T14:00:00Z,False,11,Leeds,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,48,84573,8255,4182,4073
59,121,13,2025-11-30T14:05:00Z,True,20,Wolves,1,0,False,15,0,0,0,0,0,0,0,0,0,0,0,0,5,6.2,0.4,0.0,0.7,3,1,1,5,1,48,81808,1767,4060,-2293
59,133,14,2025-12-03T19:30:00Z,False,6,Brighton,3,4,False,90,1,1,0,0,3,0,0,0,0,0,0,2,41,49.0,1.1,36.0,8.6,6,7,4,17,11,48,82282,2059,2229,-170
59,141,15,2025-12-06T12:30:00Z,True,1,Arsenal,2,1,False,74,1,0,0,0,1,0,0,0,0,0,0,0,5,1.4,2.2,0.0,0.4,3,4,2,9,2,48,87659,6554,2001,4553
59,160,16,2025-12-14T14:00:00Z,False,19,West Ham,2,3,False,63,1,0,0,0,2,0,0,0,0,0,0,0,15,8.2,6.8,2.0,1.7,2,0,2,4,2,48,93099,11507,6419,5088
59,161,17,2025-12-21T16:30:00Z,True,14,Man Utd,2,1,False,83,1,0,0,0,1,0,0,0,0,0,0,0,23,21.4,12.2,2.0,3.6,6,4,3,13,4,48,98053,9992,5367,4625
59,174,18,2025-12-27T17:30:00Z,False,7,Chelsea,1,2,False,31,0,0,0,0,0,0,0,0,0,0,0,0,5,4.2,0.4,0.0,0.5,2,2,0,4,1,48,103923,9479,4773,4706
59,181,19,2025-12-30T20:15:00Z,False,1,Arsenal,4,1,False,45,1,0,0,0,0,0,0,0,0,0,0,0,5,5.8,2.3,2.0,1.0,2,0,0,2,1,48,105423,6764,5215,1549
59,191,20,2026-01-03T12:30:00Z,True,16,Nott'm Forest,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,48,97252,2036,9444,-7408
59,205,21,2026-01-07T19:30:00Z,False,8,Crystal Palace,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,48,87399,197,10069,-9872
59,211,22,2026-01-18T16:30:00Z,True,9,Everton,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,48,79406,192,8562,-8370
59,229,23,2026-01-25T14:00:00Z,False,15,Newcastle,0,2,False,88,1,0,0,1,0,0,0,0,0,0,0,0,18,16.6,13.3,2.0,3.2,5,4,3,12,5,48,78414,1013,2379,-1366
