fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
600,5,1,2025-08-16T14:00:00Z,False,17,Sunderland,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,467077,0,0,0
600,20,2,2025-08-22T19:00:00Z,True,7,Chelsea,1,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,420620,5994,75310,-69316
600,27,3,2025-08-31T13:00:00Z,False,16,Nott'm Forest,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,363190,4397,67785,-63388
600,40,4,2025-09-13T16:30:00Z,True,18,Spurs,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,322767,4386,55560,-51174
600,49,5,2025-09-20T14:00:00Z,True,8,Crystal Palace,1,2,False,90,1,0,0,0,2,0,0,0,0,0,1,0,4,13.2,0.0,0.0,1.3,2,7,0,0,1,44,299601,2762,30286,-27524
600,55,6,2025-09-29T19:00:00Z,False,9,Everton,1,1,False,90,1,0,0,0,1,0,0,0,0,0,5,0,20,40.0,0.0,0.0,4.0,2,9,0,0,3,43,280284,4373,25957,-21584
600,61,7,2025-10-04T14:00:00Z,False,1,Arsenal,2,0,False,90,1,0,0,0,2,0,0,0,0,0,3,0,9,25.8,0.0,0.0,2.6,2,3,0,0,2,43,269889,5731,18144,-12413
600,80,8,2025-10-20T19:00:00Z,True,5,Brentford,0,2,False,90,1,0,0,0,2,0,0,0,0,0,4,0,14,34.6,0.0,0.0,3.5,0,12,0,0,2,43,269492,11279,14715,-3436
600,87,9,2025-10-24T19:00:00Z,False,11,Leeds,2,1,False,90,1,0,0,0,2,0,0,0,0,0,3,0,8,22.0,0.0,0.0,2.2,0,8,0,0,2,43,265849,4924,9329,-4405
600,100,10,2025-11-02T14:00:00Z,True,15,Newcastle,3,1,False,90,1,0,0,0,1,0,0,0,0,0,3,0,13,21.6,0.0,0.0,2.2,2,8,0,0,3,43,259371,3146,10104,-6958
600,110,11,2025-11-08T15:00:00Z,True,3,Burnley,3,2,False,90,1,0,0,0,2,0,0,0,0,0,5,0,10,30.2,0.0,0.0,3.0,1,6,0,0,2,43,268007,9576,5415,4161
600,112,12,2025-11-22T15:00:00Z,False,4,Bournemouth,2,2,False,90,1,0,1,0,2,0,0,0,0,0,10,2,37,91.4,10.0,0.0,10.1,3,12,0,0,9,43,259416,3567,9935,-6368
600,130,13,2025-11-30T14:05:00Z,True,12,Liverpool,0,2,False,90,1,0,0,0,2,0,0,0,0,0,3,0,9,23.2,0.0,0.0,2.3,2,7,0,0,2,43,258294,4325,6372,-2047
600,138,14,2025-12-04T20:00:00Z,False,14,Man Utd,1,1,False,90,1,0,0,0,1,0,0,0,0,0,3,0,10,17.2,0.0,0.0,1.7,6,4,0,0,3,43,260324,4546,3984,562
600,143,15,2025-12-07T14:00:00Z,False,6,Brighton,1,1,False,90,1,0,0,0,1,0,0,0,0,0,4,0,13,29.4,0.0,0.0,2.9,0,6,0,0,3,43,264978,7431,4198,3233
600,160,16,2025-12-14T14:00:00Z,True,2,Aston Villa,2,3,False,90,1,0,0,0,3,0,0,0,0,0,2,0,1,14.0,0.0,0.0,1.4,0,5,0,0,1,43,271656,15932,10196,5736
600,167,17,2025-12-20T15:00:00Z,False,13,Man City,3,0,False,90,1,0,0,0,3,0,0,0,0,0,5,0,9,38.4,0.0,0.0,3.8,0,5,0,0,2,43,271119,8839,8926,-87
600,180,18,2025-12-27T15:00:00Z,True,10,Fulham,0,1,False,90,1,0,0,0,1,0,0,0,0,0,4,0,13,27.6,0.0,0.0,2.8,1,4,0,0,3,43,276739,9483,7114,2369
600,190,19,2025-12-30T19:30:00Z,True,6,Brighton,2,2,False,90,1,0,0,0,2,0,0,0,0,0,5,0,10,33.2,0.0,0.0,3.3,2,10,0,0,2,43,277278,7578,5861,1717
600,200,20,2026-01-03T15:00:00Z,False,20,Wolves,3,0,False,90,1,0,0,0,3,0,0,0,0,0,5,0,10,39.4,0.0,0.0,3.9,0,7,0,0,2,43,289650,16090,6786,9304
600,210,21,2026-01-06T20:00:00Z,True,16,Nott'm Forest,1,2,False,90,1,0,0,0,2,0,0,0,0,0,3,0,3,12.2,0.0,0.0,1.2,1,8,0,0,2,43,284591,6081,9690,-3609
600,219,22,2026-01-17T15:00:00Z,False,18,Spurs,1,2,False,90,1,0,0,0,1,0,0,0,0,0,5,0,16,31.8,0.0,0.0,3.2,1,7,0,0,3,43,279390,4466,9938,-5472
600,230,23,2026-01-24T12:30:00Z,True,17,Sunderland,3,1,False,90,1,0,0,0,1,0,0,0,0,0,1,0,6,6.4,0.0,0.0,0.6,1,6,0,0,2,43,282878,6797,4488,2309
600,233,24,2026-01-31T17:30:00Z,False,7,Chelsea,3,2,False,90,1,0,0,0,3,0,0,0,0,0,3,0,5,18.8,0.0,0.0,1.9,4,8,0,0,2,43,280587,6470,8858,-2388
600,244,25,2026-02-07T15:00:00Z,False,3,Burnley,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,43,289364,12053,6330,5723
600,260,26,2026-02-10T20:15:00Z,True,14,Man Utd,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,43,280175,4655,11315,-6660
600,270,27,2026-02-21T17:30:00Z,True,4,Bournemouth,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,43,277791,3926,8029,-4103
600,277,28,2026-02-28T15:00:00Z,False,12,Liverpool,5,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,43,272535,1686,7034,-5348
600,285,29,2026-03-04T19:30:00Z,False,10,Fulham,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,43,267914,1146,6083,-4937
