fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
608,5,1,2025-08-16T14:00:00Z,False,17,Sunderland,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,3366,0,0,0
608,20,2,2025-08-22T19:00:00Z,True,7,Chelsea,1,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,3788,63,568,-505
608,27,3,2025-08-31T13:00:00Z,False,16,Nott'm Forest,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,45,3754,72,495,-423
608,40,4,2025-09-13T16:30:00Z,True,18,Spurs,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,3823,114,359,-245
608,49,5,2025-09-20T14:00:00Z,True,8,Crystal Palace,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,3927,121,236,-115
608,55,6,2025-09-29T19:00:00Z,False,9,Everton,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,3947,91,229,-138
608,61,7,2025-10-04T14:00:00Z,False,1,Arsenal,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,4077,163,156,7
608,80,8,2025-10-20T19:00:00Z,True,5,Brentford,0,2,False,45,1,0,0,0,1,0,0,0,0,0,0,0,4,8.0,1.0,0.0,0.9,4,0,1,5,1,44,4187,93,253,-160
608,87,9,2025-10-24T19:00:00Z,False,11,Leeds,2,1,False,24,1,0,0,0,2,0,0,0,0,0,0,0,-6,0.0,0.2,0.0,0.0,0,1,0,0,0,44,4272,77,127,-50
608,100,10,2025-11-02T14:00:00Z,True,15,Newcastle,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,44,3974,22,324,-302
