fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
642,7,1,2025-08-16T16:30:00Z,True,13,Man City,0,4,False,8,0,0,0,0,0,0,0,0,0,0,0,0,3,3.0,10.3,0.0,1.3,0,0,1,1,1,60,15472,0,0,0
642,12,2,2025-08-23T14:00:00Z,False,4,Bournemouth,1,0,False,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,60,16116,930,3214,-2284
642,30,3,2025-08-30T14:00:00Z,True,9,Everton,2,3,False,75,1,1,0,0,3,0,0,0,0,0,0,0,27,35.2,0.7,17.0,5.3,2,0,0,2,7,59,14885,1087,3232,-2145
642,39,4,2025-09-13T14:00:00Z,False,15,Newcastle,1,0,False,76,1,0,0,0,1,0,0,0,0,0,0,0,6,0.6,0.7,28.0,2.9,0,1,0,1,2,59,17864,4140,2426,1714
642,50,5,2025-09-20T14:00:00Z,True,11,Leeds,1,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,59,32977,14507,2758,11749
642,60,6,2025-09-27T19:00:00Z,False,18,Spurs,1,1,False,45,1,0,0,0,0,0,0,0,0,0,0,0,5,4.2,1.4,1.0,0.7,1,0,1,2,1,59,21015,815,9830,-9015
642,70,7,2025-10-05T13:00:00Z,True,6,Brighton,1,1,False,59,1,0,0,0,0,0,0,0,0,0,0,0,5,6.0,5.0,3.0,1.4,2,1,2,5,1,59,19764,1232,3216,-1984
642,78,8,2025-10-18T14:00:00Z,False,17,Sunderland,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,59,18644,1941,3539,-1598
642,90,9,2025-10-26T14:00:00Z,True,3,Burnley,2,3,False,22,0,0,0,0,1,0,0,0,0,0,0,0,3,2.6,11.5,0.0,1.4,0,1,0,1,1,59,15742,187,3067,-2880
642,94,10,2025-11-01T15:00:00Z,False,10,Fulham,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,58,14953,730,1757,-1027
642,103,11,2025-11-08T20:00:00Z,False,7,Chelsea,3,0,False,69,1,0,0,0,2,0,0,0,0,0,0,0,6,1.6,3.2,2.0,0.7,2,2,1,5,2,58,13719,264,1597,-1333
642,120,12,2025-11-22T15:00:00Z,True,8,Crystal Palace,0,2,False,24,0,0,0,0,1,0,0,0,0,0,0,0,-1,0.0,3.1,5.0,0.5,1,0,0,1,1,57,13665,562,841,-279
642,121,13,2025-11-30T14:05:00Z,False,2,Aston Villa,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,57,13220,225,728,-503
642,140,14,2025-12-03T19:30:00Z,True,16,Nott'm Forest,0,1,False,23,0,0,0,0,1,0,0,0,0,0,0,0,3,2.8,14.9,0.0,1.8,1,0,0,1,1,57,13181,320,476,-156
642,150,15,2025-12-08T20:00:00Z,True,14,Man Utd,1,4,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,57,12870,262,622,-360
642,151,16,2025-12-13T20:00:00Z,False,1,Arsenal,2,1,False,79,1,0,0,0,1,0,0,0,1,0,0,0,-2,0.0,0.8,17.0,1.7,2,5,0,7,1,56,12380,350,936,-586
642,170,17,2025-12-20T15:00:00Z,True,5,Brentford,0,2,False,89,1,0,0,0,2,0,0,0,1,0,0,0,3,7.8,16.5,23.0,4.7,1,2,1,4,1,56,12733,749,565,184
642,176,18,2025-12-27T15:00:00Z,False,12,Liverpool,2,1,False,61,1,0,0,0,2,0,0,0,0,0,0,0,5,0.0,0.3,6.0,0.4,1,4,0,5,2,56,12378,234,607,-373
642,187,19,2025-12-30T20:15:00Z,False,14,Man Utd,1,1,False,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0.2,17.3,7.0,2.5,4,5,0,9,2,56,12418,259,319,-60
