fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
654,7,1,2025-08-16T16:30:00Z,True,13,Man City,0,4,False,81,1,0,0,0,4,0,0,0,0,0,0,0,8,11.0,2.3,45.0,5.8,3,1,1,5,2,65,474697,0,0,0
654,12,2,2025-08-23T14:00:00Z,False,4,Bournemouth,1,0,False,77,1,0,0,0,1,0,0,0,0,0,0,0,4,3.2,3.8,23.0,3.0,1,0,0,1,2,65,497981,46717,52362,-5645
654,30,3,2025-08-30T14:00:00Z,True,9,Everton,2,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,65,402039,31416,124868,-93452
654,39,4,2025-09-13T14:00:00Z,False,15,Newcastle,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,64,245326,5643,170040,-164397
654,50,5,2025-09-20T14:00:00Z,True,11,Leeds,1,3,False,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.6,10.0,0.9,0,1,0,1,1,64,192584,3441,64476,-61035
654,60,6,2025-09-27T19:00:00Z,False,18,Spurs,1,1,False,83,1,0,0,1,0,0,0,0,0,0,0,0,6,1.6,1.6,11.0,1.4,3,0,0,3,2,64,170692,15149,39347,-24198
654,70,7,2025-10-05T13:00:00Z,True,6,Brighton,1,1,False,76,1,0,0,1,0,0,0,0,0,0,0,0,3,0.2,1.8,4.0,0.6,2,2,0,4,2,64,168111,16035,20959,-4924
654,78,8,2025-10-18T14:00:00Z,False,17,Sunderland,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,5,3.6,22.1,10.0,3.6,1,1,0,2,2,64,174242,23911,20437,3474
654,90,9,2025-10-26T14:00:00Z,True,3,Burnley,2,3,False,90,1,1,0,0,3,0,0,0,0,0,0,0,23,39.6,14.2,44.0,9.8,1,1,0,2,6,64,169683,8958,14896,-5938
654,94,10,2025-11-01T15:00:00Z,False,10,Fulham,3,0,False,75,1,0,0,0,3,0,0,0,0,0,0,0,3,0.6,10.9,8.0,2.0,0,2,0,2,2,64,163417,10698,17591,-6893
654,103,11,2025-11-08T20:00:00Z,False,7,Chelsea,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,6,0.6,3.3,8.0,1.2,1,1,0,2,2,63,144805,1832,20945,-19113
654,120,12,2025-11-22T15:00:00Z,True,8,Crystal Palace,0,2,False,90,1,0,0,0,2,0,0,0,0,0,0,0,4,6.4,14.8,15.0,3.6,4,1,0,5,2,63,139303,2888,9989,-7101
654,121,13,2025-11-30T14:05:00Z,False,2,Aston Villa,1,0,False,90,1,0,0,0,1,0,0,0,0,0,0,0,-1,7.6,2.3,21.0,3.1,1,1,0,2,2,63,132615,1508,7938,-6430
654,140,14,2025-12-03T19:30:00Z,True,16,Nott'm Forest,0,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,4,3.4,1.9,0.0,0.5,2,0,1,3,2,63,137232,6323,4415,1908
654,150,15,2025-12-08T20:00:00Z,True,14,Man Utd,1,4,False,68,1,0,0,0,3,0,0,0,1,0,0,0,0,5.0,1.9,6.0,1.3,2,0,0,2,1,62,129318,1523,8946,-7423
654,151,16,2025-12-13T20:00:00Z,False,1,Arsenal,2,1,False,68,1,0,0,1,0,0,0,0,0,0,0,0,8,8.2,1.4,5.0,1.5,4,0,1,5,2,62,122056,2819,10671,-7852
654,170,17,2025-12-20T15:00:00Z,True,5,Brentford,0,2,False,90,1,0,0,0,2,0,0,1,0,0,0,0,-3,12.2,3.3,26.0,4.2,5,1,1,7,0,62,120829,2842,5455,-2613
