fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
669,4,1,2025-08-17T13:00:00Z,True,5,Brentford,3,1,False,78,1,1,0,0,1,0,0,0,0,0,0,2,29,32.2,0.8,27.0,6.0,0,3,0,3,9,60,27774,0,0,0
669,15,2,2025-08-24T13:00:00Z,False,8,Crystal Palace,1,1,False,70,1,0,1,0,1,0,0,0,0,0,0,2,21,23.8,29.2,8.0,6.1,2,3,0,5,7,60,97626,44340,13362,30978
669,27,3,2025-08-31T13:00:00Z,True,19,West Ham,0,3,False,57,1,0,0,0,0,0,0,0,0,0,0,0,5,2.6,2.3,4.0,0.9,0,4,2,6,1,60,458950,315205,39812,275393
669,31,4,2025-09-13T11:30:00Z,False,1,Arsenal,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,10,16.6,21.1,4.0,4.2,2,2,1,5,2,61,367190,67370,103236,-35866
669,44,5,2025-09-20T14:00:00Z,False,3,Burnley,1,1,False,75,1,0,0,0,1,0,0,0,0,0,0,0,10,9.4,21.6,12.0,4.3,2,3,1,6,2,61,409024,73912,48309,25603
669,59,6,2025-09-27T16:30:00Z,True,17,Sunderland,0,1,False,59,1,0,0,0,1,0,0,0,0,0,0,0,5,2.4,3.1,13.0,1.9,0,1,1,2,1,61,343591,14859,75216,-60357
669,69,7,2025-10-05T13:00:00Z,False,15,Newcastle,2,0,False,64,1,0,0,0,1,0,0,0,0,0,0,0,11,8.8,25.1,2.0,3.6,1,5,1,7,2,60,265722,3973,83110,-79137
669,77,8,2025-10-18T11:30:00Z,True,7,Chelsea,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,59,213142,3744,60136,-56392
669,83,9,2025-10-26T14:00:00Z,False,4,Bournemouth,2,0,False,82,1,0,0,0,2,0,0,0,0,0,0,0,9,0.0,2.4,3.0,0.5,2,8,1,11,2,58,180761,1053,34648,-33595
669,97,10,2025-11-01T15:00:00Z,True,14,Man Utd,2,2,False,90,1,0,0,0,2,0,0,0,1,0,0,0,2,7.2,3.7,9.0,2.0,1,1,3,5,1,57,155306,1098,26349,-25251
669,107,11,2025-11-09T14:00:00Z,True,11,Leeds,3,1,False,90,1,0,1,0,1,0,0,0,0,0,0,0,21,13.4,11.9,24.0,4.9,3,5,3,11,5,57,147548,3279,12965,-9686
669,117,12,2025-11-22T15:00:00Z,False,12,Liverpool,0,3,False,85,1,0,0,1,0,0,0,0,0,0,0,0,7,6.2,3.2,9.0,1.8,3,4,1,8,3,56,136727,1281,11360,-10079
669,127,13,2025-11-30T14:05:00Z,True,6,Brighton,0,2,False,45,1,0,0,0,1,0,0,0,0,0,0,0,0,7.0,10.6,7.0,2.5,1,2,0,3,1,56,134644,2977,6094,-3117
669,140,14,2025-12-03T19:30:00Z,False,20,Wolves,0,1,False,66,1,0,0,1,0,0,0,0,0,0,0,0,0,4.4,16.3,12.0,3.3,0,1,1,2,3,56,135656,5135,5110,25
669,144,15,2025-12-06T15:00:00Z,False,9,Everton,3,0,False,45,1,0,0,0,2,0,0,0,0,0,0,0,8,7.2,0.9,0.0,0.8,2,0,2,4,1,56,128573,1586,8165,-6579
669,158,16,2025-12-14T14:00:00Z,True,18,Spurs,3,0,False,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2.2,0.5,0.0,0.3,0,1,1,2,1,55,114528,1063,15289,-14226
669,165,17,2025-12-22T20:00:00Z,False,10,Fulham,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,110701,1173,5577,-4404
669,178,18,2025-12-27T12:30:00Z,True,13,Man City,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,102838,329,7798,-7469
669,188,19,2025-12-30T19:30:00Z,True,9,Everton,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,97872,12,5421,-5409
669,191,20,2026-01-03T12:30:00Z,False,2,Aston Villa,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,95707,23,2678,-2655
669,210,21,2026-01-06T20:00:00Z,False,19,West Ham,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,93532,14,2199,-2185
669,217,22,2026-01-17T17:30:00Z,True,1,Arsenal,0,0,False,14,0,0,0,0,0,0,0,0,0,0,0,0,4,1.2,0.3,2.0,0.4,1,1,0,2,1,55,91874,139,1895,-1756
669,223,23,2026-01-25T14:00:00Z,False,5,Brentford,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,91669,340,675,-335
669,237,24,2026-02-01T14:00:00Z,True,8,Crystal Palace,1,1,False,20,0,0,0,0,0,0,0,0,0,0,0,0,2,3.2,1.4,6.0,1.1,2,1,1,4,1,55,91246,416,910,-494
669,246,25,2026-02-06T20:00:00Z,False,11,Leeds,3,1,False,23,0,0,0,0,0,0,0,0,0,0,0,0,7,6.0,25.0,6.0,3.7,0,2,1,3,1,55,90992,430,789,-359
669,257,26,2026-02-11T19:30:00Z,True,20,Wolves,0,0,False,25,0,0,0,0,0,0,0,0,0,0,0,0,5,5.0,21.8,23.0,5.0,0,0,1,1,1,55,90843,547,820,-273
669,267,27,2026-02-22T14:00:00Z,True,12,Liverpool,0,1,False,24,0,0,0,0,1,0,0,0,0,0,0,0,5,4.2,4.5,7.0,1.6,1,2,1,4,1,55,90289,186,771,-585
669,273,28,2026-03-01T14:00:00Z,False,6,Brighton,2,1,False,8,0,0,0,0,0,0,0,0,0,0,0,0,5,2.0,10.3,0.0,1.2,0,0,0,0,1,55,90134,175,424,-249
669,287,29,2026-03-04T19:30:00Z,False,13,Man City,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,89737,118,535,-417
669,298,30,2026-03-15T14:00:00Z,True,10,Fulham,0,0,False,45,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,1.4,2.0,0.4,0,0,0,0,1,55,89256,153,676,-523
669,309,31,2026-03-22T14:15:00Z,False,18,Spurs,0,3,False,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,0.3,0.0,0.0,0,1,0,1,1,55,89071,102,312,-210
669,318,32,2026-04-12T13:00:00Z,True,2,Aston Villa,1,1,False,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1.0,0.0,0.0,0.1,1,0,0,1,1,55,88995,151,350,-199
669,329,33,2026-04-19T13:00:00Z,True,3,Burnley,4,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,88963,208,277,-69
669,338,34,2026-04-24T19:00:00Z,False,17,Sunderland,0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,55,89089,257,226,31
