fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
670,5,1,2025-08-16T14:00:00Z,True,19,West Ham,3,0,False,90,1,0,0,1,0,0,0,0,0,0,4,1,31,30.0,0.0,0.0,3.0,3,10,0,0,8,45,18876,0,0,0
670,14,2,2025-08-23T14:00:00Z,False,3,Burnley,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,0,4.2,0.0,0.0,0.4,1,8,0,0,1,45,123146,67732,12419,55313
670,28,3,2025-08-30T14:00:00Z,True,5,Brentford,2,1,False,90,1,0,0,0,1,0,1,0,0,0,3,0,23,47.4,0.0,0.0,4.7,0,9,0,0,8,45,130508,22651,20262,2389
670,35,4,2025-09-13T14:00:00Z,False,8,Crystal Palace,0,0,False,90,1,0,0,1,0,0,0,0,1,0,6,3,39,43.2,0.0,0.0,4.3,1,15,0,0,10,45,170635,47891,17696,30195
670,48,5,2025-09-21T13:00:00Z,True,2,Aston Villa,1,1,False,90,1,0,0,0,1,0,0,0,0,0,1,0,3,6.2,0.0,0.0,0.6,1,5,0,0,2,45,256830,87608,16405,71203
670,59,6,2025-09-27T16:30:00Z,False,16,Nott'm Forest,0,1,False,90,1,0,0,1,0,0,0,0,0,0,6,2,39,48.6,20.0,0.0,6.9,1,11,0,0,10,45,320951,81432,21182,60250
670,68,7,2025-10-04T14:00:00Z,False,14,Man Utd,2,0,False,90,1,0,0,0,2,0,0,0,0,0,4,0,12,28.4,0.0,0.0,2.8,0,14,0,0,2,46,528228,199929,15453,184476
670,78,8,2025-10-18T14:00:00Z,True,20,Wolves,2,0,False,90,1,0,0,1,0,0,0,0,0,0,3,0,28,23.4,0.0,0.0,2.3,0,6,0,0,7,46,643052,130452,27587,102865
670,85,9,2025-10-25T14:00:00Z,False,7,Chelsea,1,2,False,90,1,0,0,0,1,0,0,0,0,0,6,0,22,43.8,0.0,0.0,4.4,2,11,0,0,4,46,709585,84089,18808,65281
670,98,10,2025-11-03T20:00:00Z,True,9,Everton,1,1,False,90,1,0,0,0,1,0,0,0,0,0,1,0,9,9.0,0.0,0.0,0.9,0,12,0,0,2,47,868653,147483,17276,130207
670,108,11,2025-11-08T17:30:00Z,True,1,Arsenal,2,2,False,90,1,0,0,0,2,0,0,0,0,0,5,0,16,39.6,0.0,0.0,4.0,1,11,0,0,2,47,874346,49208,28207,21001
670,115,12,2025-11-22T15:00:00Z,False,10,Fulham,1,0,False,90,1,0,0,0,1,0,0,0,0,0,4,0,19,32.6,10.0,0.0,4.3,1,8,0,0,3,47,980700,101544,18420,83124
670,128,13,2025-11-29T15:00:00Z,True,4,Bournemouth,3,2,False,90,1,0,0,0,2,0,0,0,1,0,4,0,11,35.4,0.0,0.0,3.5,1,8,0,0,1,47,992839,44431,20688,23743
670,137,14,2025-12-03T20:15:00Z,False,12,Liverpool,1,1,False,90,1,0,0,0,1,0,0,0,0,0,4,0,20,28.0,10.0,0.0,3.8,0,13,0,0,3,47,993464,34964,35458,-494
