fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
683,5,1,2025-08-16T14:00:00Z,True,19,West Ham,3,0,False,37,0,0,1,0,0,0,0,0,0,0,0,0,16,30.0,14.4,0.0,4.4,4,1,1,5,4,40,69254,0,0,0
683,14,2,2025-08-23T14:00:00Z,False,3,Burnley,2,0,False,90,1,0,0,0,2,0,0,0,0,0,0,0,9,25.0,5.7,10.0,4.1,7,6,2,9,1,40,145305,34240,11526,22714
683,28,3,2025-08-30T14:00:00Z,True,5,Brentford,2,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,11,20.0,1.2,7.0,2.8,9,4,2,11,4,40,151117,14975,14574,401
683,35,4,2025-09-13T14:00:00Z,False,8,Crystal Palace,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,1,31,30.2,0.5,2.0,3.3,8,5,2,10,9,40,159950,18035,11437,6598
683,48,5,2025-09-21T13:00:00Z,True,2,Aston Villa,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,9,28.6,0.2,23.0,5.2,10,5,3,13,4,40,200118,42593,7878,34715
683,59,6,2025-09-27T16:30:00Z,False,16,Nott'm Forest,0,1,False,90,1,1,0,1,0,0,0,0,0,0,0,3,45,62.0,3.3,35.0,10.0,11,0,0,11,17,40,304874,120236,21979,98257
683,68,7,2025-10-04T14:00:00Z,False,14,Man Utd,2,0,False,90,1,0,0,0,2,0,0,0,1,0,0,0,2,15.0,2.3,0.0,1.7,4,2,1,5,0,41,763041,441449,15937,425512
683,78,8,2025-10-18T14:00:00Z,True,20,Wolves,2,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,20,17.6,11.0,0.0,2.9,7,1,1,8,6,41,841370,172454,83292,89162
683,85,9,2025-10-25T14:00:00Z,False,7,Chelsea,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,41,793138,36754,81065,-44311
683,98,10,2025-11-03T20:00:00Z,True,9,Everton,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,41,697649,3729,97013,-93284
683,108,11,2025-11-08T17:30:00Z,True,1,Arsenal,2,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,41,625824,2010,75634,-73624
683,115,12,2025-11-22T15:00:00Z,False,10,Fulham,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,41,588132,9793,51000,-41207
683,128,13,2025-11-29T15:00:00Z,True,4,Bournemouth,3,2,False,90,1,0,0,0,2,0,0,0,1,0,0,0,-2,12.2,0.3,4.0,1.7,8,2,1,9,0,41,549674,4221,27576,-23355
683,137,14,2025-12-03T20:15:00Z,False,12,Liverpool,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,16,36.0,6.9,32.0,7.5,12,3,1,13,4,41,546020,3826,23210,-19384
683,147,15,2025-12-06T15:00:00Z,False,13,Man City,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,-3,16.4,0.1,5.0,2.2,8,2,0,8,1,41,536310,7545,16802,-9257
683,159,16,2025-12-14T14:00:00Z,True,15,Newcastle,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,1,26,21.6,11.3,6.0,3.9,8,3,0,8,7,40,528756,36642,52201,-15559
683,163,17,2025-12-20T15:00:00Z,False,6,Brighton,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,26,23.0,1.5,44.0,6.9,8,2,0,8,6,40,602418,73857,9575,64282
683,179,18,2025-12-28T14:00:00Z,True,11,Leeds,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,10,35.2,0.3,9.0,4.5,13,5,2,15,4,40,722869,94872,9751,85121
683,189,19,2026-01-01T20:00:00Z,True,13,Man City,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,28,35.2,0.6,2.0,3.8,16,4,1,17,8,40,687676,40966,25590,15376
683,199,20,2026-01-04T15:00:00Z,False,18,Spurs,1,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,3,16.6,1.0,7.0,2.5,6,4,0,6,1,41,771988,92106,19710,72396
683,203,21,2026-01-07T19:30:00Z,False,5,Brentford,3,0,False,82,1,0,0,0,3,0,0,0,0,0,0,0,-6,9.6,1.0,6.0,1.7,5,2,1,6,1,41,803551,54135,21362,32773
683,218,22,2026-01-17T15:00:00Z,True,8,Crystal Palace,2,1,False,90,1,0,0,0,1,0,0,0,1,0,0,0,7,14.0,1.1,1.0,1.6,7,1,1,8,1,41,840007,64586,29151,35435
683,230,23,2026-01-24T12:30:00Z,False,19,West Ham,3,1,False,90,1,0,0,0,3,0,0,0,0,0,0,0,9,22.8,20.9,2.0,4.6,9,5,0,9,1,41,845983,32670,26749,5921
683,238,24,2026-02-02T20:00:00Z,True,3,Burnley,3,0,False,85,1,0,0,1,0,0,0,0,0,0,0,0,25,14.0,10.8,0.0,2.5,5,5,1,6,6,41,847761,56872,56082,790
683,241,25,2026-02-07T15:00:00Z,False,1,Arsenal,3,0,False,90,1,0,0,0,3,0,0,0,0,0,0,0,6,18.2,0.6,2.0,2.1,8,6,0,8,1,41,830285,20973,35123,-14150
683,258,26,2026-02-11T20:15:00Z,True,12,Liverpool,0,1,False,79,1,0,0,0,1,0,0,0,0,0,0,0,7,18.0,10.7,4.0,3.3,9,2,0,9,2,41,816983,22653,34712,-12059
683,268,27,2026-02-22T14:00:00Z,True,10,Fulham,1,3,False,90,1,0,0,0,3,0,0,0,0,0,0,0,2,20.2,12.6,4.0,3.7,7,2,0,7,1,41,829007,24950,19472,5478
683,272,28,2026-02-28T12:30:00Z,False,4,Bournemouth,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,16,41.8,0.4,0.0,4.2,17,2,4,21,4,41,820223,16982,25484,-8502
683,286,29,2026-03-03T19:30:00Z,False,11,Leeds,0,1,False,90,1,0,0,1,0,0,0,0,1,0,0,0,22,48.6,0.2,2.0,5.1,22,1,1,23,7,41,835986,29822,14690,15132
683,299,30,2026-03-14T15:00:00Z,True,6,Brighton,0,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,11,19.0,1.1,24.0,4.4,5,7,1,6,2,41,872975,45305,10432,34873
683,308,31,2026-03-22T12:00:00Z,False,15,Newcastle,1,2,False,90,1,0,0,0,1,0,0,0,1,0,0,0,6,14.8,10.6,0.0,2.5,8,4,1,9,1,41,829151,13746,21611,-7865
683,319,32,2026-04-12T13:00:00Z,True,18,Spurs,1,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,29,22.4,0.8,0.0,2.3,9,5,1,10,8,41,815238,23519,73557,-50038
683,321,33,2026-04-19T13:00:00Z,False,2,Aston Villa,4,3,False,62,1,0,0,0,3,0,0,0,0,0,0,0,-3,15.6,4.4,2.0,2.2,5,3,1,6,1,41,715006,11767,43601,-31834
683,338,34,2026-04-24T19:00:00Z,True,16,Nott'm Forest,0,5,False,90,1,0,0,0,5,0,0,0,0,0,0,0,-12,9.0,0.9,36.0,4.6,5,4,0,5,0,41,819901,30489,29825,664
683,350,35,2026-05-02T14:00:00Z,False,20,Wolves,1,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,6,17.4,0.4,4.0,2.2,11,4,1,12,4,41,758772,14551,41529,-26978
683,358,36,2026-05-09T14:00:00Z,True,14,Man Utd,0,0,False,90,1,0,0,1,0,0,0,0,0,0,0,0,25,16.8,0.7,6.0,2.4,8,1,2,10,8,41,723578,9149,41850,-32701
