fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
699,15,2,2025-08-24T13:00:00Z,False,8,Crystal Palace,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,595,362,47,315
699,27,3,2025-08-31T13:00:00Z,True,19,West Ham,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,5778,4328,1405,2923
699,31,4,2025-09-13T11:30:00Z,False,1,Arsenal,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,7385,2687,1913,774
699,44,5,2025-09-20T14:00:00Z,False,3,Burnley,1,1,False,75,1,0,1,0,1,0,0,0,0,0,0,0,23,4.4,18.1,8.0,3.1,0,2,1,3,5,50,8085,1401,1332,69
699,59,6,2025-09-27T16:30:00Z,True,17,Sunderland,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,8094,1941,2202,-261
699,69,7,2025-10-05T13:00:00Z,False,15,Newcastle,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,6337,34,1806,-1772
699,77,8,2025-10-18T11:30:00Z,True,7,Chelsea,0,3,False,52,1,0,0,0,2,0,0,0,0,0,0,0,5,2.0,12.2,2.0,1.6,0,1,0,1,1,50,5743,312,1049,-737
699,83,9,2025-10-26T14:00:00Z,False,4,Bournemouth,2,0,False,45,1,0,0,0,2,0,0,0,1,0,0,0,8,13.2,2.1,0.0,1.5,3,4,3,10,0,50,6473,809,395,414
699,97,10,2025-11-01T15:00:00Z,True,14,Man Utd,2,2,False,13,1,0,0,0,0,0,0,0,0,0,0,0,4,3.6,14.1,0.0,1.8,0,2,0,2,1,50,6782,626,570,56
699,107,11,2025-11-09T14:00:00Z,True,11,Leeds,3,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,5904,106,999,-893
699,117,12,2025-11-22T15:00:00Z,False,12,Liverpool,0,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,5261,30,700,-670
699,127,13,2025-11-30T14:05:00Z,True,6,Brighton,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,50,4944,16,363,-347
699,140,14,2025-12-03T19:30:00Z,False,20,Wolves,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,4816,25,184,-159
699,144,15,2025-12-06T15:00:00Z,False,9,Everton,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,4668,27,180,-153
699,158,16,2025-12-14T14:00:00Z,True,18,Spurs,3,0,False,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4.6,0.6,0.0,0.5,2,1,0,3,1,49,4644,159,232,-73
699,165,17,2025-12-22T20:00:00Z,False,10,Fulham,1,0,False,72,1,0,0,0,1,0,0,0,0,0,0,0,11,4.0,16.5,3.0,2.4,3,6,2,11,2,49,5206,535,136,399
699,178,18,2025-12-27T12:30:00Z,True,13,Man City,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,5737,610,227,383
699,188,19,2025-12-30T19:30:00Z,True,9,Everton,0,2,False,45,0,0,0,0,1,0,0,0,1,0,0,0,8,14.4,13.8,12.0,4.0,1,3,3,7,0,49,5843,314,262,52
699,191,20,2026-01-03T12:30:00Z,False,2,Aston Villa,3,1,False,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0.4,0.0,0.0,0.0,1,1,0,2,1,49,5875,254,254,0
699,210,21,2026-01-06T20:00:00Z,False,19,West Ham,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,5923,214,202,12
699,217,22,2026-01-17T17:30:00Z,True,1,Arsenal,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,5955,218,291,-73
699,223,23,2026-01-25T14:00:00Z,False,5,Brentford,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,49,6045,190,160,30
699,231,24,2026-02-01T14:00:00Z,True,5,Brentford,0,1,False,90,1,0,0,0,1,0,0,0,0,0,0,0,24,19.2,65.8,24.0,10.9,1,5,2,8,2,49,7565,1974,582,1392
699,242,25,2026-02-07T15:00:00Z,False,4,Bournemouth,1,1,False,76,1,0,0,0,1,0,0,0,0,0,0,0,16,20.0,23.8,0.0,4.4,5,3,2,10,2,49,10063,2893,526,2367
699,251,26,2026-02-11T19:30:00Z,True,6,Brighton,1,0,False,83,1,0,0,1,0,0,0,0,0,0,0,0,19,10.4,30.0,0.0,4.0,1,8,2,11,3,49,10565,1320,868,452
699,261,27,2026-02-21T15:00:00Z,True,11,Leeds,1,1,False,86,1,0,0,0,1,0,0,0,0,0,0,0,22,19.0,32.3,0.0,5.1,1,5,4,10,2,49,12541,2487,626,1861
