fpl_id,fixture_fpl_id,gameweek,kickoff_time,was_home,opponent_team_fpl_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,total_points,value,selected,transfers_in,transfers_out,transfers_balance
736,38,4,2025-09-14T15:30:00Z,True,14,Man Utd,3,0,False,90,1,0,0,1,0,0,0,0,0,0,2,0,26,14.4,0.0,0.0,1.4,3,6,0,0,6,55,130334,103102,12222,90880
736,41,5,2025-09-21T15:30:00Z,False,1,Arsenal,1,1,False,90,1,0,0,0,1,0,0,0,1,0,2,0,7,15.6,0.0,0.0,1.6,4,4,0,0,1,55,366710,199460,17498,181962
736,57,6,2025-09-27T14:00:00Z,True,3,Burnley,5,1,False,90,1,0,0,0,1,0,0,0,0,0,1,0,5,6.8,0.0,0.0,0.7,0,3,0,0,2,56,935713,529476,54270,475206
736,64,7,2025-10-05T15:30:00Z,False,5,Brentford,0,1,False,90,1,0,0,1,0,0,0,0,0,0,1,0,23,12.0,0.0,0.0,1.2,1,7,0,0,6,56,1022288,149974,53883,96091
736,76,8,2025-10-18T14:00:00Z,True,9,Everton,2,0,False,90,1,0,0,1,0,0,0,0,0,0,1,0,27,12.6,0.0,0.0,1.3,2,4,0,0,6,57,1191933,165388,38634,126754
736,82,9,2025-10-26T14:00:00Z,False,2,Aston Villa,1,0,False,90,1,0,0,0,1,0,0,0,0,0,2,0,10,18.8,0.0,0.0,1.9,1,7,0,0,2,57,1269939,90639,26442,64197
736,96,10,2025-11-02T16:30:00Z,True,4,Bournemouth,3,1,False,90,1,0,0,0,1,0,0,0,1,0,4,0,10,18.6,0.0,0.0,1.9,3,10,0,0,2,57,1268075,49782,60291,-10509
736,106,11,2025-11-09T16:30:00Z,True,12,Liverpool,3,0,False,90,1,0,0,1,0,0,0,0,0,0,2,0,22,1.6,0.0,0.0,0.2,0,6,0,0,6,57,1224518,26357,79407,-53050
736,119,12,2025-11-22T17:30:00Z,False,15,Newcastle,2,1,False,90,1,0,0,0,2,0,0,0,1,0,3,0,5,19.2,0.0,0.0,1.9,1,9,0,0,1,57,1276190,62776,33472,29304
736,126,13,2025-11-29T15:00:00Z,True,11,Leeds,3,2,False,90,1,0,0,0,2,0,1,0,1,0,1,0,9,33.0,0.0,0.0,3.3,1,9,0,0,5,57,1389834,97430,24504,72926
